signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_16665	NA	8318	CDC45	-3.6858	1e-4
LINCSCP_16665	NA	22887	FOXJ3	3.2191	1e-4
LINCSCP_16665	NA	4609	MYC	-3.6017	2e-4
LINCSCP_16665	NA	1906	EDN1	-2.7938	4e-4
LINCSCP_16665	NA	22823	MTF2	2.3847	5e-4
LINCSCP_16665	NA	27109	ATP5S	-2.5562	5e-4
LINCSCP_16665	NA	10270	AKAP8	2.818	6e-4
LINCSCP_16665	NA	26036	ZNF451	2.7828	6e-4
LINCSCP_16665	NA	23325	KIAA1033	-2.2677	6e-4
LINCSCP_16665	NA	291	SLC25A4	-2.6372	7e-4
LINCSCP_16665	NA	10681	GNB5	-2.0643	9e-4
LINCSCP_16665	NA	10523	CHERP	2.7448	9e-4
LINCSCP_16665	NA	3156	HMGCR	2.0722	0.001
LINCSCP_16665	NA	55818	KDM3A	1.9059	0.0016
LINCSCP_16665	NA	5427	POLE2	-2.1107	0.0019
LINCSCP_16665	NA	80746	TSEN2	-2.6887	0.002
LINCSCP_16665	NA	1429	CRYZ	-1.7285	0.0021
LINCSCP_16665	NA	6464	SHC1	1.6531	0.0023
LINCSCP_16665	NA	11182	SLC2A6	-1.8735	0.0023
LINCSCP_16665	NA	11230	PRAF2	-2.0513	0.0026
LINCSCP_16665	NA	55324	ABCF3	1.6624	0.0027
LINCSCP_16665	NA	4927	NUP88	-2.3212	0.0028
LINCSCP_16665	NA	10915	TCERG1	1.5867	0.0028
LINCSCP_16665	NA	10513	APPBP2	-1.6161	0.0029
LINCSCP_16665	NA	3930	LBR	-1.895	0.0029
LINCSCP_16665	NA	23244	PDS5A	-1.8139	0.003
LINCSCP_16665	NA	51170	HSD17B11	-2.4869	0.003
LINCSCP_16665	NA	2274	FHL2	-3.7239	0.0031
LINCSCP_16665	NA	5985	RFC5	1.7803	0.0035
LINCSCP_16665	NA	84722	PSRC1	2.1534	0.0037
LINCSCP_16665	NA	1666	DECR1	-1.6283	0.0038
LINCSCP_16665	NA	10329	TMEM5	-2.2751	0.0038
LINCSCP_16665	NA	3312	HSPA8	-1.6355	0.0041
LINCSCP_16665	NA	7874	USP7	1.5356	0.0043
LINCSCP_16665	NA	3486	IGFBP3	-1.4091	0.0044
LINCSCP_16665	NA	29082	CHMP4A	-1.5498	0.0046
LINCSCP_16665	NA	51375	SNX7	1.6205	0.0047
LINCSCP_16665	NA	2745	GLRX	-1.5701	0.0047
LINCSCP_16665	NA	9533	POLR1C	1.9498	0.0048
LINCSCP_16665	NA	5601	MAPK9	-1.6263	0.0051
LINCSCP_16665	NA	54681	P4HTM	1.8421	0.0051
LINCSCP_16665	NA	23443	SLC35A3	-1.5192	0.0052
LINCSCP_16665	NA	6790	AURKA	1.561	0.0053
LINCSCP_16665	NA	147179	WIPF2	1.626	0.0054
LINCSCP_16665	NA	4850	CNOT4	1.6586	0.0055
LINCSCP_16665	NA	994	CDC25B	1.3816	0.0055
LINCSCP_16665	NA	8720	MBTPS1	-1.5199	0.0056
LINCSCP_16665	NA	1514	CTSL	-1.4158	0.0057
LINCSCP_16665	NA	11004	KIF2C	2.1923	0.0057
LINCSCP_16665	NA	2582	GALE	-1.5335	0.006
LINCSCP_16665	NA	154	ADRB2	-1.3738	0.0061
LINCSCP_16665	NA	65057	ACD	1.5167	0.0061
LINCSCP_16665	NA	6839	SUV39H1	1.4617	0.0064
LINCSCP_16665	NA	10285	SMNDC1	2.9131	0.0066
LINCSCP_16665	NA	4794	NFKBIE	1.5151	0.0069
LINCSCP_16665	NA	3551	IKBKB	-1.5387	0.007
LINCSCP_16665	NA	8870	IER3	-1.7239	0.0071
LINCSCP_16665	NA	26020	LRP10	-1.3207	0.0074
LINCSCP_16665	NA	8678	BECN1	-1.4254	0.0077
LINCSCP_16665	NA	64746	ACBD3	1.4707	0.0078
LINCSCP_16665	NA	7105	TSPAN6	-1.2199	0.0079
LINCSCP_16665	NA	57178	ZMIZ1	1.3583	0.0084
LINCSCP_16665	NA	5829	PXN	1.1859	0.0084
LINCSCP_16665	NA	51635	DHRS7	1.6589	0.0086
LINCSCP_16665	NA	25	ABL1	1.2403	0.0087
LINCSCP_16665	NA	2037	EPB41L2	-1.333	0.0089
LINCSCP_16665	NA	9212	AURKB	1.1756	0.009
LINCSCP_16665	NA	5715	PSMD9	-1.9855	0.0093
LINCSCP_16665	NA	6184	RPN1	1.6048	0.0093
LINCSCP_16665	NA	51742	ARID4B	1.2136	0.0094
LINCSCP_16665	NA	51116	MRPS2	1.5092	0.0098
LINCSCP_16665	NA	5883	RAD9A	1.7406	0.0098
LINCSCP_16665	NA	23636	NUP62	1.1803	0.0099
LINCSCP_16665	NA	9688	NUP93	1.1896	0.0099
LINCSCP_16665	NA	55256	ADI1	-2.5084	0.01
LINCSCP_16665	NA	200734	SPRED2	1.5311	0.0101
LINCSCP_16665	NA	27095	TRAPPC3	-1.618	0.0102
LINCSCP_16665	NA	672	BRCA1	-1.7982	0.0103
LINCSCP_16665	NA	3308	HSPA4	1.3965	0.0103
LINCSCP_16665	NA	6284	S100A13	-1.8307	0.0105
LINCSCP_16665	NA	4331	MNAT1	-1.4665	0.0109
LINCSCP_16665	NA	84890	ADO	1.1991	0.011
LINCSCP_16665	NA	2625	GATA3	1.2196	0.0112
LINCSCP_16665	NA	4864	NPC1	-1.0929	0.0115
LINCSCP_16665	NA	51053	GMNN	1.2489	0.0119
LINCSCP_16665	NA	1643	DDB2	-1.3092	0.0122
LINCSCP_16665	NA	10797	MTHFD2	-1.1182	0.0122
LINCSCP_16665	NA	11168	PSIP1	-1.5774	0.0123
LINCSCP_16665	NA	6659	SOX4	-1.1204	0.0124
LINCSCP_16665	NA	4154	MBNL1	-1.2061	0.0125
LINCSCP_16665	NA	1662	DDX10	1.0717	0.0126
LINCSCP_16665	NA	1676	DFFA	1.0623	0.0127
LINCSCP_16665	NA	10153	CEBPZ	2.205	0.0128
LINCSCP_16665	NA	993	CDC25A	1.0793	0.0135
LINCSCP_16665	NA	7168	TPM1	-1.3006	0.0136
LINCSCP_16665	NA	23670	TMEM2	-1.061	0.0139
LINCSCP_16665	NA	1019	CDK4	1.225	0.0139
LINCSCP_16665	NA	8624	PSMG1	-2.0614	0.014
LINCSCP_16665	NA	5050	PAFAH1B3	-1.3404	0.0146
LINCSCP_16665	NA	8821	INPP4B	-1.6473	0.0147
LINCSCP_16665	NA	51335	NGRN	2.0429	0.0147
LINCSCP_16665	NA	23530	NNT	-1.508	0.0149
LINCSCP_16665	NA	10557	RPP38	1.186	0.0154
LINCSCP_16665	NA	11098	PRSS23	-1.3135	0.0155
LINCSCP_16665	NA	891	CCNB1	1.2533	0.0159
LINCSCP_16665	NA	9019	MPZL1	-1.4823	0.0164
LINCSCP_16665	NA	6193	RPS5	1.2492	0.0164
LINCSCP_16665	NA	6777	STAT5B	-1.3313	0.0164
LINCSCP_16665	NA	23210	JMJD6	1.0186	0.0167
LINCSCP_16665	NA	66008	TRAK2	-1.7275	0.0168
LINCSCP_16665	NA	27336	HTATSF1	1.0183	0.0168
LINCSCP_16665	NA	965	CD58	-1.1092	0.0169
LINCSCP_16665	NA	9270	ITGB1BP1	-2.1454	0.0169
LINCSCP_16665	NA	57149	LYRM1	-1.4013	0.017
LINCSCP_16665	NA	5836	PYGL	-1.7322	0.017
LINCSCP_16665	NA	3028	HSD17B10	1.1294	0.017
LINCSCP_16665	NA	28969	BZW2	1.1991	0.0173
LINCSCP_16665	NA	6990	DYNLT3	-1.0482	0.0173
LINCSCP_16665	NA	10237	SLC35B1	1.3066	0.0173
LINCSCP_16665	NA	23597	ACOT9	-1.1881	0.0174
LINCSCP_16665	NA	9217	VAPB	-1.6148	0.0174
LINCSCP_16665	NA	6657	SOX2	1.1639	0.0175
LINCSCP_16665	NA	51097	SCCPDH	-1.8675	0.0177
LINCSCP_16665	NA	4616	GADD45B	-1.5642	0.0182
LINCSCP_16665	NA	23300	ATMIN	1.1693	0.0183
LINCSCP_16665	NA	51071	DERA	-2.9743	0.0185
LINCSCP_16665	NA	7088	TLE1	-1.742	0.0189
LINCSCP_16665	NA	57215	THAP11	1.3568	0.019
LINCSCP_16665	NA	55129	ANO10	-1.4577	0.019
LINCSCP_16665	NA	2222	FDFT1	-1.3198	0.0196
LINCSCP_16665	NA	10652	YKT6	0.9682	0.02
LINCSCP_16665	NA	8573	CASK	-1.0367	0.0202
LINCSCP_16665	NA	80212	CCDC92	-0.9527	0.0203
LINCSCP_16665	NA	5289	PIK3C3	-1.3614	0.0203
LINCSCP_16665	NA	29978	UBQLN2	1.2046	0.021
LINCSCP_16665	NA	51070	NOSIP	0.9857	0.021
LINCSCP_16665	NA	5607	MAP2K5	-1.2287	0.021
LINCSCP_16665	NA	54442	KCTD5	1.2706	0.0212
LINCSCP_16665	NA	9943	OXSR1	-1.0095	0.0216
LINCSCP_16665	NA	4775	NFATC3	1.0112	0.0218
LINCSCP_16665	NA	54505	DHX29	1.2478	0.0218
LINCSCP_16665	NA	5357	PLS1	-1.1216	0.0222
LINCSCP_16665	NA	60528	ELAC2	1.0625	0.0223
LINCSCP_16665	NA	1647	GADD45A	-0.9865	0.0228
LINCSCP_16665	NA	8204	NRIP1	-1.0241	0.0232
LINCSCP_16665	NA	3988	LIPA	-1.4416	0.0235
LINCSCP_16665	NA	7158	TP53BP1	0.9212	0.0238
LINCSCP_16665	NA	1788	DNMT3A	1.0413	0.0239
LINCSCP_16665	NA	10559	SLC35A1	-0.9586	0.0244
LINCSCP_16665	NA	5925	RB1	-0.8866	0.0245
LINCSCP_16665	NA	53343	NUDT9	0.9494	0.0247
LINCSCP_16665	NA	665	BNIP3L	-0.9433	0.0252
LINCSCP_16665	NA	6696	SPP1	-0.9315	0.0253
LINCSCP_16665	NA	9375	TM9SF2	1.1596	0.0259
LINCSCP_16665	NA	664	BNIP3	-0.9287	0.0267
LINCSCP_16665	NA	1759	DNM1	-1.011	0.0275
LINCSCP_16665	NA	4172	MCM3	1.2273	0.0276
LINCSCP_16665	NA	11000	SLC27A3	1.0039	0.0279
LINCSCP_16665	NA	55556	ENOSF1	-1.066	0.028
LINCSCP_16665	NA	2109	ETFB	-0.8488	0.0282
LINCSCP_16665	NA	22889	KIAA0907	-1.1189	0.0282
LINCSCP_16665	NA	2288	FKBP4	0.8961	0.0285
LINCSCP_16665	NA	1950	EGF	-1.3807	0.0287
LINCSCP_16665	NA	79716	NPEPL1	-0.8685	0.0288
LINCSCP_16665	NA	7015	TERT	0.8924	0.0288
LINCSCP_16665	NA	3682	ITGAE	-0.8829	0.0294
LINCSCP_16665	NA	2184	FAH	-0.9503	0.0297
LINCSCP_16665	NA	8324	FZD7	-1.1434	0.0305
LINCSCP_16665	NA	128	ADH5	-0.8968	0.0308
LINCSCP_16665	NA	596	BCL2	0.8661	0.031
LINCSCP_16665	NA	58472	SQRDL	-1.2624	0.0311
LINCSCP_16665	NA	23659	PLA2G15	0.9867	0.0311
LINCSCP_16665	NA	5092	PCBD1	-1.5958	0.0319
LINCSCP_16665	NA	211	ALAS1	0.9077	0.032
LINCSCP_16665	NA	835	CASP2	1.0054	0.0323
LINCSCP_16665	NA	4780	NFE2L2	1.069	0.0325
LINCSCP_16665	NA	79600	TCTN1	-1.0612	0.0329
LINCSCP_16665	NA	310	ANXA7	-1.1271	0.0332
LINCSCP_16665	NA	2961	GTF2E2	0.9444	0.0333
LINCSCP_16665	NA	4216	MAP3K4	0.8726	0.0338
LINCSCP_16665	NA	1212	CLTB	-1.9355	0.0346
LINCSCP_16665	NA	1052	CEBPD	0.843	0.0348
LINCSCP_16665	NA	11261	CHP1	-0.8446	0.0355
LINCSCP_16665	NA	6461	SHB	1.0628	0.0359
LINCSCP_16665	NA	79902	NUP85	0.7962	0.0361
LINCSCP_16665	NA	355	FAS	-0.7942	0.0368
