signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_96891	NA	7153	TOP2A	-8.8643	2.1068e-6
LINCSCP_96891	NA	983	CDK1	-6.9391	5.9058e-6
LINCSCP_96891	NA	3202	HOXA5	-6.4572	8.8047e-6
LINCSCP_96891	NA	481	ATP1B1	-7.175	0
LINCSCP_96891	NA	3638	INSIG1	-6.1152	0
LINCSCP_96891	NA	85236	HIST1H2BK	5.3107	0
LINCSCP_96891	NA	7319	UBE2A	-7.9176	1e-4
LINCSCP_96891	NA	23212	RRS1	4.1048	1e-4
LINCSCP_96891	NA	8974	P4HA2	-4.9305	1e-4
LINCSCP_96891	NA	994	CDC25B	-4.3345	1e-4
LINCSCP_96891	NA	51203	NUSAP1	-6.8101	2e-4
LINCSCP_96891	NA	51024	FIS1	-4.0233	2e-4
LINCSCP_96891	NA	6659	SOX4	-5.0516	2e-4
LINCSCP_96891	NA	11065	UBE2C	-4.4987	2e-4
LINCSCP_96891	NA	2274	FHL2	-7.2118	2e-4
LINCSCP_96891	NA	9868	TOMM70A	-3.8996	2e-4
LINCSCP_96891	NA	3157	HMGCS1	-4.7317	2e-4
LINCSCP_96891	NA	10589	DRAP1	3.8478	3e-4
LINCSCP_96891	NA	22908	SACM1L	4.2931	3e-4
LINCSCP_96891	NA	4792	NFKBIA	-3.4944	3e-4
LINCSCP_96891	NA	8731	RNMT	-3.6406	4e-4
LINCSCP_96891	NA	30836	DNTTIP2	3.7672	4e-4
LINCSCP_96891	NA	5236	PGM1	-3.5534	4e-4
LINCSCP_96891	NA	5715	PSMD9	3.2507	4e-4
LINCSCP_96891	NA	3337	DNAJB1	-3.5055	4e-4
LINCSCP_96891	NA	1017	CDK2	-3.3091	5e-4
LINCSCP_96891	NA	79080	CCDC86	3.1828	6e-4
LINCSCP_96891	NA	1848	DUSP6	3.6826	6e-4
LINCSCP_96891	NA	5708	PSMD2	3.6808	6e-4
LINCSCP_96891	NA	10813	UTP14A	3.062	7e-4
LINCSCP_96891	NA	8061	FOSL1	3.2325	7e-4
LINCSCP_96891	NA	840	CASP7	-4.4242	7e-4
LINCSCP_96891	NA	6790	AURKA	3.4484	7e-4
LINCSCP_96891	NA	5111	PCNA	-4.0125	8e-4
LINCSCP_96891	NA	23224	SYNE2	-2.7526	8e-4
LINCSCP_96891	NA	27346	TMEM97	-3.1556	8e-4
LINCSCP_96891	NA	51071	DERA	-2.7885	9e-4
LINCSCP_96891	NA	7082	TJP1	-3.192	9e-4
LINCSCP_96891	NA	3206	HOXA10	-3.3556	9e-4
LINCSCP_96891	NA	10969	EBNA1BP2	3.9329	9e-4
LINCSCP_96891	NA	55837	EAPP	-2.7104	9e-4
LINCSCP_96891	NA	11073	TOPBP1	-3.4096	0.001
LINCSCP_96891	NA	665	BNIP3L	-2.9769	0.001
LINCSCP_96891	NA	54733	SLC35F2	2.9882	0.001
LINCSCP_96891	NA	8091	HMGA2	2.8426	0.0011
LINCSCP_96891	NA	7466	WFS1	-3.2628	0.0012
LINCSCP_96891	NA	9531	BAG3	2.6245	0.0012
LINCSCP_96891	NA	2956	MSH6	-3.2794	0.0012
LINCSCP_96891	NA	207	AKT1	2.5555	0.0013
LINCSCP_96891	NA	329	BIRC2	2.6672	0.0013
LINCSCP_96891	NA	10007	GNPDA1	-2.5068	0.0014
LINCSCP_96891	NA	11188	NISCH	-2.872	0.0014
LINCSCP_96891	NA	4172	MCM3	-3.9211	0.0015
LINCSCP_96891	NA	29978	UBQLN2	-2.9097	0.0016
LINCSCP_96891	NA	891	CCNB1	2.9373	0.0016
LINCSCP_96891	NA	10972	TMED10	-3.1785	0.0017
LINCSCP_96891	NA	10237	SLC35B1	3.4418	0.0017
LINCSCP_96891	NA	10962	MLLT11	-3.0349	0.0017
LINCSCP_96891	NA	595	CCND1	2.4883	0.0017
LINCSCP_96891	NA	23097	CDK19	-2.6131	0.0017
LINCSCP_96891	NA	874	CBR3	-2.3721	0.0018
LINCSCP_96891	NA	7048	TGFBR2	2.715	0.0018
LINCSCP_96891	NA	8050	PDHX	2.4358	0.0018
LINCSCP_96891	NA	10493	VAT1	-3.0231	0.0019
LINCSCP_96891	NA	8574	AKR7A2	-2.641	0.0019
LINCSCP_96891	NA	3098	HK1	2.5887	0.0019
LINCSCP_96891	NA	899	CCNF	-2.8617	0.0019
LINCSCP_96891	NA	4651	MYO10	2.792	0.0021
LINCSCP_96891	NA	84722	PSRC1	2.7238	0.0021
LINCSCP_96891	NA	10670	RRAGA	-3.2051	0.0021
LINCSCP_96891	NA	8985	PLOD3	2.5858	0.0021
LINCSCP_96891	NA	10513	APPBP2	-2.2714	0.0023
LINCSCP_96891	NA	22934	RPIA	2.8859	0.0024
LINCSCP_96891	NA	9270	ITGB1BP1	2.4018	0.0025
LINCSCP_96891	NA	10150	MBNL2	-3.182	0.0026
LINCSCP_96891	NA	392	ARHGAP1	-2.3352	0.0026
LINCSCP_96891	NA	4783	NFIL3	-2.7136	0.0027
LINCSCP_96891	NA	7398	USP1	-2.5311	0.0028
LINCSCP_96891	NA	3329	HSPD1	2.3245	0.0028
LINCSCP_96891	NA	11098	PRSS23	-2.8568	0.0031
LINCSCP_96891	NA	9124	PDLIM1	-3.8478	0.0032
LINCSCP_96891	NA	4860	PNP	2.6997	0.0032
LINCSCP_96891	NA	23076	RRP1B	3.1951	0.0033
LINCSCP_96891	NA	1277	COL1A1	-2.2688	0.0034
LINCSCP_96891	NA	54205	CYCS	2.0788	0.0034
LINCSCP_96891	NA	9128	PRPF4	2.4995	0.0034
LINCSCP_96891	NA	230	ALDOC	-2.2223	0.0035
LINCSCP_96891	NA	11041	B4GAT1	-2.0938	0.0036
LINCSCP_96891	NA	2222	FDFT1	-3.5708	0.0036
LINCSCP_96891	NA	965	CD58	-2.7568	0.0036
LINCSCP_96891	NA	5710	PSMD4	2.6604	0.0037
LINCSCP_96891	NA	2810	SFN	-1.9939	0.0041
LINCSCP_96891	NA	26136	TES	-3.114	0.0041
LINCSCP_96891	NA	1950	EGF	-1.9912	0.0041
LINCSCP_96891	NA	5440	POLR2K	2.0011	0.0042
LINCSCP_96891	NA	10112	KIF20A	2.2628	0.0043
LINCSCP_96891	NA	63874	ABHD4	-2.7512	0.0043
LINCSCP_96891	NA	10523	CHERP	1.9919	0.0043
LINCSCP_96891	NA	4793	NFKBIB	2.013	0.0044
LINCSCP_96891	NA	1635	DCTD	2.2101	0.0045
LINCSCP_96891	NA	3628	INPP1	2.0262	0.0046
LINCSCP_96891	NA	55620	STAP2	2.1032	0.0047
LINCSCP_96891	NA	39	ACAT2	-2.1371000000000002	0.0048
LINCSCP_96891	NA	23530	NNT	-1.9577	0.0048
LINCSCP_96891	NA	8480	RAE1	1.9532	0.0048
LINCSCP_96891	NA	991	CDC20	3.2529	0.0049
LINCSCP_96891	NA	1983	EIF5	2.0359	0.0052
LINCSCP_96891	NA	6597	SMARCA4	2.6171	0.0056
LINCSCP_96891	NA	2542	SLC37A4	-1.9942	0.0057
LINCSCP_96891	NA	6182	MRPL12	1.9346	0.0059
LINCSCP_96891	NA	23210	JMJD6	2.4267	0.006
LINCSCP_96891	NA	7874	USP7	2.2977	0.0061
LINCSCP_96891	NA	23658	LSM5	2.4224	0.0063
LINCSCP_96891	NA	9221	NOLC1	1.9921	0.0065
LINCSCP_96891	NA	8869	ST3GAL5	-1.8969	0.0067
LINCSCP_96891	NA	58478	ENOPH1	2.1047	0.0069
LINCSCP_96891	NA	1759	DNM1	-2.2094	0.007
LINCSCP_96891	NA	5880	RAC2	2.9259	0.0071
LINCSCP_96891	NA	10270	AKAP8	2.0147	0.0074
