signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_133143	NA	11065	UBE2C	2.9818	0.0031
LINCSCP_133143	NA	5357	PLS1	3.0671	0.0043
LINCSCP_133143	NA	2946	GSTM2	-2.5497	0.0056
LINCSCP_133143	NA	10489	LRRC41	-2.8498	0.0058
LINCSCP_133143	NA	3930	LBR	2.54	0.0059
LINCSCP_133143	NA	3725	JUN	-2.8738	0.0068
LINCSCP_133143	NA	6790	AURKA	2.8165	0.0068
LINCSCP_133143	NA	8826	IQGAP1	-2.4351	0.0068
LINCSCP_133143	NA	10112	KIF20A	2.4819	0.0073
LINCSCP_133143	NA	9133	CCNB2	2.4968	0.0074
LINCSCP_133143	NA	9928	KIF14	2.3799	0.0074
LINCSCP_133143	NA	55893	ZNF395	-2.4	0.0075
LINCSCP_133143	NA	9797	TATDN2	2.4954	0.0077
LINCSCP_133143	NA	9467	SH3BP5	2.3991	0.0095
LINCSCP_133143	NA	5467	PPARD	-2.4269	0.0102
LINCSCP_133143	NA	10652	YKT6	2.559	0.0103
LINCSCP_133143	NA	9897	KIAA0196	-2.281	0.0105
LINCSCP_133143	NA	5347	PLK1	2.411	0.0109
LINCSCP_133143	NA	5788	PTPRC	-2.1711	0.0121
LINCSCP_133143	NA	23223	RRP12	2.3155	0.013
LINCSCP_133143	NA	10818	FRS2	-2.0751	0.0132
LINCSCP_133143	NA	983	CDK1	2.041	0.0136
LINCSCP_133143	NA	991	CDC20	2.0257	0.0142
LINCSCP_133143	NA	51203	NUSAP1	1.9812	0.0162
LINCSCP_133143	NA	1500	CTNND1	-2.4082	0.0167
LINCSCP_133143	NA	836	CASP3	-2.0024	0.0168
LINCSCP_133143	NA	1676	DFFA	-1.997	0.0171
LINCSCP_133143	NA	211	ALAS1	-2.5035	0.018
LINCSCP_133143	NA	5898	RALA	1.8678	0.0183
LINCSCP_133143	NA	10007	GNPDA1	-1.8888	0.0183
LINCSCP_133143	NA	1399	CRKL	-1.9768	0.0185
LINCSCP_133143	NA	329	BIRC2	1.8335	0.0196
LINCSCP_133143	NA	7043	TGFB3	-1.8234	0.0207
LINCSCP_133143	NA	6464	SHC1	3.3856	0.0213
LINCSCP_133143	NA	11325	DDX42	3.4229	0.0215
LINCSCP_133143	NA	23410	SIRT3	-1.8186	0.0223
LINCSCP_133143	NA	8321	FZD1	-1.823	0.0223
LINCSCP_133143	NA	4817	NIT1	-1.9746	0.0225
LINCSCP_133143	NA	3206	HOXA10	1.93	0.0232
LINCSCP_133143	NA	5529	PPP2R5E	-1.744	0.0246
LINCSCP_133143	NA	10813	UTP14A	1.7199	0.0254
LINCSCP_133143	NA	2185	PTK2B	-1.8082	0.0255
LINCSCP_133143	NA	9926	LPGAT1	1.7022	0.0256
LINCSCP_133143	NA	23670	TMEM2	1.743	0.0258
LINCSCP_133143	NA	5048	PAFAH1B1	-2.0919	0.0258
LINCSCP_133143	NA	1062	CENPE	1.7844	0.0262
LINCSCP_133143	NA	51375	SNX7	-2.0391	0.0265
LINCSCP_133143	NA	3964	LGALS8	-1.6977	0.027
LINCSCP_133143	NA	9126	SMC3	-2.2123	0.027
LINCSCP_133143	NA	51385	ZNF589	-1.8862	0.0304
LINCSCP_133143	NA	57147	SCYL3	1.614	0.0306
LINCSCP_133143	NA	4232	MEST	-2.514	0.0313
