signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_92898	NA	23410	SIRT3	9.8182	5.0475e-7
LINCSCP_92898	NA	5054	SERPINE1	5.1634	0
LINCSCP_92898	NA	1831	TSC22D3	6.598	0
LINCSCP_92898	NA	4616	GADD45B	2.7064	3e-4
LINCSCP_92898	NA	4792	NFKBIA	2.3463	8e-4
LINCSCP_92898	NA	9531	BAG3	2.4872	9e-4
LINCSCP_92898	NA	79921	TCEAL4	2.4422	9e-4
LINCSCP_92898	NA	9833	MELK	1.8963	0.0012
LINCSCP_92898	NA	3280	HES1	-1.9951	0.0014
LINCSCP_92898	NA	1759	DNM1	-2.5051	0.0017
LINCSCP_92898	NA	2887	GRB10	-1.5678	0.0035
LINCSCP_92898	NA	6919	TCEA2	-1.4252	0.0041
LINCSCP_92898	NA	91137	SLC25A46	1.6268	0.0041
LINCSCP_92898	NA	11182	SLC2A6	1.4297	0.0042
LINCSCP_92898	NA	847	CAT	1.6326	0.0049
LINCSCP_92898	NA	4651	MYO10	-1.9551	0.0049
LINCSCP_92898	NA	54541	DDIT4	1.7137	0.0053
LINCSCP_92898	NA	25839	COG4	-1.4124	0.0054
LINCSCP_92898	NA	8870	IER3	-2.0008	0.0054
LINCSCP_92898	NA	780	DDR1	-1.3915	0.0058
LINCSCP_92898	NA	3091	HIF1A	1.4134	0.0059
LINCSCP_92898	NA	8837	CFLAR	1.4337	0.0063
LINCSCP_92898	NA	9289	ADGRG1	-2.0741	0.0065
LINCSCP_92898	NA	965	CD58	1.5458	0.007
LINCSCP_92898	NA	9246	UBE2L6	-1.2625	0.0073
LINCSCP_92898	NA	80347	COASY	1.2366	0.0077
LINCSCP_92898	NA	836	CASP3	-1.8741	0.0078
LINCSCP_92898	NA	2745	GLRX	-1.3023	0.008
LINCSCP_92898	NA	8826	IQGAP1	1.2272	0.0082
LINCSCP_92898	NA	5641	LGMN	-1.2812	0.0083
LINCSCP_92898	NA	3725	JUN	-1.6523	0.0083
LINCSCP_92898	NA	55748	CNDP2	1.3405	0.0087
LINCSCP_92898	NA	596	BCL2	-1.4014	0.0089
LINCSCP_92898	NA	55256	ADI1	1.4498	0.0094
LINCSCP_92898	NA	26128	KIF1BP	1.5487	0.0097
LINCSCP_92898	NA	3978	LIG1	-1.3558	0.0098
LINCSCP_92898	NA	51026	GOLT1B	1.4486	0.0101
LINCSCP_92898	NA	8624	PSMG1	1.192	0.0109
LINCSCP_92898	NA	329	BIRC2	1.1912	0.0115
LINCSCP_92898	NA	3638	INSIG1	-1.5332	0.0122
LINCSCP_92898	NA	51422	PRKAG2	1.4834	0.0126
LINCSCP_92898	NA	11004	KIF2C	1.3082	0.0127
LINCSCP_92898	NA	3206	HOXA10	-1.4189	0.0131
LINCSCP_92898	NA	5331	PLCB3	1.5948	0.0133
LINCSCP_92898	NA	54205	CYCS	1.3016	0.0139
LINCSCP_92898	NA	9813	EFCAB14	-1.2291	0.0141
LINCSCP_92898	NA	4331	MNAT1	1.2403	0.0144
LINCSCP_92898	NA	10190	TXNDC9	1.13	0.0145
LINCSCP_92898	NA	4482	MSRA	-1.1171	0.0149
LINCSCP_92898	NA	5971	RELB	1.1687	0.0152
LINCSCP_92898	NA	10150	MBNL2	1.07	0.0154
LINCSCP_92898	NA	4016	LOXL1	-1.2038	0.0154
LINCSCP_92898	NA	10123	ARL4C	-1.0567	0.0159
LINCSCP_92898	NA	3156	HMGCR	-1.4661	0.0164
LINCSCP_92898	NA	230	ALDOC	-1.047	0.0164
LINCSCP_92898	NA	7099	TLR4	6.8439	0.0166
LINCSCP_92898	NA	10969	EBNA1BP2	1.0304	0.0172
LINCSCP_92898	NA	9467	SH3BP5	-1.8909	0.0175
LINCSCP_92898	NA	9128	PRPF4	1.0711	0.018
LINCSCP_92898	NA	23244	PDS5A	-1.3767	0.0184
LINCSCP_92898	NA	10059	DNM1L	1.4314	0.019
LINCSCP_92898	NA	2184	FAH	1.2515	0.0192
LINCSCP_92898	NA	5603	MAPK13	-0.9776	0.0195
LINCSCP_92898	NA	7538	ZFP36	1.7674	0.0196
LINCSCP_92898	NA	9801	MRPL19	1.2097	0.0199
LINCSCP_92898	NA	5096	PCCB	1.1256	0.0211
LINCSCP_92898	NA	11137	PWP1	1.0856	0.0216
LINCSCP_92898	NA	3551	IKBKB	-0.9518	0.0217
LINCSCP_92898	NA	10644	IGF2BP2	1.145	0.0221
LINCSCP_92898	NA	2109	ETFB	-0.9974	0.0227
