signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_87756	NA	4775	NFATC3	-4.3943	9e-4
LINCSCP_87756	NA	5613	PRKX	-1.6897	0.0048
LINCSCP_87756	NA	85377	MICALL1	2.0398	0.0059
LINCSCP_87756	NA	10318	TNIP1	1.5308	0.0082
LINCSCP_87756	NA	9690	UBE3C	1.4976	0.0086
LINCSCP_87756	NA	79850	FAM57A	1.5799	0.0089
LINCSCP_87756	NA	23161	SNX13	-1.4795	0.0089
LINCSCP_87756	NA	23014	FBXO21	-1.4682	0.0094
LINCSCP_87756	NA	899	CCNF	4.7577	0.0116
LINCSCP_87756	NA	23011	RAB21	-1.2447	0.0119
LINCSCP_87756	NA	9275	BCL7B	1.2098	0.0123
LINCSCP_87756	NA	3398	ID2	1.4028	0.0124
LINCSCP_87756	NA	55556	ENOSF1	1.2976	0.013
LINCSCP_87756	NA	9903	KLHL21	1.1598	0.0154
LINCSCP_87756	NA	351	APP	-1.1698	0.0157
LINCSCP_87756	NA	8202	NCOA3	-1.9506	0.0162
LINCSCP_87756	NA	3486	IGFBP3	1.1975	0.0167
LINCSCP_87756	NA	2288	FKBP4	-1.5356	0.0183
LINCSCP_87756	NA	8974	P4HA2	1.1956	0.0185
LINCSCP_87756	NA	9738	CCP110	-1.1404	0.0188
LINCSCP_87756	NA	27095	TRAPPC3	1.1222	0.0223
LINCSCP_87756	NA	11014	KDELR2	1.1607	0.0227
LINCSCP_87756	NA	5716	PSMD10	1.2267	0.0234
LINCSCP_87756	NA	10954	PDIA5	1.0516	0.0238
LINCSCP_87756	NA	10775	POP4	1.1642	0.0241
LINCSCP_87756	NA	6850	SYK	-1.1452	0.0241
LINCSCP_87756	NA	10131	TRAP1	1.1058	0.0245
LINCSCP_87756	NA	7874	USP7	1.1646	0.0264
LINCSCP_87756	NA	2113	ETS1	-1.2319	0.0264
LINCSCP_87756	NA	28969	BZW2	1.0261	0.0271
LINCSCP_87756	NA	22883	CLSTN1	1.0612	0.0274
LINCSCP_87756	NA	2048	EPHB2	1.1634	0.0278
LINCSCP_87756	NA	80758	PRR7	1.6116	0.0287
LINCSCP_87756	NA	1605	DAG1	1.0052	0.0301
LINCSCP_87756	NA	1445	CSK	1.9945	0.0304
LINCSCP_87756	NA	3122	HLA-DRA	-1.0095	0.0311
LINCSCP_87756	NA	2115	ETV1	-1.7751	0.0316
LINCSCP_87756	NA	5236	PGM1	0.932	0.0319
LINCSCP_87756	NA	5223	PGAM1	0.9908	0.0322
LINCSCP_87756	NA	9702	CEP57	-1.0647	0.0335
LINCSCP_87756	NA	25987	TSKU	1.0703	0.0336
LINCSCP_87756	NA	10559	SLC35A1	-1.4782	0.0337
LINCSCP_87756	NA	57149	LYRM1	2.3513	0.0339
LINCSCP_87756	NA	23658	LSM5	-1.312	0.0344
LINCSCP_87756	NA	23321	TRIM2	-0.9593	0.0353
LINCSCP_87756	NA	23378	RRP8	0.9364	0.0354
LINCSCP_87756	NA	595	CCND1	1.6875	0.0358
LINCSCP_87756	NA	200734	SPRED2	-0.8816	0.0367
LINCSCP_87756	NA	9517	SPTLC2	1.0222	0.0368
LINCSCP_87756	NA	5720	PSME1	-0.9323	0.0369
LINCSCP_87756	NA	25839	COG4	1.1099	0.038
LINCSCP_87756	NA	54915	YTHDF1	1.0164	0.0381
LINCSCP_87756	NA	2920	CXCL2	-1.6402	0.0383
LINCSCP_87756	NA	51495	HACD3	-1.2423	0.0389
LINCSCP_87756	NA	9697	TRAM2	0.9987	0.0394
LINCSCP_87756	NA	10237	SLC35B1	0.8701	0.0396
LINCSCP_87756	NA	9924	PAN2	-1.086	0.0404
LINCSCP_87756	NA	9170	LPAR2	-1.1359	0.0406
LINCSCP_87756	NA	323	APBB2	-0.8986	0.0411
LINCSCP_87756	NA	9217	VAPB	1.2109	0.0416
LINCSCP_87756	NA	8678	BECN1	1.0432	0.0421
LINCSCP_87756	NA	6790	AURKA	0.8527	0.0428
LINCSCP_87756	NA	8480	RAE1	0.8544	0.0439
LINCSCP_87756	NA	2356	FPGS	0.8654	0.0444
LINCSCP_87756	NA	9842	PLEKHM1	-1.0581	0.0444
LINCSCP_87756	NA	27336	HTATSF1	-0.9991	0.0448
LINCSCP_87756	NA	348	APOE	-1.1843	0.045
LINCSCP_87756	NA	230	ALDOC	1.0855	0.0461
LINCSCP_87756	NA	7016	TESK1	-1.0139	0.0461
LINCSCP_87756	NA	10489	LRRC41	-1.5951	0.0464
LINCSCP_87756	NA	2625	GATA3	1.3012	0.0464
LINCSCP_87756	NA	8396	PIP4K2B	1.0626	0.0465
LINCSCP_87756	NA	9650	MTFR1	-1.4674	0.0466
LINCSCP_87756	NA	3682	ITGAE	0.8967	0.0468
LINCSCP_87756	NA	6304	SATB1	3.4041	0.0472
LINCSCP_87756	NA	5747	PTK2	-1.5381	0.0483
LINCSCP_87756	NA	5770	PTPN1	-1.2824	0.0488
LINCSCP_87756	NA	51053	GMNN	-0.9108	0.0495
LINCSCP_87756	NA	8444	DYRK3	-0.8065	0.0497
LINCSCP_87756	NA	4846	NOS3	-1.0214	0.0498
LINCSCP_87756	NA	5331	PLCB3	2.968	0.0498
LINCSCP_87756	NA	9246	UBE2L6	-0.8018	0.0501
LINCSCP_87756	NA	10973	ASCC3	1.107	0.0502
LINCSCP_87756	NA	53343	NUDT9	-1.2917	0.0502
