signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_133629	NA	5223	PGAM1	-7.1057	8.2296e-22
LINCSCP_133629	NA	5058	PAK1	5.4364	9.3559e-14
LINCSCP_133629	NA	10434	LYPLA1	-5.1144	3.1699e-12
LINCSCP_133629	NA	4482	MSRA	4.6685	4.7861e-12
LINCSCP_133629	NA	10099	TSPAN3	4.8069	7.8621e-11
LINCSCP_133629	NA	4609	MYC	3.8763	2.1927e-9
LINCSCP_133629	NA	5529	PPP2R5E	-4.3498	6.0691e-9
LINCSCP_133629	NA	54915	YTHDF1	-3.6172	5.7738e-8
LINCSCP_133629	NA	5927	KDM5A	3.7834	9.8594e-8
LINCSCP_133629	NA	9797	TATDN2	3.7965	1.4664e-7
LINCSCP_133629	NA	991	CDC20	-3.314	2.3138e-7
LINCSCP_133629	NA	29083	GTPBP8	-3.631	2.9736e-7
LINCSCP_133629	NA	24149	ZNF318	3.3834	3.5296e-7
LINCSCP_133629	NA	9833	MELK	-3.1972	6.8477e-7
LINCSCP_133629	NA	3157	HMGCS1	-3.1354	9.2418e-7
LINCSCP_133629	NA	9097	USP14	3.1684	9.5094e-7
LINCSCP_133629	NA	8870	IER3	-3.0895	1.184e-6
LINCSCP_133629	NA	89910	UBE3B	3.0294	2.782e-6
LINCSCP_133629	NA	50814	NSDHL	-2.993	2.9004e-6
LINCSCP_133629	NA	9531	BAG3	-3.3189	3.4572e-6
LINCSCP_133629	NA	79080	CCDC86	-2.9575	4.0899e-6
LINCSCP_133629	NA	7416	VDAC1	-2.9304	4.6619e-6
LINCSCP_133629	NA	23223	RRP12	2.9077	4.8226e-6
LINCSCP_133629	NA	4792	NFKBIA	-2.8526	7.5313e-6
LINCSCP_133629	NA	28969	BZW2	-2.7979	9.691e-6
LINCSCP_133629	NA	10131	TRAP1	-2.823	0
LINCSCP_133629	NA	1983	EIF5	-2.6798	0
LINCSCP_133629	NA	10513	APPBP2	2.7254	0
LINCSCP_133629	NA	5347	PLK1	-2.6296	0
LINCSCP_133629	NA	5982	RFC2	-2.8222	0
LINCSCP_133629	NA	2042	EPHA3	-2.7029	0
LINCSCP_133629	NA	10969	EBNA1BP2	-2.5681	1e-4
LINCSCP_133629	NA	896	CCND3	-2.5396	1e-4
LINCSCP_133629	NA	1452	CSNK1A1	-2.5918	1e-4
LINCSCP_133629	NA	23210	JMJD6	-2.4415	1e-4
LINCSCP_133629	NA	6909	TBX2	-2.4072	1e-4
LINCSCP_133629	NA	8869	ST3GAL5	2.3762	2e-4
LINCSCP_133629	NA	79143	MBOAT7	-2.4951	2e-4
LINCSCP_133629	NA	8974	P4HA2	2.4377	2e-4
LINCSCP_133629	NA	7358	UGDH	2.3632	2e-4
LINCSCP_133629	NA	50810	HDGFRP3	2.3923	2e-4
LINCSCP_133629	NA	2113	ETS1	2.33	3e-4
LINCSCP_133629	NA	3122	HLA-DRA	-2.4773	3e-4
LINCSCP_133629	NA	9488	PIGB	2.2944	3e-4
LINCSCP_133629	NA	1802	DPH2	-2.3416	3e-4
LINCSCP_133629	NA	3312	HSPA8	-2.3155	3e-4
LINCSCP_133629	NA	79716	NPEPL1	2.2703	3e-4
LINCSCP_133629	NA	9917	FAM20B	2.424	3e-4
LINCSCP_133629	NA	83743	GRWD1	-2.3718	3e-4
LINCSCP_133629	NA	10610	ST6GALNAC2	2.2309	4e-4
LINCSCP_133629	NA	5708	PSMD2	-2.1978	5e-4
LINCSCP_133629	NA	55256	ADI1	-2.2892	5e-4
LINCSCP_133629	NA	5289	PIK3C3	2.2048	5e-4
LINCSCP_133629	NA	80349	WDR61	2.2742	7e-4
LINCSCP_133629	NA	23061	TBC1D9B	-2.1438	7e-4
LINCSCP_133629	NA	79600	TCTN1	-2.1157	8e-4
LINCSCP_133629	NA	1277	COL1A1	-2.1111	9e-4
