signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_36114	NA	8243	SMC1A	-6.6731	0.001
LINCSCP_36114	NA	533	ATP6V0B	-4.3204	0.0016
LINCSCP_36114	NA	5889	RAD51C	-3.6543	0.0017
LINCSCP_36114	NA	1026	CDKN1A	-3.7083	0.002
LINCSCP_36114	NA	2222	FDFT1	-3.7992	0.003
LINCSCP_36114	NA	7264	TSTA3	-4.1514	0.0043
LINCSCP_36114	NA	9531	BAG3	-5.4863	0.0063
LINCSCP_36114	NA	5993	RFX5	-5.7499	0.0073
LINCSCP_36114	NA	55837	EAPP	-3.2129	0.0079
LINCSCP_36114	NA	5720	PSME1	-3.8675	0.0084
LINCSCP_36114	NA	10810	WASF3	2.6697	0.0084
LINCSCP_36114	NA	1029	CDKN2A	2.6352	0.0098
LINCSCP_36114	NA	80746	TSEN2	2.4671	0.0101
LINCSCP_36114	NA	4154	MBNL1	-3.7116	0.0107
LINCSCP_36114	NA	6944	VPS72	2.8232	0.0109
LINCSCP_36114	NA	9375	TM9SF2	-2.5364	0.0121
LINCSCP_36114	NA	9688	NUP93	-3.9294	0.0122
LINCSCP_36114	NA	808	CALM3	2.2885	0.0123
LINCSCP_36114	NA	10131	TRAP1	2.7526	0.0133
LINCSCP_36114	NA	6599	SMARCC1	-3.2952	0.0138
LINCSCP_36114	NA	6184	RPN1	-5.0888	0.0139
LINCSCP_36114	NA	51203	NUSAP1	-5.1408	0.0142
LINCSCP_36114	NA	310	ANXA7	-2.9601	0.0146
LINCSCP_36114	NA	9217	VAPB	-2.6426	0.0146
LINCSCP_36114	NA	8569	MKNK1	2.4501	0.0149
LINCSCP_36114	NA	10058	ABCB6	-5.3468	0.015
LINCSCP_36114	NA	3329	HSPD1	-3.0553	0.0156
LINCSCP_36114	NA	5867	RAB4A	-2.2744	0.0157
LINCSCP_36114	NA	9854	C2CD2L	-2.3498	0.016
LINCSCP_36114	NA	55699	IARS2	-3.2248	0.0168
LINCSCP_36114	NA	11182	SLC2A6	2.3849	0.0168
LINCSCP_36114	NA	23410	SIRT3	2.2655	0.0172
LINCSCP_36114	NA	10150	MBNL2	6.1365	0.0173
LINCSCP_36114	NA	7027	TFDP1	-3.0778	0.0174
LINCSCP_36114	NA	3122	HLA-DRA	2.3245	0.0175
LINCSCP_36114	NA	9695	EDEM1	6.9677	0.0179
LINCSCP_36114	NA	9221	NOLC1	-3.1168	0.0181
LINCSCP_36114	NA	55256	ADI1	-3.3667	0.0187
LINCSCP_36114	NA	1643	DDB2	-2.5296	0.0199
LINCSCP_36114	NA	2961	GTF2E2	2.1932	0.0211
LINCSCP_36114	NA	23658	LSM5	-3.8422	0.0231
LINCSCP_36114	NA	79071	ELOVL6	-2.4403	0.0238
LINCSCP_36114	NA	6390	SDHB	-3.008	0.0241
LINCSCP_36114	NA	25987	TSKU	2.7959	0.0243
LINCSCP_36114	NA	991	CDC20	-5.7731	0.0249
LINCSCP_36114	NA	11004	KIF2C	-2.0468	0.0251
LINCSCP_36114	NA	10038	PARP2	-2.3551	0.0254
LINCSCP_36114	NA	9467	SH3BP5	-2.219	0.0256
LINCSCP_36114	NA	1153	CIRBP	-3.3252	0.0256
LINCSCP_36114	NA	53343	NUDT9	-2.302	0.0257
LINCSCP_36114	NA	23300	ATMIN	-1.9861	0.026
LINCSCP_36114	NA	7398	USP1	-2.4674	0.026
LINCSCP_36114	NA	2745	GLRX	-2.0807	0.0268
LINCSCP_36114	NA	10285	SMNDC1	-2.3943	0.0274
LINCSCP_36114	NA	23635	SSBP2	2.0541	0.0275
LINCSCP_36114	NA	1509	CTSD	-3.0588	0.0283
LINCSCP_36114	NA	3416	IDE	-2.1579	0.0285
LINCSCP_36114	NA	2058	EPRS	-2.2719	0.0287
LINCSCP_36114	NA	10732	TCFL5	2.1568	0.0293
LINCSCP_36114	NA	7485	WRB	-2.0852	0.0295
LINCSCP_36114	NA	329	BIRC2	-2.1329	0.0301
LINCSCP_36114	NA	5971	RELB	4.4028	0.0301
LINCSCP_36114	NA	154	ADRB2	4.0987	0.0306
LINCSCP_36114	NA	9519	TBPL1	-2.2404	0.0309
LINCSCP_36114	NA	9270	ITGB1BP1	-2.3576	0.0311
LINCSCP_36114	NA	7319	UBE2A	-1.9169	0.0315
LINCSCP_36114	NA	10972	TMED10	-2.1527	0.0325
LINCSCP_36114	NA	55111	PLEKHJ1	2.1338	0.0329
LINCSCP_36114	NA	23326	USP22	-3.6665	0.0331
LINCSCP_36114	NA	51385	ZNF589	2.7011	0.0334
LINCSCP_36114	NA	5699	PSMB10	-1.8303	0.0337
LINCSCP_36114	NA	10057	ABCC5	2.1683	0.0343
LINCSCP_36114	NA	8050	PDHX	1.9971	0.0347
LINCSCP_36114	NA	672	BRCA1	-2.4435	0.0347
LINCSCP_36114	NA	387	RHOA	2.0206	0.0355
LINCSCP_36114	NA	291	SLC25A4	2.5976	0.0356
LINCSCP_36114	NA	3925	STMN1	-1.714	0.036
LINCSCP_36114	NA	6697	SPR	-4.2638	0.0377
LINCSCP_36114	NA	51070	NOSIP	-2.479	0.0378
LINCSCP_36114	NA	7494	XBP1	-1.8696	0.0384
LINCSCP_36114	NA	4482	MSRA	4.2887	0.0386
LINCSCP_36114	NA	55893	ZNF395	1.6623000000000001	0.0398
LINCSCP_36114	NA	8800	PEX11A	-1.731	0.0405
LINCSCP_36114	NA	5373	PMM2	1.6754	0.0407
LINCSCP_36114	NA	5108	PCM1	-2.5884	0.0408
LINCSCP_36114	NA	3383	ICAM1	3.199	0.0413
LINCSCP_36114	NA	3964	LGALS8	2.369	0.0422
LINCSCP_36114	NA	7043	TGFB3	2.0152	0.0432
LINCSCP_36114	NA	8996	NOL3	2.4844	0.0434
LINCSCP_36114	NA	1111	CHEK1	2.4737	0.0434
LINCSCP_36114	NA	10493	VAT1	-5.0013	0.0437
LINCSCP_36114	NA	7077	TIMP2	1.8637	0.0439
LINCSCP_36114	NA	9926	LPGAT1	-1.7638	0.0439
LINCSCP_36114	NA	3303	HSPA1A	-3.9449	0.0447
LINCSCP_36114	NA	54205	CYCS	-2.431	0.0447
LINCSCP_36114	NA	2195	FAT1	1.7961	0.0456
LINCSCP_36114	NA	2274	FHL2	-1.7298	0.0474
LINCSCP_36114	NA	1676	DFFA	1.8887	0.0482
LINCSCP_36114	NA	1019	CDK4	-2.4974	0.0485
LINCSCP_36114	NA	23224	SYNE2	-1.6124	0.0489
LINCSCP_36114	NA	4776	NFATC4	2.0195	0.0492
LINCSCP_36114	NA	11319	ECD	-1.6953	0.0493
LINCSCP_36114	NA	2184	FAH	1.5949	0.0498
LINCSCP_36114	NA	1277	COL1A1	4.2751	0.0511
LINCSCP_36114	NA	2553	GABPB1	-1.699	0.0514
