signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_136637	NA	3964	LGALS8	4.9207	5e-4
LINCSCP_136637	NA	9531	BAG3	-5.8388	6e-4
LINCSCP_136637	NA	51015	ISOC1	-5.0815	0.0011
LINCSCP_136637	NA	6944	VPS72	4.2146	0.0014
LINCSCP_136637	NA	10797	MTHFD2	-3.9094	0.0014
LINCSCP_136637	NA	10898	CPSF4	3.7336	0.0016
LINCSCP_136637	NA	5440	POLR2K	-3.5831	0.002
LINCSCP_136637	NA	6772	STAT1	-4.0393	0.0021
LINCSCP_136637	NA	23530	NNT	3.6273	0.0022
LINCSCP_136637	NA	4154	MBNL1	-3.8173	0.0022
LINCSCP_136637	NA	6184	RPN1	-3.7055	0.0023
LINCSCP_136637	NA	5108	PCM1	-3.8549	0.0025
LINCSCP_136637	NA	1666	DECR1	-3.4326	0.0025
LINCSCP_136637	NA	23014	FBXO21	-3.2262	0.0026
LINCSCP_136637	NA	3337	DNAJB1	-3.5346	0.0029
LINCSCP_136637	NA	7511	XPNPEP1	-4.5512	0.0029
LINCSCP_136637	NA	23326	USP22	-3.4639	0.003
LINCSCP_136637	NA	9467	SH3BP5	-4.199	0.0031
LINCSCP_136637	NA	23522	KAT6B	-3.0492	0.0034
LINCSCP_136637	NA	11325	DDX42	-3.0915	0.0035
LINCSCP_136637	NA	5993	RFX5	-4.5933	0.0035
LINCSCP_136637	NA	5110	PCMT1	-3.4247	0.0035
LINCSCP_136637	NA	2222	FDFT1	-6.5567	0.0036
LINCSCP_136637	NA	9375	TM9SF2	-3.1056	0.0036
LINCSCP_136637	NA	7494	XBP1	-3.1136	0.0038
LINCSCP_136637	NA	23658	LSM5	-4.1512	0.0041
LINCSCP_136637	NA	310	ANXA7	-2.9586	0.0043
LINCSCP_136637	NA	8202	NCOA3	-3.524	0.0044
LINCSCP_136637	NA	79921	TCEAL4	-2.6437	0.0047
LINCSCP_136637	NA	22887	FOXJ3	-3.1645	0.005
LINCSCP_136637	NA	1153	CIRBP	-2.8531	0.0053
LINCSCP_136637	NA	58478	ENOPH1	-3.0653	0.0055
LINCSCP_136637	NA	9797	TATDN2	-3.3133	0.0056
LINCSCP_136637	NA	5743	PTGS2	6.0208	0.0057
LINCSCP_136637	NA	5971	RELB	2.9603	0.0057
LINCSCP_136637	NA	55699	IARS2	-3.5416	0.0058
LINCSCP_136637	NA	7105	TSPAN6	2.8387	0.0061
LINCSCP_136637	NA	56889	TM9SF3	-2.8929	0.0062
LINCSCP_136637	NA	8480	RAE1	-2.7296	0.0062
LINCSCP_136637	NA	9552	SPAG7	3.0801	0.0062
LINCSCP_136637	NA	26128	KIF1BP	-3.3101	0.0064
LINCSCP_136637	NA	23039	XPO7	-4.7575	0.0064
LINCSCP_136637	NA	9170	LPAR2	4.4691	0.0065
LINCSCP_136637	NA	55256	ADI1	-3.151	0.007
LINCSCP_136637	NA	8895	CPNE3	-2.7165	0.0073
LINCSCP_136637	NA	9761	MLEC	2.7852	0.0079
LINCSCP_136637	NA	9128	PRPF4	-2.6719	0.0082
LINCSCP_136637	NA	5261	PHKG2	-3.1163	0.0084
LINCSCP_136637	NA	4232	MEST	2.8949	0.0084
LINCSCP_136637	NA	5699	PSMB10	-2.7211	0.0088
LINCSCP_136637	NA	28969	BZW2	4.1953	0.0094
LINCSCP_136637	NA	1647	GADD45A	2.7883	0.0094
LINCSCP_136637	NA	7319	UBE2A	-4.4114	0.0097
LINCSCP_136637	NA	3815	KIT	2.488	0.0099
LINCSCP_136637	NA	902	CCNH	-3.1613	0.0106
LINCSCP_136637	NA	1845	DUSP3	-2.5534	0.0106
LINCSCP_136637	NA	3202	HOXA5	3.2076	0.0106
LINCSCP_136637	NA	533	ATP6V0B	-2.3763	0.0111
LINCSCP_136637	NA	25803	SPDEF	-2.2813	0.0111
LINCSCP_136637	NA	9738	CCP110	-2.5166	0.0112
LINCSCP_136637	NA	22841	RAB11FIP2	5.9181	0.0115
LINCSCP_136637	NA	329	BIRC2	-2.5715	0.0117
LINCSCP_136637	NA	2063	NR2F6	-3.1366	0.0118
LINCSCP_136637	NA	2956	MSH6	-2.3494	0.012
LINCSCP_136637	NA	54438	GFOD1	5.8926	0.0125
LINCSCP_136637	NA	5836	PYGL	2.8624	0.0126
LINCSCP_136637	NA	6919	TCEA2	2.4224	0.0128
LINCSCP_136637	NA	22809	ATF5	-2.418	0.013
LINCSCP_136637	NA	6804	STX1A	3.2991	0.013
LINCSCP_136637	NA	8624	PSMG1	-2.4403	0.0132
LINCSCP_136637	NA	3091	HIF1A	-2.4739	0.0134
LINCSCP_136637	NA	23325	KIAA1033	-3.1204	0.0134
LINCSCP_136637	NA	6251	RSU1	2.8715	0.0138
LINCSCP_136637	NA	23149	FCHO1	2.4601	0.0142
LINCSCP_136637	NA	1643	DDB2	-2.9257	0.0142
LINCSCP_136637	NA	64428	NARFL	5.0686	0.0148
LINCSCP_136637	NA	3480	IGF1R	-2.9557	0.0153
LINCSCP_136637	NA	6990	DYNLT3	-2.2442	0.0154
LINCSCP_136637	NA	10617	STAMBP	-2.2607	0.0156
LINCSCP_136637	NA	11151	CORO1A	2.0608	0.0156
LINCSCP_136637	NA	4651	MYO10	2.1412	0.0157
LINCSCP_136637	NA	6390	SDHB	-2.369	0.0158
LINCSCP_136637	NA	3303	HSPA1A	-2.2496	0.0163
LINCSCP_136637	NA	3895	KTN1	2.0932	0.0164
LINCSCP_136637	NA	51375	SNX7	2.0658	0.0165
LINCSCP_136637	NA	5096	PCCB	-2.2626	0.0169
LINCSCP_136637	NA	10782	ZNF274	2.1662	0.017
LINCSCP_136637	NA	4582	MUC1	2.3755	0.017
LINCSCP_136637	NA	4144	MAT2A	-2.3689	0.0177
LINCSCP_136637	NA	79850	FAM57A	2.1672	0.0181
LINCSCP_136637	NA	8243	SMC1A	-3.2963	0.0184
LINCSCP_136637	NA	10969	EBNA1BP2	-2.1613	0.0188
LINCSCP_136637	NA	56940	DUSP22	2.3306	0.0189
LINCSCP_136637	NA	5547	PRCP	-2.2148	0.0189
LINCSCP_136637	NA	7852	CXCR4	2.1638	0.019
LINCSCP_136637	NA	5287	PIK3C2B	-3.3523	0.0194
LINCSCP_136637	NA	5601	MAPK9	2.1668	0.0194
LINCSCP_136637	NA	2548	GAA	-2.2375	0.0195
LINCSCP_136637	NA	7048	TGFBR2	5.5861	0.0196
LINCSCP_136637	NA	9703	KIAA0100	-2.2695	0.0204
LINCSCP_136637	NA	79080	CCDC86	2.2873	0.0205
