signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_16658	NA	8870	IER3	-8.9117	1.3125e-6
LINCSCP_16658	NA	4609	MYC	-6.5751	0
LINCSCP_16658	NA	5982	RFC2	-5.1682	0
LINCSCP_16658	NA	7849	PAX8	4.0255	1e-4
LINCSCP_16658	NA	4783	NFIL3	4.6451	2e-4
LINCSCP_16658	NA	55608	ANKRD10	3.8316	2e-4
LINCSCP_16658	NA	80746	TSEN2	-3.3996	3e-4
LINCSCP_16658	NA	3725	JUN	-4.7381	3e-4
LINCSCP_16658	NA	840	CASP7	-3.8358	4e-4
LINCSCP_16658	NA	3638	INSIG1	3.7213	4e-4
LINCSCP_16658	NA	22889	KIAA0907	3.4543	4e-4
LINCSCP_16658	NA	3930	LBR	-3.238	4e-4
LINCSCP_16658	NA	4616	GADD45B	-4.2804	4e-4
LINCSCP_16658	NA	2673	GFPT1	4.3165	5e-4
LINCSCP_16658	NA	8821	INPP4B	-3.8219	5e-4
LINCSCP_16658	NA	7358	UGDH	3.1319	6e-4
LINCSCP_16658	NA	10617	STAMBP	-4.4701	7e-4
LINCSCP_16658	NA	22887	FOXJ3	3.263	7e-4
LINCSCP_16658	NA	10329	TMEM5	-2.97	7e-4
LINCSCP_16658	NA	11137	PWP1	-3.3599	7e-4
LINCSCP_16658	NA	4651	MYO10	-4.4001	8e-4
LINCSCP_16658	NA	5921	RASA1	-5.6594	8e-4
LINCSCP_16658	NA	7319	UBE2A	3.1434	9e-4
LINCSCP_16658	NA	4303	FOXO4	2.9451	0.001
LINCSCP_16658	NA	23585	TMEM50A	3.2624	0.001
LINCSCP_16658	NA	1846	DUSP4	-3.2012	0.001
LINCSCP_16658	NA	11098	PRSS23	-3.04	0.001
LINCSCP_16658	NA	8318	CDC45	-3.4726	0.0011
LINCSCP_16658	NA	5997	RGS2	3.7721	0.0012
LINCSCP_16658	NA	3312	HSPA8	-2.5635	0.0013
LINCSCP_16658	NA	55837	EAPP	2.7791	0.0013
LINCSCP_16658	NA	9217	VAPB	-2.7202	0.0014
LINCSCP_16658	NA	595	CCND1	-2.538	0.0015
LINCSCP_16658	NA	4331	MNAT1	-3.1487	0.0015
LINCSCP_16658	NA	10180	RBM6	3.1566	0.0018
LINCSCP_16658	NA	8324	FZD7	-2.5922	0.0018
LINCSCP_16658	NA	2625	GATA3	2.7118	0.0021
LINCSCP_16658	NA	8061	FOSL1	-6.3612	0.0023
LINCSCP_16658	NA	10038	PARP2	2.7291	0.0023
LINCSCP_16658	NA	7153	TOP2A	2.2381	0.0024
LINCSCP_16658	NA	10915	TCERG1	2.6221	0.0025
LINCSCP_16658	NA	9709	HERPUD1	2.6049	0.0026
LINCSCP_16658	NA	1906	EDN1	-2.9495	0.0026
LINCSCP_16658	NA	9903	KLHL21	2.2474	0.0027
LINCSCP_16658	NA	10953	TOMM34	-4.1008	0.0028
LINCSCP_16658	NA	54386	TERF2IP	2.6425	0.003
LINCSCP_16658	NA	55818	KDM3A	2.1412	0.0031
LINCSCP_16658	NA	211	ALAS1	2.2177	0.0031
LINCSCP_16658	NA	29083	GTPBP8	-2.2233	0.0033
LINCSCP_16658	NA	2582	GALE	-6.0385	0.0034
LINCSCP_16658	NA	1022	CDK7	2.694	0.0035
LINCSCP_16658	NA	1027	CDKN1B	2.5736	0.0035
LINCSCP_16658	NA	4690	NCK1	3.6394	0.0037
LINCSCP_16658	NA	54881	TEX10	-2.2684	0.0037
LINCSCP_16658	NA	3162	HMOX1	2.1551	0.0038
LINCSCP_16658	NA	9833	MELK	2.5991	0.0039
LINCSCP_16658	NA	60493	FASTKD5	2.0682	0.004
LINCSCP_16658	NA	5580	PRKCD	-2.2863	0.0041
LINCSCP_16658	NA	4144	MAT2A	-2.9478	0.0041
LINCSCP_16658	NA	5054	SERPINE1	-2.9592	0.0042
LINCSCP_16658	NA	22934	RPIA	-2.1949	0.0042
LINCSCP_16658	NA	10276	NET1	-2.4267	0.0042
LINCSCP_16658	NA	4927	NUP88	-2.7376	0.0044
LINCSCP_16658	NA	4850	CNOT4	2.5066	0.0045
LINCSCP_16658	NA	9517	SPTLC2	-2.6257	0.0045
LINCSCP_16658	NA	3156	HMGCR	3.445	0.0047
LINCSCP_16658	NA	50813	COPS7A	-1.9322	0.0047
LINCSCP_16658	NA	51422	PRKAG2	-2.3228	0.0047
LINCSCP_16658	NA	11182	SLC2A6	-2.7602	0.0048
LINCSCP_16658	NA	3280	HES1	-2.1449	0.0049
LINCSCP_16658	NA	7750	ZMYM2	2.3773	0.005
LINCSCP_16658	NA	9126	SMC3	2.0005	0.0051
LINCSCP_16658	NA	701	BUB1B	2.0867	0.0054
LINCSCP_16658	NA	10972	TMED10	2.4703	0.0055
LINCSCP_16658	NA	1647	GADD45A	-2.5711	0.0056
LINCSCP_16658	NA	10153	CEBPZ	2.566	0.0057
LINCSCP_16658	NA	16	AARS	2.205	0.0057
LINCSCP_16658	NA	5547	PRCP	2.0801	0.0057
LINCSCP_16658	NA	9641	IKBKE	-1.8818	0.0058
LINCSCP_16658	NA	466	ATF1	1.9887	0.006
LINCSCP_16658	NA	26511	CHIC2	-2.2005	0.0061
LINCSCP_16658	NA	10904	BLCAP	-2.2494	0.0062
LINCSCP_16658	NA	5601	MAPK9	-1.9419	0.0063
LINCSCP_16658	NA	8884	SLC5A6	2.5901	0.0065
LINCSCP_16658	NA	11200	CHEK2	-1.8536	0.0065
LINCSCP_16658	NA	9097	USP14	-2.4375	0.0065
LINCSCP_16658	NA	7494	XBP1	2.2632	0.0066
