signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_89040	NA	1454	CSNK1E	2.9662	3e-4
LINCSCP_89040	NA	9267	CYTH1	-1.8683	0.0029
LINCSCP_89040	NA	5290	PIK3CA	-2.6141	0.0049
LINCSCP_89040	NA	57192	MCOLN1	-1.7106	0.0057
LINCSCP_89040	NA	874	CBR3	1.4687	0.0078
LINCSCP_89040	NA	7048	TGFBR2	1.7907	0.0079
LINCSCP_89040	NA	1950	EGF	1.3987	0.0085
LINCSCP_89040	NA	5836	PYGL	1.4915	0.0097
LINCSCP_89040	NA	7088	TLE1	1.3277	0.0104
LINCSCP_89040	NA	10493	VAT1	1.5569	0.0113
LINCSCP_89040	NA	9637	FEZ2	2.0583	0.0121
LINCSCP_89040	NA	9917	FAM20B	-1.3445	0.0125
LINCSCP_89040	NA	50865	HEBP1	2.0052	0.0128
LINCSCP_89040	NA	2048	EPHB2	-1.3628	0.0135
LINCSCP_89040	NA	55129	ANO10	2.1708	0.0138
LINCSCP_89040	NA	5880	RAC2	1.2148	0.0141
LINCSCP_89040	NA	55748	CNDP2	1.8667	0.0151
LINCSCP_89040	NA	4016	LOXL1	1.491	0.0151
LINCSCP_89040	NA	51465	UBE2J1	-1.2723	0.0152
LINCSCP_89040	NA	8870	IER3	-1.216	0.0154
LINCSCP_89040	NA	9455	HOMER2	1.2054	0.0164
LINCSCP_89040	NA	51635	DHRS7	1.6294	0.0171
LINCSCP_89040	NA	3098	HK1	1.2864	0.0182
LINCSCP_89040	NA	348	APOE	-1.7575	0.0183
LINCSCP_89040	NA	5566	PRKACA	-1.4032	0.0191
LINCSCP_89040	NA	4232	MEST	-1.4614	0.0201
LINCSCP_89040	NA	64080	RBKS	1.353	0.0203
LINCSCP_89040	NA	58533	SNX6	1.4755	0.021
LINCSCP_89040	NA	10434	LYPLA1	1.1144	0.0211
LINCSCP_89040	NA	8324	FZD7	1.886	0.0215
LINCSCP_89040	NA	26227	PHGDH	1.2084	0.0215
LINCSCP_89040	NA	4638	MYLK	1.1893	0.0219
LINCSCP_89040	NA	11200	CHEK2	1.4265	0.0222
LINCSCP_89040	NA	23597	ACOT9	1.2714	0.0223
LINCSCP_89040	NA	7106	TSPAN4	1.2749	0.0224
LINCSCP_89040	NA	291	SLC25A4	-1.4967	0.0228
LINCSCP_89040	NA	25805	BAMBI	1.601	0.0242
LINCSCP_89040	NA	6119	RPA3	1.2085	0.0242
LINCSCP_89040	NA	7159	TP53BP2	1.3993	0.0243
LINCSCP_89040	NA	6118	RPA2	-1.6267	0.0245
LINCSCP_89040	NA	7538	ZFP36	-1.169	0.0248
LINCSCP_89040	NA	4792	NFKBIA	1.0966	0.0264
LINCSCP_89040	NA	2523	FUT1	-1.4544	0.0269
LINCSCP_89040	NA	7849	PAX8	1.1547	0.0274
LINCSCP_89040	NA	10398	MYL9	1.3044	0.0276
LINCSCP_89040	NA	55111	PLEKHJ1	1.2813	0.0279
LINCSCP_89040	NA	8440	NCK2	1.2348	0.0281
LINCSCP_89040	NA	5696	PSMB8	1.1841	0.0285
LINCSCP_89040	NA	8727	CTNNAL1	1.2945	0.0294
LINCSCP_89040	NA	4154	MBNL1	1.3466	0.0295
LINCSCP_89040	NA	2745	GLRX	1.2573	0.0297
LINCSCP_89040	NA	28969	BZW2	1.0907	0.0305
LINCSCP_89040	NA	5720	PSME1	1.7314	0.0307
LINCSCP_89040	NA	9688	NUP93	2.1659	0.0312
LINCSCP_89040	NA	6461	SHB	-2.6787	0.0313
LINCSCP_89040	NA	25803	SPDEF	-1.1902	0.0315
LINCSCP_89040	NA	55011	PIH1D1	-2.3464	0.0316
LINCSCP_89040	NA	2037	EPB41L2	1.1512	0.0318
LINCSCP_89040	NA	3206	HOXA10	-1.0152	0.032
LINCSCP_89040	NA	5986	RFNG	-1.3438	0.0324
LINCSCP_89040	NA	3486	IGFBP3	-0.9657	0.0324
LINCSCP_89040	NA	55012	PPP2R3C	1.0742	0.0326
LINCSCP_89040	NA	27242	TNFRSF21	-1.2034	0.0332
LINCSCP_89040	NA	5347	PLK1	1.45	0.0335
LINCSCP_89040	NA	30	ACAA1	1.0984	0.0339
LINCSCP_89040	NA	3162	HMOX1	-1.0257	0.0341
LINCSCP_89040	NA	1978	EIF4EBP1	1.0825	0.036
LINCSCP_89040	NA	10617	STAMBP	1.5398	0.0361
LINCSCP_89040	NA	6919	TCEA2	-1.3908	0.0371
LINCSCP_89040	NA	9703	KIAA0100	1.3269	0.0371
LINCSCP_89040	NA	23670	TMEM2	1.2442	0.0374
LINCSCP_89040	NA	2767	GNA11	0.9144	0.0381
LINCSCP_89040	NA	79174	CRELD2	1.07	0.0383
LINCSCP_89040	NA	7852	CXCR4	-1.0907	0.0395
LINCSCP_89040	NA	4931	NVL	-1.0174	0.0396
LINCSCP_89040	NA	4172	MCM3	-1.3119	0.0399
LINCSCP_89040	NA	10007	GNPDA1	1.4799	0.0401
LINCSCP_89040	NA	10559	SLC35A1	-1.427	0.0404
LINCSCP_89040	NA	23635	SSBP2	-1.0566	0.0407
LINCSCP_89040	NA	8520	HAT1	1.0862	0.0413
LINCSCP_89040	NA	6909	TBX2	-1.0877	0.0419
LINCSCP_89040	NA	23200	ATP11B	-1.5037	0.0419
LINCSCP_89040	NA	1429	CRYZ	1.4472	0.0422
LINCSCP_89040	NA	5373	PMM2	-3.0918	0.0429
LINCSCP_89040	NA	55148	UBR7	1.4259	0.043
LINCSCP_89040	NA	54957	TXNL4B	1.4201	0.043
LINCSCP_89040	NA	3033	HADH	0.9126	0.0433
LINCSCP_89040	NA	55256	ADI1	0.8919	0.0441
LINCSCP_89040	NA	8895	CPNE3	2.0563	0.0445
LINCSCP_89040	NA	23522	KAT6B	1.2525	0.0451
LINCSCP_89040	NA	5438	POLR2I	1.0278	0.0456
LINCSCP_89040	NA	23386	NUDCD3	1.5574	0.0458
LINCSCP_89040	NA	3280	HES1	-1.1634	0.0462
LINCSCP_89040	NA	3303	HSPA1A	1.4991	0.0463
LINCSCP_89040	NA	11142	PKIG	-1.8515	0.0469
