signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_66853	NA	6804	STX1A	3.1913	6e-4
LINCSCP_66853	NA	26001	RNF167	3.0888	7e-4
LINCSCP_66853	NA	57215	THAP11	-3.4954	0.0019
LINCSCP_66853	NA	23271	CAMSAP2	-1.9192	0.0019
LINCSCP_66853	NA	3251	HPRT1	1.8216	0.0021
LINCSCP_66853	NA	902	CCNH	-1.9262	0.0022
LINCSCP_66853	NA	5889	RAD51C	-2.7358	0.0023
LINCSCP_66853	NA	899	CCNF	1.7423	0.0024
LINCSCP_66853	NA	2288	FKBP4	-2.7255	0.0025
LINCSCP_66853	NA	10559	SLC35A1	-1.7786	0.0032
LINCSCP_66853	NA	81533	ITFG1	-3.3276	0.0032
LINCSCP_66853	NA	51170	HSD17B11	-1.9439	0.0033
LINCSCP_66853	NA	5747	PTK2	-1.7948	0.0049
LINCSCP_66853	NA	3028	HSD17B10	-5.0887	0.005
LINCSCP_66853	NA	3098	HK1	1.5294	0.0051
LINCSCP_66853	NA	4582	MUC1	3.5181	0.0055
LINCSCP_66853	NA	5154	PDGFA	1.4787	0.0059
LINCSCP_66853	NA	8985	PLOD3	1.4961	0.0061
LINCSCP_66853	NA	116832	RPL39L	1.9327	0.0065
LINCSCP_66853	NA	5588	PRKCQ	-1.4426	0.0068
LINCSCP_66853	NA	11151	CORO1A	-1.5323	0.007
LINCSCP_66853	NA	22827	PUF60	1.5467	0.007
LINCSCP_66853	NA	9093	DNAJA3	-3.9325	0.0073
LINCSCP_66853	NA	5796	PTPRK	-1.5043	0.0075
LINCSCP_66853	NA	7099	TLR4	-1.4404	0.0078
LINCSCP_66853	NA	1021	CDK6	1.3558	0.0108
LINCSCP_66853	NA	23321	TRIM2	-1.3774	0.0111
LINCSCP_66853	NA	79961	DENND2D	-1.4464	0.0111
LINCSCP_66853	NA	2810	SFN	1.4852	0.0111
LINCSCP_66853	NA	22841	RAB11FIP2	-1.3072	0.0121
LINCSCP_66853	NA	23463	ICMT	1.8663	0.0127
LINCSCP_66853	NA	23588	KLHDC2	-1.4207	0.0138
LINCSCP_66853	NA	9533	POLR1C	-1.3277	0.0143
LINCSCP_66853	NA	27032	ATP2C1	-1.2709	0.0145
LINCSCP_66853	NA	4792	NFKBIA	1.2899	0.0147
LINCSCP_66853	NA	79187	FSD1	-1.3049	0.0147
