signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_134131	NA	8804	CREG1	-2.2633	0.0011
LINCSCP_134131	NA	23378	RRP8	-1.5807	0.0015
LINCSCP_134131	NA	9703	KIAA0100	-1.3169	0.0024
LINCSCP_134131	NA	7849	PAX8	-1.4212	0.0036
LINCSCP_134131	NA	5927	KDM5A	-1.2935	0.0037
LINCSCP_134131	NA	4638	MYLK	1.2711	0.0056
LINCSCP_134131	NA	1956	EGFR	-1.3368	0.0077
LINCSCP_134131	NA	6050	RNH1	-1.1442	0.0082
LINCSCP_134131	NA	8870	IER3	-1.0968	0.0092
LINCSCP_134131	NA	8884	SLC5A6	-1.0921	0.0096
LINCSCP_134131	NA	10644	IGF2BP2	-1.1313	0.0102
LINCSCP_134131	NA	10146	G3BP1	1.4435	0.0104
LINCSCP_134131	NA	2274	FHL2	-1.1771	0.0106
LINCSCP_134131	NA	3108	HLA-DMA	-1.3227	0.0107
LINCSCP_134131	NA	26993	AKAP8L	-1.1973	0.011
LINCSCP_134131	NA	4893	NRAS	0.9612	0.0122
LINCSCP_134131	NA	3122	HLA-DRA	-1.3412	0.0123
LINCSCP_134131	NA	5883	RAD9A	-0.8945	0.0124
LINCSCP_134131	NA	6804	STX1A	-1.3828	0.0128
LINCSCP_134131	NA	10013	HDAC6	-1.0498	0.013
LINCSCP_134131	NA	55033	FKBP14	1.0271	0.0132
LINCSCP_134131	NA	6777	STAT5B	-1.0809	0.0133
LINCSCP_134131	NA	3312	HSPA8	0.8741	0.0138
LINCSCP_134131	NA	8800	PEX11A	1.1778	0.016
LINCSCP_134131	NA	23499	MACF1	-0.8882	0.017
LINCSCP_134131	NA	5331	PLCB3	-0.9311	0.0175
LINCSCP_134131	NA	4846	NOS3	-0.8352	0.0177
LINCSCP_134131	NA	29937	NENF	-0.8696	0.0178
LINCSCP_134131	NA	1846	DUSP4	-0.9742	0.0193
LINCSCP_134131	NA	466	ATF1	0.8231	0.0198
LINCSCP_134131	NA	4125	MAN2B1	-0.8089	0.0213
LINCSCP_134131	NA	5716	PSMD10	0.8643	0.0215
LINCSCP_134131	NA	9695	EDEM1	-0.7788	0.0227
LINCSCP_134131	NA	9289	ADGRG1	-0.8052	0.0229
LINCSCP_134131	NA	24149	ZNF318	0.7747	0.0234
LINCSCP_134131	NA	26001	RNF167	-1.0633	0.0242
LINCSCP_134131	NA	10818	FRS2	0.9256	0.0246
LINCSCP_134131	NA	10954	PDIA5	-0.784	0.0256
LINCSCP_134131	NA	55038	CDCA4	0.924	0.0269
LINCSCP_134131	NA	983	CDK1	2.1505	0.0271
LINCSCP_134131	NA	11284	PNKP	-0.806	0.0283
LINCSCP_134131	NA	5607	MAP2K5	-1.0919	0.029
LINCSCP_134131	NA	11065	UBE2C	1.0209	0.0294
LINCSCP_134131	NA	1001	CDH3	-4.5227	0.0297
LINCSCP_134131	NA	8996	NOL3	0.7013	0.0299
LINCSCP_134131	NA	5603	MAPK13	2.9358	0.03
LINCSCP_134131	NA	9448	MAP4K4	0.8437	0.0305
LINCSCP_134131	NA	8678	BECN1	-0.8092	0.0306
LINCSCP_134131	NA	5058	PAK1	-0.7044	0.0314
LINCSCP_134131	NA	9961	MVP	-0.7005	0.0323
LINCSCP_134131	NA	4793	NFKBIB	-0.9893	0.0328
LINCSCP_134131	NA	5111	PCNA	0.823	0.0331
LINCSCP_134131	NA	5720	PSME1	0.6845	0.0337
LINCSCP_134131	NA	6622	SNCA	-0.7715	0.0339
LINCSCP_134131	NA	1845	DUSP3	1.4333	0.0341
LINCSCP_134131	NA	57215	THAP11	-5.6852	0.0343
LINCSCP_134131	NA	8503	PIK3R3	-0.734	0.0348
LINCSCP_134131	NA	5900	RALGDS	-0.6902	0.0349
LINCSCP_134131	NA	25	ABL1	-1.0013	0.0354
LINCSCP_134131	NA	1212	CLTB	-0.6742	0.036
LINCSCP_134131	NA	8821	INPP4B	-0.7343	0.0369
LINCSCP_134131	NA	51495	HACD3	0.662	0.0371
LINCSCP_134131	NA	10046	MAMLD1	5.6056	0.0371
LINCSCP_134131	NA	6696	SPP1	0.8689	0.0371
LINCSCP_134131	NA	51005	AMDHD2	-0.7856	0.0373
LINCSCP_134131	NA	4690	NCK1	0.749	0.0374
LINCSCP_134131	NA	3815	KIT	0.751	0.0379
LINCSCP_134131	NA	2356	FPGS	0.9561	0.038
LINCSCP_134131	NA	5601	MAPK9	0.6711	0.0386
LINCSCP_134131	NA	8324	FZD7	-0.6573	0.0387
LINCSCP_134131	NA	23038	WDTC1	-0.8896	0.0398
LINCSCP_134131	NA	5880	RAC2	-1.3753	0.04
