signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_143204	NA	79143	MBOAT7	-2.9508	0.0025
LINCSCP_143204	NA	1994	ELAVL1	1.2398	0.0079
LINCSCP_143204	NA	10013	HDAC6	-1.2933	0.0103
LINCSCP_143204	NA	351	APP	-1.1472	0.0115
LINCSCP_143204	NA	3329	HSPD1	1.1205	0.0117
LINCSCP_143204	NA	873	CBR1	1.1651	0.0125
LINCSCP_143204	NA	55038	CDCA4	1.2862	0.0125
LINCSCP_143204	NA	10221	TRIB1	-1.1305	0.0135
LINCSCP_143204	NA	9702	CEP57	-1.132	0.0137
LINCSCP_143204	NA	11200	CHEK2	1.1043	0.0139
LINCSCP_143204	NA	9703	KIAA0100	1.7626	0.0162
LINCSCP_143204	NA	1459	CSNK2A2	-1.0734	0.0169
LINCSCP_143204	NA	10494	STK25	-1.2803	0.0177
LINCSCP_143204	NA	5827	PXMP2	1.0776	0.019
LINCSCP_143204	NA	3251	HPRT1	0.9583	0.0208
LINCSCP_143204	NA	83743	GRWD1	1.0994	0.0216
LINCSCP_143204	NA	8624	PSMG1	1.115	0.0222
LINCSCP_143204	NA	5883	RAD9A	1.5828	0.0228
LINCSCP_143204	NA	891	CCNB1	0.9693	0.0231
LINCSCP_143204	NA	7867	MAPKAPK3	4.066	0.0234
LINCSCP_143204	NA	8520	HAT1	0.9622	0.0235
LINCSCP_143204	NA	5788	PTPRC	-1.1879	0.0237
LINCSCP_143204	NA	3157	HMGCS1	-1.3984	0.024
LINCSCP_143204	NA	8837	CFLAR	1.0382	0.0252
LINCSCP_143204	NA	54442	KCTD5	0.954	0.0255
LINCSCP_143204	NA	670	BPHL	0.9288	0.0256
LINCSCP_143204	NA	51742	ARID4B	-0.9845	0.0257
LINCSCP_143204	NA	2356	FPGS	1.3366	0.0261
LINCSCP_143204	NA	9868	TOMM70A	-2.2607	0.0266
LINCSCP_143204	NA	51569	UFM1	1.1521	0.0266
LINCSCP_143204	NA	10329	TMEM5	0.9015	0.0272
LINCSCP_143204	NA	9926	LPGAT1	-1.3933	0.0282
LINCSCP_143204	NA	26036	ZNF451	-1.6827	0.0284
LINCSCP_143204	NA	55818	KDM3A	-2.2982	0.0298
LINCSCP_143204	NA	5867	RAB4A	1.1138	0.03
LINCSCP_143204	NA	3628	INPP1	-0.9991	0.03
LINCSCP_143204	NA	5588	PRKCQ	-1.0755	0.0303
LINCSCP_143204	NA	1452	CSNK1A1	-1.5492	0.0306
LINCSCP_143204	NA	11065	UBE2C	0.9241	0.0308
LINCSCP_143204	NA	5438	POLR2I	1.2566	0.0328
LINCSCP_143204	NA	200734	SPRED2	-0.9378	0.0328
LINCSCP_143204	NA	991	CDC20	1.1843	0.033
LINCSCP_143204	NA	4893	NRAS	0.9752	0.0343
LINCSCP_143204	NA	5290	PIK3CA	-0.949	0.0348
LINCSCP_143204	NA	3454	IFNAR1	-1.069	0.0349
LINCSCP_143204	NA	10123	ARL4C	-0.9491	0.0349
LINCSCP_143204	NA	7905	REEP5	0.8567	0.0354
LINCSCP_143204	NA	10776	ARPP19	0.8835	0.037
LINCSCP_143204	NA	1534	CYB561	1.1841	0.0373
LINCSCP_143204	NA	3416	IDE	0.8346	0.0374
LINCSCP_143204	NA	8974	P4HA2	-0.8117	0.0391
LINCSCP_143204	NA	5110	PCMT1	1.0359	0.0393
LINCSCP_143204	NA	23271	CAMSAP2	-0.9338	0.0397
LINCSCP_143204	NA	3206	HOXA10	-1.0783	0.0402
LINCSCP_143204	NA	622	BDH1	0.878	0.0418
LINCSCP_143204	NA	5547	PRCP	0.9959	0.0426
LINCSCP_143204	NA	5715	PSMD9	1.1565	0.0428
LINCSCP_143204	NA	79947	DHDDS	-1.1052	0.0433
LINCSCP_143204	NA	6839	SUV39H1	0.8169	0.0434
LINCSCP_143204	NA	2131	EXT1	-1.1014	0.0436
LINCSCP_143204	NA	4312	MMP1	-0.8593	0.0441
LINCSCP_143204	NA	4016	LOXL1	0.9483	0.0447
LINCSCP_143204	NA	51021	MRPS16	0.793	0.0456
LINCSCP_143204	NA	3028	HSD17B10	1.2492	0.0457
LINCSCP_143204	NA	6777	STAT5B	0.8402	0.0467
LINCSCP_143204	NA	8895	CPNE3	-1.1761	0.0468
LINCSCP_143204	NA	9375	TM9SF2	0.7517	0.0472
LINCSCP_143204	NA	55699	IARS2	0.7604	0.0472
LINCSCP_143204	NA	10180	RBM6	-0.7616	0.0476
LINCSCP_143204	NA	55958	KLHL9	6.0094	0.0478
LINCSCP_143204	NA	843	CASP10	-0.913	0.049
LINCSCP_143204	NA	481	ATP1B1	-0.9497	0.049
LINCSCP_143204	NA	6253	RTN2	-0.7601	0.0496
LINCSCP_143204	NA	3725	JUN	-0.9146	0.0497
LINCSCP_143204	NA	8826	IQGAP1	-0.8511	0.0504
LINCSCP_143204	NA	6790	AURKA	0.9031	0.0508
LINCSCP_143204	NA	10298	PAK4	0.7601	0.0509
LINCSCP_143204	NA	23200	ATP11B	-0.7402	0.0511
LINCSCP_143204	NA	51466	EVL	1.1201	0.0518
LINCSCP_143204	NA	960	CD44	-0.961	0.0518
LINCSCP_143204	NA	2946	GSTM2	0.914	0.052
LINCSCP_143204	NA	93487	MAPK1IP1L	0.9504	0.0521
LINCSCP_143204	NA	79850	FAM57A	2.2498	0.0523
LINCSCP_143204	NA	3312	HSPA8	1.0549	0.0523
LINCSCP_143204	NA	4651	MYO10	-0.7875	0.0523
LINCSCP_143204	NA	7538	ZFP36	-0.7558	0.0526
LINCSCP_143204	NA	10206	TRIM13	-0.754	0.0529
LINCSCP_143204	NA	8835	SOCS2	-0.8508	0.0532
LINCSCP_143204	NA	4638	MYLK	5.2359	0.0533
LINCSCP_143204	NA	836	CASP3	2.4239	0.0538
LINCSCP_143204	NA	7153	TOP2A	0.8187	0.053900000000000003
LINCSCP_143204	NA	154	ADRB2	-1.2391	0.0542
LINCSCP_143204	NA	57761	TRIB3	-0.7158	0.0544
LINCSCP_143204	NA	11000	SLC27A3	1.0224	0.0548
LINCSCP_143204	NA	10559	SLC35A1	-0.7464	0.0553
LINCSCP_143204	NA	5211	PFKL	0.8366	0.0557
LINCSCP_143204	NA	6509	SLC1A4	0.7685	0.056
LINCSCP_143204	NA	6908	TBP	0.7126	0.0566
LINCSCP_143204	NA	9805	SCRN1	0.7965	0.0568
LINCSCP_143204	NA	10606	PAICS	1.0054	0.057
LINCSCP_143204	NA	2542	SLC37A4	0.9714	0.0573
LINCSCP_143204	NA	2195	FAT1	-0.7973	0.0577
LINCSCP_143204	NA	23161	SNX13	-0.77	0.0585
LINCSCP_143204	NA	652	BMP4	-0.7993	0.0589
LINCSCP_143204	NA	1846	DUSP4	-0.7002	0.0591
LINCSCP_143204	NA	54438	GFOD1	-0.9625	0.0593
LINCSCP_143204	NA	2184	FAH	1.3996	0.0597
LINCSCP_143204	NA	50865	HEBP1	0.6938	0.0601
LINCSCP_143204	NA	26020	LRP10	-0.7894	0.061
LINCSCP_143204	NA	3385	ICAM3	0.6846	0.0621
LINCSCP_143204	NA	55620	STAP2	0.8243	0.063
LINCSCP_143204	NA	2887	GRB10	-1.0418	0.0638
LINCSCP_143204	NA	9917	FAM20B	-0.7921	0.0639
LINCSCP_143204	NA	11041	B4GAT1	0.7703	0.0644
LINCSCP_143204	NA	8349	HIST2H2BE	-0.8297	0.0646
LINCSCP_143204	NA	1022	CDK7	-1.1331	0.0647
LINCSCP_143204	NA	831	CAST	-0.8973	0.0647
LINCSCP_143204	NA	5925	RB1	-1.6194	0.0648
LINCSCP_143204	NA	30	ACAA1	1.6722	0.0652
LINCSCP_143204	NA	1978	EIF4EBP1	0.9015	0.0657
LINCSCP_143204	NA	29978	UBQLN2	-0.9403	0.066
LINCSCP_143204	NA	54881	TEX10	0.77	0.0674
LINCSCP_143204	NA	7376	NR1H2	-0.6863	0.0685
LINCSCP_143204	NA	11031	RAB31	0.7862	0.0688
LINCSCP_143204	NA	10525	HYOU1	-0.6827	0.0697
LINCSCP_143204	NA	9903	KLHL21	-0.7226	0.0698
LINCSCP_143204	NA	4088	SMAD3	-1.1773	0.07
LINCSCP_143204	NA	6461	SHB	-0.7762	0.0705
LINCSCP_143204	NA	4690	NCK1	0.6915	0.0705
LINCSCP_143204	NA	6709	SPTAN1	0.6977	0.0722
LINCSCP_143204	NA	1848	DUSP6	-1.2143	0.0723
LINCSCP_143204	NA	64429	ZDHHC6	1.0256	0.0725
LINCSCP_143204	NA	79187	FSD1	-0.681	0.0726
LINCSCP_143204	NA	10782	ZNF274	-0.7162	0.0742
LINCSCP_143204	NA	10058	ABCB6	0.8465	0.0753
LINCSCP_143204	NA	6009	RHEB	-0.8366	0.0759
LINCSCP_143204	NA	5899	RALB	0.7986	0.0763
LINCSCP_143204	NA	6119	RPA3	0.6931	0.0769
LINCSCP_143204	NA	55324	ABCF3	0.7458	0.0775
LINCSCP_143204	NA	7466	WFS1	0.7538	0.0783
LINCSCP_143204	NA	6182	MRPL12	1.7137	0.0785
LINCSCP_143204	NA	26136	TES	-0.722	0.0785
LINCSCP_143204	NA	51495	HACD3	0.8225	0.0796
LINCSCP_143204	NA	10730	YME1L1	0.9673	0.0804
LINCSCP_143204	NA	595	CCND1	0.669	0.0805
LINCSCP_143204	NA	56654	NPDC1	1.1641	0.0811
LINCSCP_143204	NA	6347	CCL2	-0.6788	0.0817
LINCSCP_143204	NA	6251	RSU1	0.6299	0.0821
LINCSCP_143204	NA	11044	PAPD7	-0.79990000000000006	0.0827
LINCSCP_143204	NA	89910	UBE3B	-0.7626	0.0828
LINCSCP_143204	NA	3553	IL1B	-0.794	0.083
LINCSCP_143204	NA	1829	DSG2	1.1132	0.0835
LINCSCP_143204	NA	81544	GDPD5	-0.6495	0.0841
LINCSCP_143204	NA	27336	HTATSF1	-0.7426	0.0845
LINCSCP_143204	NA	226	ALDOA	1.0972	0.0846
LINCSCP_143204	NA	23536	ADAT1	-0.7265	0.0853
LINCSCP_143204	NA	26227	PHGDH	0.7287	0.0856
LINCSCP_143204	NA	7485	WRB	0.675	0.0863
LINCSCP_143204	NA	51335	NGRN	0.6785	0.0863
LINCSCP_143204	NA	10641	NPRL2	-0.8216	0.0865
LINCSCP_143204	NA	7511	XPNPEP1	0.7501	0.0872
LINCSCP_143204	NA	5782	PTPN12	-1.0008	0.0878
LINCSCP_143204	NA	6793	STK10	-0.6815	0.088
LINCSCP_143204	NA	8569	MKNK1	-0.8597	0.0881
LINCSCP_143204	NA	9212	AURKB	1	0.0884
LINCSCP_143204	NA	55256	ADI1	0.6237	0.0889
LINCSCP_143204	NA	9653	HS2ST1	-0.802	0.0893
LINCSCP_143204	NA	5607	MAP2K5	-0.7292	0.09
LINCSCP_143204	NA	23029	RBM34	-0.6578	0.0902
LINCSCP_143204	NA	79921	TCEAL4	-0.8113	0.0902
LINCSCP_143204	NA	8270	LAGE3	0.605	0.0912
LINCSCP_143204	NA	4931	NVL	-0.713	0.0922
LINCSCP_143204	NA	23014	FBXO21	-0.6905	0.0929
LINCSCP_143204	NA	23335	WDR7	-0.6549	0.0954
LINCSCP_143204	NA	80758	PRR7	0.8912	0.0955
LINCSCP_143204	NA	11004	KIF2C	0.8061	0.0963
LINCSCP_143204	NA	51719	CAB39	-1.3638	0.0966
LINCSCP_143204	NA	8607	RUVBL1	1.8254	0.0974
LINCSCP_143204	NA	642	BLMH	0.7102	0.0979
LINCSCP_143204	NA	9217	VAPB	0.846	0.0992
LINCSCP_143204	NA	25976	TIPARP	-0.6778	0.0994
LINCSCP_143204	NA	1647	GADD45A	-0.662	0.0998
LINCSCP_143204	NA	6676	SPAG4	4.2581	0.0998
LINCSCP_143204	NA	5287	PIK3C2B	-0.8505	0.1003
LINCSCP_143204	NA	5106	PCK2	0.5755	0.1012
LINCSCP_143204	NA	5498	PPOX	-0.6844	0.1016
LINCSCP_143204	NA	4331	MNAT1	1.0173	0.1028
LINCSCP_143204	NA	332	BIRC5	0.722	0.1031
LINCSCP_143204	NA	10813	UTP14A	0.5798	0.1038
LINCSCP_143204	NA	6464	SHC1	-0.5696	0.1054
LINCSCP_143204	NA	6193	RPS5	0.5657	0.1056
LINCSCP_143204	NA	387	RHOA	0.7871	0.1067
LINCSCP_143204	NA	23530	NNT	0.9257	0.1069
LINCSCP_143204	NA	11261	CHP1	-0.6902	0.1079
LINCSCP_143204	NA	1950	EGF	-0.6786	0.1081
LINCSCP_143204	NA	7016	TESK1	-0.6584	0.1089
LINCSCP_143204	NA	8396	PIP4K2B	0.7426	0.109
LINCSCP_143204	NA	25803	SPDEF	0.7049	0.1096
LINCSCP_143204	NA	81533	ITFG1	-1.715	0.1097
LINCSCP_143204	NA	9833	MELK	-1.0994	0.1097
LINCSCP_143204	NA	23212	RRS1	3.7618	0.1098
LINCSCP_143204	NA	3551	IKBKB	-0.7533	0.1098
LINCSCP_143204	NA	10489	LRRC41	-0.6023	0.1109
LINCSCP_143204	NA	23038	WDTC1	-0.9135	0.1116
LINCSCP_143204	NA	8446	DUSP11	-0.6311	0.1116
LINCSCP_143204	NA	28969	BZW2	0.67	0.1118
LINCSCP_143204	NA	79090	TRAPPC6A	-1.7043	0.1129
LINCSCP_143204	NA	10153	CEBPZ	0.7126	0.113
LINCSCP_143204	NA	3930	LBR	-0.7062	0.114
LINCSCP_143204	NA	79080	CCDC86	0.5563	0.1146
LINCSCP_143204	NA	51005	AMDHD2	1.288	0.1148
LINCSCP_143204	NA	4775	NFATC3	-0.6866	0.1149
LINCSCP_143204	NA	22905	EPN2	-0.8523	0.1161
LINCSCP_143204	NA	26001	RNF167	0.5965	0.1163
LINCSCP_143204	NA	6832	SUPV3L1	-0.5405	0.1169
LINCSCP_143204	NA	10273	STUB1	0.6621	0.1176
LINCSCP_143204	NA	9695	EDEM1	-0.562	0.118
LINCSCP_143204	NA	10046	MAMLD1	0.6105	0.118
LINCSCP_143204	NA	63874	ABHD4	0.8082	0.1181
LINCSCP_143204	NA	3611	ILK	0.5399	0.1185
LINCSCP_143204	NA	4605	MYBL2	2.2646	0.1187
LINCSCP_143204	NA	27244	SESN1	-0.5746	0.1188
LINCSCP_143204	NA	7106	TSPAN4	0.6208	0.119
LINCSCP_143204	NA	2264	FGFR4	-0.5451	0.1214
LINCSCP_143204	NA	8324	FZD7	0.5777	0.1215
LINCSCP_143204	NA	23378	RRP8	0.6166	0.1218
LINCSCP_143204	NA	4303	FOXO4	-0.6882	0.1221
LINCSCP_143204	NA	22827	PUF60	0.6469	0.1225
LINCSCP_143204	NA	51282	SCAND1	-2.297	0.1233
LINCSCP_143204	NA	4200	ME2	0.6238	0.1234
LINCSCP_143204	NA	56940	DUSP22	0.7118	0.124
LINCSCP_143204	NA	6894	TARBP1	-4.0441	0.1241
LINCSCP_143204	NA	958	CD40	-0.6084	0.1245
LINCSCP_143204	NA	1509	CTSD	0.7834	0.1253
LINCSCP_143204	NA	9842	PLEKHM1	-0.5537	0.1257
LINCSCP_143204	NA	9851	KIAA0753	-0.6275	0.1257
LINCSCP_143204	NA	2523	FUT1	-0.6223	0.1264
LINCSCP_143204	NA	533	ATP6V0B	1.2221	0.1266
LINCSCP_143204	NA	56997	ADCK3	0.939	0.1268
LINCSCP_143204	NA	29083	GTPBP8	-0.6227	0.1276
LINCSCP_143204	NA	2769	GNA15	-0.7664	0.1281
LINCSCP_143204	NA	10954	PDIA5	0.5613	0.1284
LINCSCP_143204	NA	1500	CTNND1	-0.6225	0.1297
LINCSCP_143204	NA	11007	CCDC85B	-1.394	0.1306
LINCSCP_143204	NA	51031	GLOD4	-0.7832	0.1306
LINCSCP_143204	NA	5050	PAFAH1B3	1.114	0.1306
LINCSCP_143204	NA	29763	PACSIN3	1.7763	0.1311
LINCSCP_143204	NA	9270	ITGB1BP1	0.6509	0.1322
LINCSCP_143204	NA	2852	GPER1	3.9736	0.1328
LINCSCP_143204	NA	1786	DNMT1	-0.5799	0.1342
LINCSCP_143204	NA	116832	RPL39L	0.8434	0.1351
LINCSCP_143204	NA	91949	COG7	-0.6687	0.1352
LINCSCP_143204	NA	51293	CD320	0.578	0.1363
LINCSCP_143204	NA	572	BAD	0.7289	0.1363
LINCSCP_143204	NA	7358	UGDH	-3.5725	0.1365
LINCSCP_143204	NA	51001	MTERF3	0.5768	0.1368
LINCSCP_143204	NA	8204	NRIP1	-0.6444	0.1382
LINCSCP_143204	NA	5627	PROS1	0.5469	0.1392
LINCSCP_143204	NA	22889	KIAA0907	-0.729	0.1395
LINCSCP_143204	NA	5927	KDM5A	-0.9222	0.1399
LINCSCP_143204	NA	8727	CTNNAL1	3.5526	0.1399
LINCSCP_143204	NA	9670	IPO13	-0.5679	0.1408
LINCSCP_143204	NA	10557	RPP38	0.5038	0.1411
LINCSCP_143204	NA	664	BNIP3	-0.6552	0.1412
LINCSCP_143204	NA	4313	MMP2	-0.5217	0.1416
LINCSCP_143204	NA	3775	KCNK1	0.5068	0.1429
LINCSCP_143204	NA	128	ADH5	0.5295	0.1434
LINCSCP_143204	NA	665	BNIP3L	-0.6566	0.1437
LINCSCP_143204	NA	2353	FOS	-1.6708	0.1451
LINCSCP_143204	NA	7866	IFRD2	1.1055	0.1454
LINCSCP_143204	NA	51385	ZNF589	-0.6193	0.146
LINCSCP_143204	NA	23647	ARFIP2	0.6504	0.1466
LINCSCP_143204	NA	1050	CEBPA	0.6391	0.1467
LINCSCP_143204	NA	10112	KIF20A	0.5342	0.1471
LINCSCP_143204	NA	890	CCNA2	0.7017	0.1473
LINCSCP_143204	NA	4067	LYN	-0.513	0.1475
LINCSCP_143204	NA	10972	TMED10	0.695	0.1491
LINCSCP_143204	NA	23244	PDS5A	-0.5227	0.1492
LINCSCP_143204	NA	2185	PTK2B	-0.5753	0.15
LINCSCP_143204	NA	23365	ARHGEF12	0.4914	0.1514
LINCSCP_143204	NA	51422	PRKAG2	-0.5231	0.1518
LINCSCP_143204	NA	4851	NOTCH1	-0.5145	0.1522
LINCSCP_143204	NA	10513	APPBP2	-0.6353	0.1524
LINCSCP_143204	NA	5359	PLSCR1	0.59	0.1525
LINCSCP_143204	NA	79006	METRN	0.4903	0.1529
LINCSCP_143204	NA	3300	DNAJB2	1.1232	0.1545
LINCSCP_143204	NA	7296	TXNRD1	0.7235	0.1557
LINCSCP_143204	NA	22887	FOXJ3	-0.5665	0.1561
LINCSCP_143204	NA	5058	PAK1	-0.4892	0.1561
LINCSCP_143204	NA	207	AKT1	0.7973	0.1568
LINCSCP_143204	NA	51465	UBE2J1	-0.5532	0.1578
LINCSCP_143204	NA	1676	DFFA	0.5914	0.1586
LINCSCP_143204	NA	5716	PSMD10	0.4853	0.1592
LINCSCP_143204	NA	30849	PIK3R4	0.483	0.1598
LINCSCP_143204	NA	965	CD58	-3.7645	0.1606
LINCSCP_143204	NA	54512	EXOSC4	0.5576	0.1615
LINCSCP_143204	NA	6813	STXBP2	0.6191	0.1622
LINCSCP_143204	NA	2582	GALE	1.0521	0.1623
LINCSCP_143204	NA	65123	INTS3	0.615	0.1633
LINCSCP_143204	NA	4780	NFE2L2	-0.4732	0.1634
LINCSCP_143204	NA	57406	ABHD6	-0.4723	0.1648
LINCSCP_143204	NA	30836	DNTTIP2	-0.8899	0.1649
LINCSCP_143204	NA	2770	GNAI1	-0.5409	0.1651
LINCSCP_143204	NA	54850	FBXL12	-0.6289	0.1658
LINCSCP_143204	NA	22794	CASC3	-0.5167	0.1665
LINCSCP_143204	NA	6616	SNAP25	3.7201	0.167
LINCSCP_143204	NA	63933	MCUR1	0.5007	0.1674
LINCSCP_143204	NA	3303	HSPA1A	-0.4634	0.168
LINCSCP_143204	NA	8440	NCK2	0.5286	0.1681
LINCSCP_143204	NA	4783	NFIL3	0.6464	0.1686
LINCSCP_143204	NA	55793	FAM63A	0.8021	0.169
LINCSCP_143204	NA	23636	NUP62	0.5555	0.1693
LINCSCP_143204	NA	11344	TWF2	0.8315	0.1696
LINCSCP_143204	NA	5985	RFC5	0.5954	0.17
LINCSCP_143204	NA	6603	SMARCD2	0.5037	0.1703
LINCSCP_143204	NA	1605	DAG1	0.5823	0.1706
LINCSCP_143204	NA	5366	PMAIP1	-0.5089	0.1707
LINCSCP_143204	NA	55012	PPP2R3C	-0.7781	0.1712
LINCSCP_143204	NA	54623	PAF1	0.8673	0.1712
LINCSCP_143204	NA	9170	LPAR2	-0.7388	0.1712
LINCSCP_143204	NA	25793	FBXO7	0.5175	0.1718
LINCSCP_143204	NA	4232	MEST	-0.4884	0.1739
LINCSCP_143204	NA	7074	TIAM1	-0.4572	0.1742
LINCSCP_143204	NA	1277	COL1A1	-0.5553	0.176
LINCSCP_143204	NA	10652	YKT6	0.5879	0.1762
LINCSCP_143204	NA	1662	DDX10	0.7522	0.178
LINCSCP_143204	NA	1870	E2F2	-0.4932	0.1786
LINCSCP_143204	NA	5300	PIN1	0.4906	0.1787
LINCSCP_143204	NA	6856	SYPL1	-0.5584	0.179
LINCSCP_143204	NA	6050	RNH1	-3.6494	0.1803
LINCSCP_143204	NA	11182	SLC2A6	-0.6952	0.1804
LINCSCP_143204	NA	6622	SNCA	0.601	0.1806
LINCSCP_143204	NA	55893	ZNF395	-0.689	0.1815
LINCSCP_143204	NA	3978	LIG1	0.6961	0.1832
LINCSCP_143204	NA	2063	NR2F6	-3.6114	0.1836
LINCSCP_143204	NA	6810	STX4	-0.7755	0.1836
