signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_134289	NA	79643	CHMP6	2.9748	4e-4
LINCSCP_134289	NA	22889	KIAA0907	-7.3414	4e-4
LINCSCP_134289	NA	2264	FGFR4	2.3131	0.0015
LINCSCP_134289	NA	1021	CDK6	-1.5672	0.0019
LINCSCP_134289	NA	10775	POP4	1.5615	0.0021
LINCSCP_134289	NA	24149	ZNF318	1.5134	0.0023
LINCSCP_134289	NA	868	CBLB	-1.9867	0.0023
LINCSCP_134289	NA	2222	FDFT1	2.138	0.0029
LINCSCP_134289	NA	1029	CDKN2A	-1.5869	0.0029
LINCSCP_134289	NA	3682	ITGAE	1.2933	0.0033
LINCSCP_134289	NA	10681	GNB5	1.3932	0.0034
LINCSCP_134289	NA	1870	E2F2	1.5944	0.0037
LINCSCP_134289	NA	55893	ZNF395	-4.1689	0.0038
LINCSCP_134289	NA	9455	HOMER2	1.7224	0.004
LINCSCP_134289	NA	11284	PNKP	1.9282	0.004
LINCSCP_134289	NA	10491	CRTAP	1.4224	0.004
LINCSCP_134289	NA	9519	TBPL1	1.1612	0.0044
LINCSCP_134289	NA	80212	CCDC92	1.2388	0.0045
LINCSCP_134289	NA	64943	NT5DC2	1.1771	0.0046
LINCSCP_134289	NA	2582	GALE	1.1708	0.0055
LINCSCP_134289	NA	11230	PRAF2	1.2023	0.0057
LINCSCP_134289	NA	10813	UTP14A	-1.1517	0.0059
LINCSCP_134289	NA	7105	TSPAN6	1.184	0.0062
LINCSCP_134289	NA	9143	SYNGR3	-1.0451	0.0062
LINCSCP_134289	NA	11014	KDELR2	1.1093	0.0063
LINCSCP_134289	NA	10146	G3BP1	1.1581	0.0066
LINCSCP_134289	NA	5982	RFC2	1.2752	0.0066
LINCSCP_134289	NA	23271	CAMSAP2	-1.5594	0.0069
LINCSCP_134289	NA	10270	AKAP8	-1.0444	0.0069
LINCSCP_134289	NA	7982	ST7	1.4914	0.0069
LINCSCP_134289	NA	80347	COASY	1.2846	0.0069
LINCSCP_134289	NA	5580	PRKCD	1.0163	0.007
LINCSCP_134289	NA	3066	HDAC2	1.1322	0.0073
LINCSCP_134289	NA	10589	DRAP1	1.0896	0.0073
LINCSCP_134289	NA	11041	B4GAT1	1.0664	0.0075
LINCSCP_134289	NA	9552	SPAG7	-1.0039	0.0076
LINCSCP_134289	NA	10450	PPIE	1.0834	0.0076
LINCSCP_134289	NA	1277	COL1A1	1.7711	0.0078
LINCSCP_134289	NA	23142	DCUN1D4	1.1416	0.0081
LINCSCP_134289	NA	4927	NUP88	0.9827	0.0081
LINCSCP_134289	NA	50865	HEBP1	0.9917	0.0083
LINCSCP_134289	NA	2309	FOXO3	1.1272	0.0084
LINCSCP_134289	NA	5583	PRKCH	-1.178	0.0088
LINCSCP_134289	NA	9375	TM9SF2	1.0857	0.0089
LINCSCP_134289	NA	1459	CSNK2A2	-1.107	0.0091
LINCSCP_134289	NA	5438	POLR2I	0.9921	0.0096
LINCSCP_134289	NA	154	ADRB2	-1.2035	0.0097
LINCSCP_134289	NA	7153	TOP2A	0.9411	0.0098
LINCSCP_134289	NA	55837	EAPP	0.955	0.0099
LINCSCP_134289	NA	1509	CTSD	1.5046	0.0101
LINCSCP_134289	NA	3566	IL4R	-1.0553	0.0102
LINCSCP_134289	NA	7159	TP53BP2	-1.0701	0.0106
LINCSCP_134289	NA	93487	MAPK1IP1L	1.0862	0.0107
LINCSCP_134289	NA	4125	MAN2B1	1.2475	0.0107
LINCSCP_134289	NA	148022	TICAM1	1.2963	0.0107
LINCSCP_134289	NA	10059	DNM1L	-1.2802	0.011
LINCSCP_134289	NA	3202	HOXA5	-1.1704	0.011
LINCSCP_134289	NA	4172	MCM3	-0.9384	0.0111
LINCSCP_134289	NA	57048	PLSCR3	0.9501	0.0111
LINCSCP_134289	NA	6676	SPAG4	1.0027	0.0113
LINCSCP_134289	NA	56924	PAK6	1.0215	0.0113
LINCSCP_134289	NA	664	BNIP3	0.9574	0.0114
LINCSCP_134289	NA	4998	ORC1	-1.3045	0.0115
LINCSCP_134289	NA	7264	TSTA3	1.2028	0.0117
LINCSCP_134289	NA	10276	NET1	0.9322	0.0119
LINCSCP_134289	NA	11232	POLG2	0.9825	0.0119
LINCSCP_134289	NA	1829	DSG2	-1.0581	0.0122
LINCSCP_134289	NA	644	BLVRA	0.9944	0.0124
LINCSCP_134289	NA	11200	CHEK2	0.9064	0.0125
LINCSCP_134289	NA	25839	COG4	1.0158	0.0127
LINCSCP_134289	NA	80349	WDR61	2.3224	0.0129
