signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_36295	NA	4125	MAN2B1	-1.9196	7e-4
LINCSCP_36295	NA	10670	RRAGA	-1.4451	0.0015
LINCSCP_36295	NA	3553	IL1B	1.4897	0.0016
LINCSCP_36295	NA	1981	EIF4G1	-1.7416	0.0016
LINCSCP_36295	NA	501	ALDH7A1	1.9375	0.0018
LINCSCP_36295	NA	5827	PXMP2	2.3952	0.0018
LINCSCP_36295	NA	6182	MRPL12	-1.6435	0.0019
LINCSCP_36295	NA	10174	SORBS3	-1.815	0.0023
LINCSCP_36295	NA	644	BLVRA	-1.5639	0.0023
LINCSCP_36295	NA	2309	FOXO3	-1.8698	0.0024
LINCSCP_36295	NA	5925	RB1	1.6704	0.0024
LINCSCP_36295	NA	481	ATP1B1	-1.2385	0.0025
LINCSCP_36295	NA	51001	MTERF3	1.3806	0.0026
LINCSCP_36295	NA	11344	TWF2	-1.6699	0.0026
LINCSCP_36295	NA	10681	GNB5	-1.1877	0.0027
LINCSCP_36295	NA	51465	UBE2J1	1.3577	0.0028
LINCSCP_36295	NA	6597	SMARCA4	-1.7162	0.0029
LINCSCP_36295	NA	375346	TMEM110	-1.3713	0.003
LINCSCP_36295	NA	2767	GNA11	-1.3327	0.003
LINCSCP_36295	NA	3033	HADH	1.2455	0.0031
LINCSCP_36295	NA	8900	CCNA1	1.1273	0.0031
LINCSCP_36295	NA	85236	HIST1H2BK	-1.3077	0.0032
LINCSCP_36295	NA	5580	PRKCD	-1.2081	0.0033
LINCSCP_36295	NA	2624	GATA2	-1.303	0.0035
LINCSCP_36295	NA	80212	CCDC92	-1.1125	0.0035
LINCSCP_36295	NA	10058	ABCB6	-1.2399	0.0035
LINCSCP_36295	NA	2769	GNA15	1.3475	0.0037
LINCSCP_36295	NA	51071	DERA	1.2908	0.0038
LINCSCP_36295	NA	26136	TES	1.1181	0.004
LINCSCP_36295	NA	1385	CREB1	1.2786	0.0041
LINCSCP_36295	NA	5883	RAD9A	-1.179	0.0042
LINCSCP_36295	NA	1676	DFFA	1.4774	0.0042
LINCSCP_36295	NA	10589	DRAP1	-1.6948	0.0042
LINCSCP_36295	NA	147179	WIPF2	-1.0858	0.0043
LINCSCP_36295	NA	9709	HERPUD1	1.2465	0.0044
LINCSCP_36295	NA	23011	RAB21	1.1289	0.0045
LINCSCP_36295	NA	2064	ERBB2	-1.0541	0.0045
LINCSCP_36295	NA	9854	C2CD2L	-1.0438	0.0047
LINCSCP_36295	NA	9703	KIAA0100	-1.2362	0.0047
LINCSCP_36295	NA	23210	JMJD6	-1.1395	0.0047
LINCSCP_36295	NA	965	CD58	1.0908	0.0048
LINCSCP_36295	NA	9842	PLEKHM1	1.112	0.0049
LINCSCP_36295	NA	55148	UBR7	1.215	0.005
LINCSCP_36295	NA	1788	DNMT3A	1.4262	0.005
LINCSCP_36295	NA	23038	WDTC1	-1.8302	0.005
LINCSCP_36295	NA	1029	CDKN2A	-4.4729	0.0051
LINCSCP_36295	NA	5654	HTRA1	1.1766	0.0052
LINCSCP_36295	NA	7866	IFRD2	-1.6458	0.0054
LINCSCP_36295	NA	4776	NFATC4	1.4142	0.0054
LINCSCP_36295	NA	5321	PLA2G4A	1.0522	0.0055
LINCSCP_36295	NA	9267	CYTH1	-0.9651	0.0055
LINCSCP_36295	NA	4775	NFATC3	1.293	0.0057
LINCSCP_36295	NA	2263	FGFR2	1.2107	0.0058
LINCSCP_36295	NA	26993	AKAP8L	-1.1378	0.0059
LINCSCP_36295	NA	5721	PSME2	-1.0897	0.006
LINCSCP_36295	NA	652	BMP4	1.1455	0.006
LINCSCP_36295	NA	831	CAST	0.9767	0.0062
LINCSCP_36295	NA	7165	TPD52L2	-1.0168	0.0064
LINCSCP_36295	NA	9212	AURKB	1.6739	0.0065
LINCSCP_36295	NA	64080	RBKS	-0.972	0.0065
LINCSCP_36295	NA	27336	HTATSF1	1.5072	0.0066
LINCSCP_36295	NA	291	SLC25A4	-1.6929	0.0069
LINCSCP_36295	NA	3091	HIF1A	1.5153	0.007
LINCSCP_36295	NA	256364	EML3	-1.1953	0.007
LINCSCP_36295	NA	1846	DUSP4	-1.2557	0.0071
LINCSCP_36295	NA	10513	APPBP2	-1.0168	0.0072
LINCSCP_36295	NA	8884	SLC5A6	-0.9564	0.0072
LINCSCP_36295	NA	11072	DUSP14	-1.2152	0.0072
LINCSCP_36295	NA	54681	P4HTM	-1.2033	0.0073
LINCSCP_36295	NA	23365	ARHGEF12	1.3817	0.0073
LINCSCP_36295	NA	8446	DUSP11	1.5912	0.0075
LINCSCP_36295	NA	7994	KAT6A	-1.2034	0.0075
LINCSCP_36295	NA	63874	ABHD4	-1.1212	0.0077
LINCSCP_36295	NA	9695	EDEM1	-0.9122	0.0078
LINCSCP_36295	NA	51070	NOSIP	-1.5826	0.0079
LINCSCP_36295	NA	3206	HOXA10	-1.4858	0.008
LINCSCP_36295	NA	1398	CRK	-1.006	0.0081
LINCSCP_36295	NA	23131	GPATCH8	7.2809	0.0082
LINCSCP_36295	NA	64781	CERK	1.1649	0.0082
LINCSCP_36295	NA	9817	KEAP1	-0.9148	0.0084
LINCSCP_36295	NA	55793	FAM63A	-1.1108	0.0084
LINCSCP_36295	NA	10523	CHERP	-1.3226	0.0087
LINCSCP_36295	NA	50813	COPS7A	-1.0831	0.0087
LINCSCP_36295	NA	55608	ANKRD10	-0.9041	0.0089
LINCSCP_36295	NA	3693	ITGB5	-0.9461	0.0089
LINCSCP_36295	NA	79094	CHAC1	0.9511	0.009
LINCSCP_36295	NA	1050	CEBPA	-1.2052	0.0091
LINCSCP_36295	NA	6461	SHB	0.9438	0.0091
LINCSCP_36295	NA	10898	CPSF4	-1.1995	0.0092
LINCSCP_36295	NA	10398	MYL9	0.9922	0.0097
LINCSCP_36295	NA	9926	LPGAT1	-1.1569	0.0098
LINCSCP_36295	NA	6390	SDHB	-0.8823	0.0099
LINCSCP_36295	NA	6804	STX1A	-1.044	0.01
LINCSCP_36295	NA	26020	LRP10	-1.5475	0.0102
LINCSCP_36295	NA	7264	TSTA3	-0.9735	0.0102
LINCSCP_36295	NA	5836	PYGL	-0.8012	0.0104
LINCSCP_36295	NA	207	AKT1	-1.1442	0.0109
LINCSCP_36295	NA	56889	TM9SF3	-1.1611	0.0112
LINCSCP_36295	NA	7485	WRB	-0.854	0.0114
LINCSCP_36295	NA	4794	NFKBIE	1.0182	0.0116
LINCSCP_36295	NA	9181	ARHGEF2	-0.8703	0.0117
LINCSCP_36295	NA	8518	IKBKAP	-0.9078	0.0117
LINCSCP_36295	NA	9097	USP14	-0.7673	0.0117
LINCSCP_36295	NA	7015	TERT	0.9159	0.0118
LINCSCP_36295	NA	10491	CRTAP	-1.447	0.012
LINCSCP_36295	NA	22889	KIAA0907	1.0764	0.012
LINCSCP_36295	NA	6944	VPS72	1.3181	0.012
LINCSCP_36295	NA	11031	RAB31	-1.1737	0.0121
LINCSCP_36295	NA	9961	MVP	-0.7655	0.0122
LINCSCP_36295	NA	55324	ABCF3	-2.0896	0.0122
LINCSCP_36295	NA	5909	RAP1GAP	-1.1178	0.0123
