signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_36178	NA	1029	CDKN2A	2.4622	0.0011
LINCSCP_36178	NA	3162	HMOX1	3.3631	0.0016
LINCSCP_36178	NA	4792	NFKBIA	-2.762	0.002
LINCSCP_36178	NA	6347	CCL2	2.2632	0.0023
LINCSCP_36178	NA	4776	NFATC4	2.245	0.0024
LINCSCP_36178	NA	6390	SDHB	-2.2245	0.0026
LINCSCP_36178	NA	1123	CHN1	2.0889	0.0029
LINCSCP_36178	NA	6659	SOX4	-2.3135	0.003
LINCSCP_36178	NA	9375	TM9SF2	-1.8981	0.0033
LINCSCP_36178	NA	80347	COASY	-2.0564	0.0038
LINCSCP_36178	NA	5720	PSME1	-2.1387	0.004
LINCSCP_36178	NA	9491	PSMF1	1.9079	0.004
LINCSCP_36178	NA	9221	NOLC1	-1.7717	0.0042
LINCSCP_36178	NA	1643	DDB2	-1.8069	0.0043
LINCSCP_36178	NA	1870	E2F2	1.9732	0.0045
LINCSCP_36178	NA	3895	KTN1	2.1755	0.0047
LINCSCP_36178	NA	6944	VPS72	1.7743	0.005
LINCSCP_36178	NA	11325	DDX42	-1.7067	0.0052
LINCSCP_36178	NA	10857	PGRMC1	-2.0113	0.0055
LINCSCP_36178	NA	9712	USP6NL	-1.9056	0.0056
LINCSCP_36178	NA	4794	NFKBIE	1.8632	0.0056
LINCSCP_36178	NA	5721	PSME2	-1.7099	0.0059
LINCSCP_36178	NA	4931	NVL	1.6734	0.0061
LINCSCP_36178	NA	55179	FAIM	1.8959	0.0062
LINCSCP_36178	NA	10206	TRIM13	1.9531	0.0062
LINCSCP_36178	NA	5547	PRCP	1.6723	0.0063
LINCSCP_36178	NA	2736	GLI2	1.6864	0.0064
LINCSCP_36178	NA	9448	MAP4K4	-1.9428	0.0064
LINCSCP_36178	NA	7077	TIMP2	1.7871	0.0066
LINCSCP_36178	NA	899	CCNF	-1.7069	0.0067
LINCSCP_36178	NA	23200	ATP11B	1.7981	0.0067
LINCSCP_36178	NA	2058	EPRS	-1.7776	0.0068
LINCSCP_36178	NA	64428	NARFL	1.766	0.0071
LINCSCP_36178	NA	54499	TMCO1	-1.642	0.0072
LINCSCP_36178	NA	5867	RAB4A	-1.6728	0.0073
LINCSCP_36178	NA	5290	PIK3CA	2.3313	0.0076
LINCSCP_36178	NA	10732	TCFL5	-1.925	0.0077
LINCSCP_36178	NA	4154	MBNL1	-1.7546	0.0078
LINCSCP_36178	NA	8624	PSMG1	-1.5795	0.0078
LINCSCP_36178	NA	26520	TIMM9	-1.5409	0.0078
LINCSCP_36178	NA	5831	PYCR1	-1.7316	0.0078
LINCSCP_36178	NA	55699	IARS2	-1.7046	0.008
LINCSCP_36178	NA	5993	RFX5	-1.8185	0.008
LINCSCP_36178	NA	7020	TFAP2A	1.5223	0.008
LINCSCP_36178	NA	10972	TMED10	-2.104	0.008
LINCSCP_36178	NA	1019	CDK4	-1.5485	0.0081
LINCSCP_36178	NA	6182	MRPL12	-1.9813	0.0082
LINCSCP_36178	NA	7016	TESK1	1.5442	0.0086
LINCSCP_36178	NA	5467	PPARD	1.6449	0.0087
LINCSCP_36178	NA	9217	VAPB	-1.873	0.0089
LINCSCP_36178	NA	6915	TBXA2R	1.7632	0.009
LINCSCP_36178	NA	3028	HSD17B10	-1.6106	0.0093
LINCSCP_36178	NA	836	CASP3	1.6997	0.0095
LINCSCP_36178	NA	23635	SSBP2	1.7503	0.0095
LINCSCP_36178	NA	6908	TBP	-1.6623000000000001	0.0096
LINCSCP_36178	NA	2886	GRB7	1.5396	0.0096
LINCSCP_36178	NA	1429	CRYZ	-1.7641	0.0096
LINCSCP_36178	NA	3566	IL4R	1.541	0.0098
LINCSCP_36178	NA	9988	DMTF1	1.5533	0.0099
LINCSCP_36178	NA	9212	AURKB	1.5796	0.0101
LINCSCP_36178	NA	727	C5	1.6009	0.0102
LINCSCP_36178	NA	831	CAST	1.9617	0.0102
LINCSCP_36178	NA	91137	SLC25A46	-1.5439	0.0103
LINCSCP_36178	NA	5054	SERPINE1	3.0149	0.0104
LINCSCP_36178	NA	5373	PMM2	1.5846	0.0105
LINCSCP_36178	NA	2852	GPER1	1.6333	0.0108
LINCSCP_36178	NA	64781	CERK	1.557	0.0108
LINCSCP_36178	NA	1605	DAG1	-1.8564	0.0112
LINCSCP_36178	NA	8061	FOSL1	1.7501	0.0113
LINCSCP_36178	NA	10123	ARL4C	1.4881	0.0116
LINCSCP_36178	NA	6342	SCP2	-1.7085	0.0118
LINCSCP_36178	NA	1647	GADD45A	1.8282	0.0119
LINCSCP_36178	NA	808	CALM3	1.779	0.0121
LINCSCP_36178	NA	2263	FGFR2	1.7318	0.0122
LINCSCP_36178	NA	55324	ABCF3	-1.4427	0.0123
LINCSCP_36178	NA	9246	UBE2L6	1.856	0.0126
LINCSCP_36178	NA	10641	NPRL2	1.4382	0.0126
LINCSCP_36178	NA	55256	ADI1	-2.153	0.0127
LINCSCP_36178	NA	2185	PTK2B	1.4573	0.0129
LINCSCP_36178	NA	8914	TIMELESS	-1.4249	0.0129
LINCSCP_36178	NA	5108	PCM1	-1.6584	0.0129
LINCSCP_36178	NA	9533	POLR1C	2.2388	0.0131
LINCSCP_36178	NA	2771	GNAI2	-1.9521	0.0134
LINCSCP_36178	NA	5289	PIK3C3	1.3897	0.0135
LINCSCP_36178	NA	25805	BAMBI	-1.8903	0.0138
LINCSCP_36178	NA	2065	ERBB3	-1.9453	0.0143
LINCSCP_36178	NA	2109	ETFB	-1.6201	0.0143
LINCSCP_36178	NA	5873	RAB27A	1.3521	0.0144
LINCSCP_36178	NA	3454	IFNAR1	1.4328	0.0145
LINCSCP_36178	NA	847	CAT	1.3208	0.0146
