signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_67251	NA	4303	FOXO4	6.2827	2.3378e-6
LINCSCP_67251	NA	23212	RRS1	-4.942	5.1415e-6
LINCSCP_67251	NA	23038	WDTC1	4.0816	5.6993e-6
LINCSCP_67251	NA	23097	CDK19	6.3848	6.2121e-6
LINCSCP_67251	NA	4860	PNP	-3.7459	9.0697e-6
LINCSCP_67251	NA	9221	NOLC1	-3.6854	0
LINCSCP_67251	NA	23210	JMJD6	-4.3811	0
LINCSCP_67251	NA	84617	TUBB6	-4.673	0
LINCSCP_67251	NA	1831	TSC22D3	6.1199	0
LINCSCP_67251	NA	2553	GABPB1	-4.7704	0
LINCSCP_67251	NA	4144	MAT2A	-5.3393	0
LINCSCP_67251	NA	6659	SOX4	3.5829	0
LINCSCP_67251	NA	23588	KLHDC2	5.3149	0
LINCSCP_67251	NA	5909	RAP1GAP	4.0747	0
LINCSCP_67251	NA	3964	LGALS8	4.2505	0
LINCSCP_67251	NA	7027	TFDP1	-3.1837	0
LINCSCP_67251	NA	1958	EGR1	2.4889	0
LINCSCP_67251	NA	4864	NPC1	3.0283	1e-4
LINCSCP_67251	NA	11319	ECD	-3.0486	1e-4
LINCSCP_67251	NA	25932	CLIC4	2.9875	1e-4
LINCSCP_67251	NA	665	BNIP3L	5.064	1e-4
LINCSCP_67251	NA	23076	RRP1B	-2.8189	1e-4
LINCSCP_67251	NA	4792	NFKBIA	2.7094	1e-4
LINCSCP_67251	NA	4851	NOTCH1	-2.5588	1e-4
LINCSCP_67251	NA	6182	MRPL12	-3.1147	1e-4
LINCSCP_67251	NA	3066	HDAC2	-3.3422	1e-4
LINCSCP_67251	NA	8878	SQSTM1	4.0796	1e-4
LINCSCP_67251	NA	3638	INSIG1	2.5021	1e-4
LINCSCP_67251	NA	51170	HSD17B11	2.8045	1e-4
LINCSCP_67251	NA	11004	KIF2C	2.1727	1e-4
LINCSCP_67251	NA	3693	ITGB5	2.4244	1e-4
LINCSCP_67251	NA	4616	GADD45B	2.4391	1e-4
LINCSCP_67251	NA	2852	GPER1	2.1848	1e-4
LINCSCP_67251	NA	8720	MBTPS1	4.1407	1e-4
LINCSCP_67251	NA	1022	CDK7	2.81	1e-4
LINCSCP_67251	NA	54541	DDIT4	4.9004	1e-4
LINCSCP_67251	NA	56997	ADCK3	3.241	1e-4
LINCSCP_67251	NA	1514	CTSL	2.2815	1e-4
LINCSCP_67251	NA	481	ATP1B1	2.3304	1e-4
LINCSCP_67251	NA	25805	BAMBI	3.3549	1e-4
LINCSCP_67251	NA	2065	ERBB3	4.174	1e-4
LINCSCP_67251	NA	1677	DFFB	-2.9878	1e-4
LINCSCP_67251	NA	3337	DNAJB1	-3.2422	2e-4
LINCSCP_67251	NA	2309	FOXO3	4.3357	2e-4
LINCSCP_67251	NA	54512	EXOSC4	-5.4801	2e-4
LINCSCP_67251	NA	51160	VPS28	2.6462	2e-4
LINCSCP_67251	NA	11157	LSM6	-2.1972	2e-4
LINCSCP_67251	NA	63874	ABHD4	4.5196	2e-4
LINCSCP_67251	NA	26036	ZNF451	2.8013	2e-4
LINCSCP_67251	NA	22841	RAB11FIP2	-2.053	2e-4
LINCSCP_67251	NA	22934	RPIA	-4.8019	2e-4
LINCSCP_67251	NA	11284	PNKP	3.468	2e-4
LINCSCP_67251	NA	10513	APPBP2	2.547	2e-4
LINCSCP_67251	NA	57192	MCOLN1	2.6059	3e-4
LINCSCP_67251	NA	10775	POP4	-3.5436	3e-4
