similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	193	Hydroxychloroquine	LSM-5193	TLR7|TLR9	10uM	24h	LINCSCP_34460	MCF7
0.5197	9.6314e-15	193	MLS002264476	LSM-2977	NA	10uM	24h	LINCSCP_1400	A375
-0.5189	1.0766e-14	193	16Beta-bromoandrosterone	LSM-6294	G6PD	10uM	6h	LINCSCP_13605	H1299
0.4896	4.9605e-13	193	Dactolisib	LSM-4255	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	0.5uM	6h	LINCSCP_40183	NCIH508
0.4835	1.0637e-12	193	PD-98059	LSM-3394	MAP2K1	10uM	6h	LINCSCP_21235	HCT116
-0.4606	1.5822e-11	193	Salermide	LSM-5123	SIRT1|SIRT2	100uM	6h	LINCSCP_52957	SKLU1
-0.4564	2.5554e-11	193	EX-8678	LSM-1147	NA	1.11uM	3h	LINCSCP_145923	MDAMB231
-0.4416	1.2857e-10	193	Medroxyprogesterone	LSM-6029	PGR	10uM	6h	LINCSCP_5676	A549
0.4389	1.7104e-10	193	Itrazole	LSM-5032	NA	10uM	6h	LINCSCP_53866	SNUC5
0.4288	4.9359e-10	193	Vitamin B12	LSM-46022	NA	1.11uM	24h	LINCSCP_99350	HA1E
0.4279	5.3968e-10	193	BRD-K52012504	LSM-11612	NA	5uM	6h	LINCSCP_62551	VCAP
0.4188	1.3506e-9	193	Nicotin-Amide	LSM-5428	PARP1	0.12uM	24h	LINCSCP_73924	A375
0.4138	2.205e-9	193	IN1541	LSM-4460	PRKAA1	10uM	6h	LINCSCP_40161	NCIH508
-0.4131	2.359e-9	193	Tacalcitol	LSM-45518	NA	0.12uM	24h	LINCSCP_97083	HA1E
-0.4123	2.5616e-9	193	TPCA-1	LSM-1136	IKBKB	10uM	6h	LINCSCP_53338	SKMEL1
-0.4095	3.3521e-9	193	Ketanserin	LSM-3092	HTR2A|HTR2C	10uM	6h	LINCSCP_14271	HA1E
-0.4095	3.3557e-9	193	BRD-K57179401	LSM-7604	NA	5uM	24h	LINCSCP_60399	VCAP
0.4071	4.2192e-9	193	GW843682X	LSM-1014	PLK1|PLK3	10uM	24h	LINCSCP_192331	A549
0.407	4.2532e-9	193	Amuvatinib	LSM-1118	FLT3|KIT|MET|PDGFRA	1uM	24h	LINCSCP_39455	MDAMB231
0.4044	5.4728e-9	193	CHEMBL3182395	LSM-1164	MAP2K5|MAPK7	0.1uM	24h	LINCSCP_12216	BT20
0.4043	5.5236e-9	193	Taselisib	LSM-45140	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5	1.11uM	24h	LINCSCP_159178	PC3
0.4029	6.2724e-9	193	BRD-K14336497	LSM-9293	NA	5uM	6h	LINCSCP_64066	VCAP
-0.4026	6.4437e-9	193	BRD-K17157581	LSM-7072	NA	5uM	24h	LINCSCP_60357	VCAP
0.4015	7.1723e-9	193	FGIN1-27	LSM-2201	TSPO	10uM	6h	LINCSCP_51096	RMUGS
0.4005	7.8914e-9	193	BRD-K43605845	LSM-39669	NA	5uM	24h	LINCSCP_8149	A549
0.3996	8.5346e-9	193	Wortmannin	LSM-1788	PIK3CA|PIK3CG|PLK1	10uM	6h	LINCSCP_68621	VCAP
-0.3995	8.6473e-9	193	Hexylcaine	LSM-1954	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	10uM	24h	LINCSCP_290011	VCAP
-0.3992	8.8902e-9	193	Fcodpguefhccia-Uhfffaoysa-N	LSM-42689	CASP3	10uM	6h	LINCSCP_10552	AGS
-0.3974	1.0516e-8	193	Phenethylisothiocyanate	LSM-4926	CYP2E1	10uM	6h	LINCSCP_13535	H1299
0.3944	1.3898e-8	193	Bexarotene	LSM-45378	RXRA|RXRB|RXRG	0.04uM	24h	LINCSCP_176016	YAPC
0.3892	2.2187e-8	193	CHEMBL2204241	LSM-36798	NA	0.01uM	6h	LINCSCP_55176	THP1
-0.3877	2.5312e-8	193	PF 3845	LSM-6265	FAAH	10uM	6h	LINCSCP_206044	CORL23
0.3876	2.5668e-8	193	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	10uM	24h	LINCSCP_129907	LNCAP
-0.3873	2.6274e-8	193	MLS003129502	LSM-7945	NA	5uM	24h	LINCSCP_60630	VCAP
0.3862	2.9018e-8	193	MW-SHH-54	LSM-44602	NA	1uM	6h	LINCSCP_234574	JURKAT
-0.3856	3.0594e-8	193	BRD-K82925070	LSM-13493	NA	5uM	24h	LINCSCP_62179	VCAP
0.3854	3.111e-8	193	ZINC01050108	LSM-4748	NA	10uM	24h	LINCSCP_32262	MCF7
0.3846	3.347e-8	193	1166227-08-2	LSM-1204	NA	10uM	24h	LINCSCP_82999	ASC.C
0.3838	3.5983e-8	193	SB-203580	LSM-1168	MAPK1|MAPK11|MAPK14	0.5uM	24h	LINCSCP_235135	MCF10A
0.3835	3.685e-8	193	ALDA 1	LSM-6212	ALDH2	40uM	6h	LINCSCP_287494	SW480
-0.3833	3.7684e-8	193	CEP-701	LSM-45844	NA	1.11uM	24h	LINCSCP_89448	HA1E
0.3809	4.6192e-8	193	KUC103853	LSM-3459	NA	10uM	24h	LINCSCP_31397	MCF7
-0.3801	4.9946e-8	193	Promazine	LSM-2137	CHRM5|DRD2|DRD3|DRD4|HTR2A	10uM	6h	LINCSCP_41845	NOMO1
0.3797	5.1344e-8	193	BMS-536924	LSM-1210	IGF1R	0.001uM	6h	LINCSCP_250912	MCF7
0.3796	5.1996e-8	193	4-Deoxyuridine	LSM-6181	CDA|DNMT1	10uM	24h	LINCSCP_250395	MCF7
