signatureid	compound	similarity
LINCSCP_93296	karakoline	0.5032
LINCSCP_16648	Deoxycholic acid	0.4517
LINCSCP_15176	Nicardipine	0.45
LINCSCP_15111	MLS000766281	0.4489
LINCSCP_99088	Lamotrigine	0.4406
LINCSCP_209972	Cyclosporine	0.4076
LINCSCP_88002	936890-98-1	0.4076
LINCSCP_212250	Chlorpromazine	0.406
LINCSCP_15487	Teniposide	0.4036
LINCSCP_15741	SMR000074300	0.3967
LINCSCP_14178	BRD-A10420615-001-02-8	0.3958
LINCSCP_17519	PF 543	0.3882
LINCSCP_94607	Diclofensine (hydrochloride)	0.3844
LINCSCP_15593	NVP-AUY922	0.3824
LINCSCP_15558	3,7-Bis(dimethylamino)phenothiazin-5-ium	0.3645
LINCSCP_91907	Idebenone	0.3643
LINCSCP_91547	Pidotimod	0.3633
LINCSCP_95582	TG100-115	0.3561
LINCSCP_94379	Amonafide	0.356
LINCSCP_15339	AZD7545	0.3512
LINCSCP_14307	Olomoucine	0.3504
LINCSCP_66806	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	0.3486
LINCSCP_15863	AC1LNRY5	0.3482
LINCSCP_88929	AZ20	0.3481
LINCSCP_14343	Butoconazole	0.3468
LINCSCP_90942	Mibefradil	0.3445
LINCSCP_94975	BRD-A69951442-001-01-3	0.3436
LINCSCP_94101	LY2228820	0.3414
LINCSCP_14911	Protriptyline	0.3396
LINCSCP_14395	LE-135	0.3395
LINCSCP_89499	PI 3-K/mTOR Inhibitor III, PKI-179	0.3389
LINCSCP_94422	Epirubicin HCl	0.3367
LINCSCP_97649	Pralatrexate	0.3361
LINCSCP_15769	SMR000031475	0.3326
LINCSCP_16851	MLS002474466	0.3296
LINCSCP_89007	SCHEMBL16980224	0.328
LINCSCP_16838	BRD-K47786739	0.3278
LINCSCP_14050	NCGC00025322-01	0.3267
LINCSCP_97525	Valrubicin	0.3248
LINCSCP_15105	etoposide	0.3239
LINCSCP_91308	Mitoxantrone	0.3222
LINCSCP_17070	Sarcolysin	0.3219
LINCSCP_97268	AMSACRINE	0.3215
LINCSCP_93267	ETOPOSIDE	0.3211
LINCSCP_95786	tetrahydropalmatine	0.8026
LINCSCP_95930	Penciclovir	0.7987
LINCSCP_97243	BTS 54-505 hydrochloride	0.7777
LINCSCP_95974	Ivermectin	0.7678
LINCSCP_95960	CC-930	0.7596
LINCSCP_212929	CHEMBL2152359	0.7516
LINCSCP_96070	PF-04447943	0.7472
LINCSCP_95888	Talnetant	0.7467
LINCSCP_91193	SGX-523	0.7414
LINCSCP_94988	Curcumin	0.7356
LINCSCP_92079	clobetasol	0.7327
LINCSCP_91162	Cnqx	0.7157
LINCSCP_96037	Benazepril	0.6968
LINCSCP_94581	Tozasertib	0.6951
LINCSCP_94623	estropipate	0.6715
LINCSCP_14340	Racecadotril	0.6596
LINCSCP_97611	IMD-0354	0.6568
LINCSCP_212535	Broad-Sai-595	0.6544
LINCSCP_87562	CP-724714	0.6504
LINCSCP_94657	Loperamide	0.6496
LINCSCP_96060	SPECTRUM_000403	0.6475
LINCSCP_95426	Anagrelide	0.6419
LINCSCP_91993	Moxonidine	0.6401
LINCSCP_96020	Desmopressin	0.6373
LINCSCP_92107	Piretanide	0.6365
LINCSCP_89240	SB239063	0.6359
LINCSCP_90480	Tamatinib	0.6352
LINCSCP_14202	CHEMBL8197	0.6327
LINCSCP_95997	Thioguanine	0.632
LINCSCP_95955	Fosfomycin Tromethamine	0.6271
LINCSCP_96103	LY2940680	0.6234
LINCSCP_14772	Benzoxiquine	0.621
LINCSCP_91382	Chrysin	0.6199
LINCSCP_14146	EMD-66684	0.6184
LINCSCP_15342	Phenoxazine	0.6172
LINCSCP_14562	Carbacyclin	0.6147
LINCSCP_92124	fluocinolone-acetonide	0.6145
LINCSCP_92762	Desoxypeganine	0.6138
