similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	421	Azithromycin	LSM-5821	NA	10uM	24h	LINCSCP_97589	HA1E
0.6907	5.832e-61	421	Dabigatran Etexilate	LSM-45249	NA	1.11uM	24h	LINCSCP_94444	HA1E
0.6421	2.6853e-50	421	Sertindole	LSM-5765	DRD2|HTR2A|HTR2C	3.33uM	24h	LINCSCP_97302	HA1E
0.6237	9.4821e-47	421	Rilpivirine	LSM-45777	NA	0.04uM	24h	LINCSCP_93085	HA1E
0.613	8.4844e-45	421	CLONAZEPAM	LSM-45776	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ	10uM	24h	LINCSCP_93690	HA1E
0.6098	3.1489e-44	421	Clindamycin	LSM-45814	NA	1.11uM	24h	LINCSCP_94795	HA1E
0.6084	5.4585e-44	421	Thioguanosine	LSM-5832	NA	3.33uM	24h	LINCSCP_98128	HA1E
0.6082	6.1344e-44	421	MLN 2238	LSM-4944	PSMB1	0.04uM	24h	LINCSCP_97863	HA1E
0.6001	1.5472e-42	421	Bavisant (dihydrochloride hydrate)	LSM-45666	HRH3	3.33uM	24h	LINCSCP_97883	HA1E
0.5974	4.4704e-42	421	L-Sulforaphane	LSM-4919	NFE2L2	10uM	24h	LINCSCP_17214	HA1E
0.5879	1.7009e-40	421	Paricalcitol	LSM-45519	VDR	3.33uM	24h	LINCSCP_94140	HA1E
0.5845	6.1378e-40	421	Gefitinib	LSM-1098	EGFR	0.37uM	24h	LINCSCP_95567	HA1E
0.5842	6.9502e-40	421	Oprozomib (ONX 0912)	LSM-45496	NA	0.12uM	24h	LINCSCP_90361	HA1E
0.5813	2.0159e-39	421	Closantel	LSM-4989	NA	3.33uM	24h	LINCSCP_91215	HA1E
0.5655	5.9778e-37	421	MLN9708	LSM-45406	NA	0.04uM	24h	LINCSCP_95701	HA1E
0.5627	1.6011e-36	421	MLN 2238	LSM-4944	PSMB1	0.12uM	24h	LINCSCP_97862	HA1E
0.5544	2.6986e-35	421	Carfilzomib (PR-171)	LSM-45547	ADRM1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD6|PSMD7|PSMD8|SEM1	0.04uM	24h	LINCSCP_92893	HA1E
0.5477	2.5005e-34	421	apicidin	LSM-45760	NA	0.12uM	24h	LINCSCP_94358	HA1E
0.5392	4.0458e-33	421	MK-2461	LSM-45560	MET	1.11uM	24h	LINCSCP_94408	HA1E
0.5365	9.5253e-33	421	cortisone-acetate	LSM-45387	TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	1.11uM	24h	LINCSCP_98063	HA1E
0.5364	9.7894e-33	421	Telatinib	LSM-45625	FLT4|KDR|KIT|PDGFRB	10uM	24h	LINCSCP_96163	HA1E
0.534	2.0822e-32	421	cortisone-acetate	LSM-45387	TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8	0.12uM	24h	LINCSCP_98065	HA1E
0.5332	2.6404e-32	421	NMS-1286937	LSM-45818	NA	1.11uM	24h	LINCSCP_96656	HA1E
0.5326	3.2123e-32	421	Closantel	LSM-4989	NA	1.11uM	24h	LINCSCP_91216	HA1E
-0.5275	1.586e-31	421	CEPHARANTHINE	LSM-45918	NA	1.11uM	24h	LINCSCP_97998	HA1E
-0.5257	2.7073e-31	421	Methixene	LSM-1467	CHRM1|CHRM5|HTR2C	10uM	24h	LINCSCP_167198	YAPC
0.5257	2.7424e-31	421	MK2A Inhibitor	LSM-3203	MAPK14	10uM	24h	LINCSCP_15074	HA1E
-0.5243	4.1894e-31	421	VU0413247-1	LSM-3359	NA	10uM	24h	LINCSCP_1413	A375
0.524	4.594e-31	421	Albendazole	LSM-3782	NA	10uM	24h	LINCSCP_98252	HA1E
-0.5172	3.5594e-30	421	10-DEBC	LSM-4710	PIM1	10uM	24h	LINCSCP_103584	HELA
0.5163	4.6787e-30	421	Closantel	LSM-4989	NA	0.37uM	24h	LINCSCP_91217	HA1E
