similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
-0.7221	1.4001e-21	126	1166227-08-2	LSM-1204	NA	1.11uM	24h	LINCSCP_148450	NPC
-0.7092	1.4896e-20	126	Falnidamol	LSM-3584	EGFR	0.04uM	24h	LINCSCP_78657	A375
-0.7078	1.9178e-20	126	Decitabine	LSM-5855	DNMT1|DNMT3A	3.33uM	24h	LINCSCP_150148	NPC.TAK
-0.6953	1.6625e-19	126	BRD-K30935394	LSM-15130	NA	10uM	6h	LINCSCP_279031	PC3
-0.6702	9.3047e-18	126	BIX01294	LSM-4571	EHMT2	3.33uM	24h	LINCSCP_148933	NPC
-0.664	2.3647e-17	126	Dasatinib	LSM-1020	ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1	1.11uM	24h	LINCSCP_151597	PC3
-0.663	2.7394e-17	126	SB-203580	LSM-1168	MAPK1|MAPK11|MAPK14	10uM	24h	LINCSCP_166084	SKL
0.6578	5.8575e-17	126	Fedratinib	LSM-1142	FLT3|JAK2	10uM	6h	LINCSCP_15549	HA1E
-0.6548	8.9823e-17	126	Dacomitinib	LSM-42808	EGFR|ERBB2|ERBB3|ERBB4	3.33uM	24h	LINCSCP_147507	NPC.CAS9
-0.6536	1.0684e-16	126	XMD 8-92	LSM-1094	MAPK7	0.12uM	24h	LINCSCP_150231	NPC.TAK
0.6469	2.7471e-16	126	BRD-K35669573	LSM-29348	NA	0.01uM	24h	LINCSCP_261231	NOMO1
-0.6445	3.8443e-16	126	BRD-K28997108	LSM-38846	NA	5uM	24h	LINCSCP_182993	A375
-0.6416	5.7746e-16	126	tropisetron	LSM-45589	NA	0.12uM	24h	LINCSCP_109225	HELA
0.6408	6.4388e-16	126	Phenolphthalein	LSM-2432	NA	10uM	6h	LINCSCP_21511	HEPG2
0.6404	6.7643e-16	126	BRD-K36910796	LSM-15073	NA	3uM	6h	LINCSCP_38040	MCF7
0.6385	8.7234e-16	126	Ingenol 3,20-dibenzoate	LSM-4445	PRKCD|PRKCE	10uM	24h	LINCSCP_37420	MCF7
-0.6376	9.9214e-16	126	heraclenol	LSM-45686	NA	10uM	24h	LINCSCP_154745	PC3
-0.6314	2.2481e-15	126	Mycophenolic acid	LSM-42933	IMPDH1|IMPDH2	0.37uM	24h	LINCSCP_162665	PC3
0.6238	6.0372e-15	126	BRD-A10420615-001-02-8	LSM-1306	ATP2A1	10uM	6h	LINCSCP_26876	HT29
0.6231	6.6419e-15	126	PI-103	LSM-1126	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG	10uM	6h	LINCSCP_257418	NCIH508
