similarity	pValue	nGenes	compound	lincsPertID	GeneTargets	concentration	time	signatureid	cellline
1	0	505	114798-26-4	LSM-3701	AGTR1	10uM	24h	LINCSCP_97726	HA1E
0.5163	9.2979e-36	505	Nimodipine	LSM-1659	CACNA1C|CACNA1D|CACNA1F|CACNA1S|NR3C2	10uM	6h	LINCSCP_205873	CORL23
0.5089	1.2512e-34	505	UK 356618	LSM-4940	MMP3	10uM	6h	LINCSCP_10395	A673
0.5064	3.0693e-34	505	Reserpine	LSM-4162	SLC18A1|SLC18A2	3.33uM	24h	LINCSCP_176246	YAPC
0.4861	2.6428e-31	505	Nefopam	LSM-1811	NA	10uM	6h	LINCSCP_14532	HA1E
0.4835	6.0605e-31	505	AC1Q6JJ5	LSM-6192	TOP2A	0.1uM	6h	LINCSCP_12767	DV90
-0.4699	4.2232e-29	505	NVP-AUY922	LSM-1162	NA	3.33uM	3h	LINCSCP_85609	BT20
-0.4696	4.5778e-29	505	NVP-AUY922	LSM-1162	NA	10uM	3h	LINCSCP_85608	BT20
-0.4675	8.8812e-29	505	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	1.11uM	3h	LINCSCP_116100	HS578T
0.4521	8.3211e-27	505	Manumycin-A	LSM-43075	FNTA|IKBKB	1uM	24h	LINCSCP_253000	MCF7
-0.4489	2.07e-26	505	NVP-AUY922	LSM-1162	HSP90AA1|HSP90AB1	10uM	6h	LINCSCP_40347	NCIH596
-0.4473	3.236e-26	505	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	1.11uM	3h	LINCSCP_115394	HS578T
0.4401	2.4829e-25	505	MOXIDECTIN	LSM-45247	NA	3.33uM	24h	LINCSCP_95343	HA1E
0.4361	7.2667e-25	505	Lamotrigine	LSM-4104	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	10uM	6h	LINCSCP_211307	HA1E
-0.4361	7.284e-25	505	Fisetinidol	LSM-4014	NA	10uM	24h	LINCSCP_15096	HA1E
0.4351	9.5661e-25	505	MLS000562366	LSM-4845	NA	10uM	6h	LINCSCP_7952	A549
-0.4346	1.1049e-24	505	NVP-AUY922	LSM-1162	NA	10uM	3h	LINCSCP_115248	HS578T
-0.4328	1.8173e-24	505	BRD-K41087962	LSM-42690	NA	0.5uM	6h	LINCSCP_286098	SKMEL1
-0.4307	3.137e-24	505	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	3.33uM	3h	LINCSCP_115393	HS578T
0.4279	6.7803e-24	505	Retigabine	LSM-45405	KCNQ1|KCNQ2|KCNQ3|KCNQ4|KCNQ5	0.12uM	24h	LINCSCP_175440	YAPC
-0.4272	8.0374e-24	505	BRD-A10420615-001-02-8	LSM-1306	ATP2A1	10uM	6h	LINCSCP_14178	HA1E
0.4255	1.2777e-23	505	Austricin	LSM-3434	NA	10uM	6h	LINCSCP_264902	PC3
-0.4251	1.3959e-23	505	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	6h	LINCSCP_66945	HCC515
-0.4224	2.8765e-23	505	IN1152	LSM-2575	NA	10uM	6h	LINCSCP_14233	HA1E
-0.4221	3.0553e-23	505	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	6h	LINCSCP_66928	HCC515
0.4209	4.2183e-23	505	NU1025	LSM-4643	PARP1	10uM	6h	LINCSCP_10383	A673
0.4202	5.0787e-23	505	AZD-1775	LSM-1153	WEE1	0.12uM	24h	LINCSCP_164559	SKL.C
0.4201	5.1894e-23	505	BRD-A75471153	LSM-45382	NA	0.12uM	24h	LINCSCP_124928	HT29
-0.4199	5.4669e-23	505	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	10uM	6h	LINCSCP_67008	HEPG2
-0.4179	9.2216e-23	505	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	LSM-42815	HSP90AA1	1.11uM	3h	LINCSCP_85754	BT20
-0.4171	1.1276e-22	505	Azathioprine	LSM-42936	PPAT	3.33uM	24h	LINCSCP_101969	HELA
0.4169	1.169e-22	505	CHIR-265	LSM-1207	BRAF|KDR	3.33uM	24h	LINCSCP_89214	HA1E
0.4164	1.3507e-22	505	NKP608	LSM-45650	NA	10uM	24h	LINCSCP_175790	YAPC
0.4138	2.6014e-22	505	SCHEMBL1675223	LSM-2485	NA	10uM	6h	LINCSCP_178465	A375
0.412	4.118e-22	505	3-(4-Pyridyl)indole	LSM-4569	ROCK1	10uM	6h	LINCSCP_10357	A673
0.4099	6.9534e-22	505	BAY 61-3606	LSM-1167	SYK	3.33uM	24h	LINCSCP_89118	HA1E
-0.4098	7.1182e-22	505	Capsazepine	LSM-2983	TRPV1	10uM	6h	LINCSCP_14260	HA1E
0.4074	1.2955e-21	505	PCI-32765	LSM-1129	BTK	10uM	24h	LINCSCP_88419	HA1E
0.4069	1.4758e-21	505	Y-39983	LSM-1150	ROCK1|ROCK2	0.04uM	3h	LINCSCP_145968	MDAMB231
-0.4052	2.2167e-21	505	TH-302	LSM-45919	NA	0.37uM	24h	LINCSCP_168268	YAPC
0.4009	6.4243e-21	505	AT 7867	LSM-1155	NA	0.12uM	24h	LINCSCP_88599	HA1E
0.3983	1.1899e-20	505	SPECTRUM_001319	LSM-1963	HSD11B1	1.11uM	24h	LINCSCP_79692	A375
0.3975	1.4579e-20	505	PH-797804	LSM-36373	MAPK14	3.33uM	24h	LINCSCP_98787	HA1E
-0.3968	1.7088e-20	505	ZINC01050121	LSM-6210	NA	20uM	6h	LINCSCP_40304	NCIH596
