signatureid	compound	similarity
LINCSCP_16619	Everolimus	0.5031
LINCSCP_14363	Pinacidil	0.5001
LINCSCP_15627	BI-2536	0.4956
LINCSCP_16666	Ruxolitinib	0.4918
LINCSCP_16683	CHEMBL1673039	0.4669
LINCSCP_17088	Cadmium Dichloride	0.4661
LINCSCP_15657	79966-13-5	0.417
LINCSCP_15480	CYTO7H11	0.4136
LINCSCP_16760	XMD-1185H	0.4073
LINCSCP_16717	SCHEMBL16980224	0.4066
LINCSCP_16604	NU-7441	0.4026
LINCSCP_16707	Crizotinib	0.4025
LINCSCP_15543	KU0060648	0.3753
LINCSCP_15113	15-Benzyl-4-cyclopropylmethyl-10,17-dihydroxy-(1S,13R,15R,17S)-12-oxa-4-azapentacyclo[9.6.1.01,13.05,17.07,18]octadeca-7,9,11(18)-trien-14-one	0.3741
LINCSCP_14873	Colforsin	0.3741
LINCSCP_14318	Anisomycin	0.3731
LINCSCP_16018	CHEMBL1367741	0.3722
LINCSCP_16710	Nilotinib	0.3709
LINCSCP_16480	CHEMBL2359949	0.3706
LINCSCP_17018	Iodoacetic acid	0.37
LINCSCP_15683	MLS000038106	0.36870000000000003
LINCSCP_14571	Puromycin	0.3686
LINCSCP_15663	(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one	0.3665
LINCSCP_14813	Amlodipine	0.3619
LINCSCP_94229	Ketoconazole	0.3611
LINCSCP_15911	MLS002264438	0.361
LINCSCP_14592	SSR 69071	0.3605
LINCSCP_16664	Aurora A Inhibitor I	0.3596
LINCSCP_15499	Salermide	0.3595
LINCSCP_16595	SCHEMBL618594	0.3576
LINCSCP_15700	CHEMBL1394624	0.3558
LINCSCP_14945	Menadione	0.3551
LINCSCP_16334	MLS001033149	0.3513
LINCSCP_16593	Terreic-acid	0.3504
LINCSCP_16554	PK04_098276	0.3498
LINCSCP_15944	5-Nonyloxytryptamine	0.3475
LINCSCP_16226	MLS000583956	0.346
LINCSCP_14942	Nicergoline	0.3459
LINCSCP_209049	Tamoxifen	0.3441
LINCSCP_16109	MLS002703099	0.3431
LINCSCP_17263	L-Sulforaphane	0.3429
LINCSCP_16282	BIX01294	0.3427
LINCSCP_15961	MLS002607797	0.3424
LINCSCP_16029	MLS002607703	0.34
LINCSCP_98058	179324-69-7	0.3393
LINCSCP_16824	MLS001207806	0.3378
LINCSCP_14884	RS-39604	0.3375
LINCSCP_15295	TW 37	0.3372
LINCSCP_16307	MLS-0435555.0001	0.3371
LINCSCP_15112	8-Cyclohexyl-2,3,3a,4,5,6-hexahydro-1H-pyrazino[3,2,1-jk]carbazole	0.3355
LINCSCP_15522	TL_HRAS26	0.3353
LINCSCP_211853	AC1N08ZR	0.3352
LINCSCP_212637	BRD-K10436544	0.3347
LINCSCP_16763	QL-XII-47	0.3346
LINCSCP_13825	Carpindolol	0.3346
LINCSCP_15908	CHEMBL1398049	0.3342
LINCSCP_14141	Prostoglandin B2	0.3338
LINCSCP_15981	Rifapentine	0.3315
LINCSCP_16368	CHEMBL2142877	0.3297
LINCSCP_98144	MG-132	0.3284
LINCSCP_14803	Terfenadine	0.3278
LINCSCP_16095	H0635_SIGMA	0.3276
LINCSCP_14540	7Beta-forskolin	0.3255
LINCSCP_16691	MLS001172197	0.3253
LINCSCP_16706	MLS001173269	0.3238
LINCSCP_15549	Fedratinib	0.8383
LINCSCP_16753	XMD-16144	0.7265
LINCSCP_16697	WZ 3146	0.6934
LINCSCP_13957	TWS 119	0.6141
LINCSCP_16431	Danusertib	0.5976
LINCSCP_16641	GSK-1070916	0.5949
LINCSCP_15599	TPCA-1	0.5735
LINCSCP_16659	Canertinib	0.5651
LINCSCP_211332	Latrunculin B	0.5418
LINCSCP_16507	Tozasertib	0.5398
LINCSCP_16951	Mitoxantrone	0.529
LINCSCP_16758	WH-4023	0.5276
LINCSCP_15587	BMS-536924	0.5255
LINCSCP_16724	Cediranib	0.5234
LINCSCP_16658	TAE-684	0.523
LINCSCP_15567	Tamatinib	0.5188
LINCSCP_16346	MLS000534605	0.515
LINCSCP_87660	Dovitinib	0.4941
LINCSCP_16261	Givinostat	0.4936
LINCSCP_16194	Triptolide	0.4935
LINCSCP_16185	Epirubicin	0.4929
LINCSCP_16345	Trichostatin	0.4924
LINCSCP_14603	Doxorubicin	0.4864
LINCSCP_15939	CHEMBL1705313	0.4853
LINCSCP_15572	3-(4-Pyridyl)indole	0.4853
LINCSCP_15118	NSC169534	0.4852
LINCSCP_15661	Tanespimycin	0.4842
LINCSCP_16757	WH-4025	0.4838
LINCSCP_16483	SCHEMBL1564574	0.4837
LINCSCP_16585	3,6-Dimethyl-9-[6-(oxiran-2-yl)-6-oxohexyl]decahydropyrrolo[1,2-a][1,4,7,10]tetraazacyclododecine-1,4,7,10-tetrone	0.4836
LINCSCP_66872	Trichostatin A, Streptomyces Sp.	0.482
LINCSCP_15602	Tivozanib	0.4808
LINCSCP_15323	NVP-AUY922	0.4774
LINCSCP_13878	UNII-5308DT8060	0.4751
LINCSCP_16629	Lestaurtinib	0.4745
LINCSCP_66822	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	0.4742
LINCSCP_16153	Dactinomycin	0.4738
LINCSCP_14833	AC1OCDAW	0.4723
LINCSCP_16745	PIK-75	0.467
LINCSCP_14914	Daunorubicin	0.4624
LINCSCP_16162	MLS002474519	0.4593
LINCSCP_15923	AC1MJ3VH	0.4544
LINCSCP_16606	LRRK2-IN-1	0.4537
LINCSCP_16759	ZG-10	0.4487
LINCSCP_66792	Vorinostat	0.4477
LINCSCP_16775	Merck-Ketone	0.4463
LINCSCP_16205	Idarubicin	0.4437
LINCSCP_16460	Sorafenib	0.4432
LINCSCP_16060	MLS003329221	0.4431
LINCSCP_15607	AZD-1775	0.4387
LINCSCP_16748	WZ-3105	0.4378
LINCSCP_15131	Y-27632	0.435
LINCSCP_15977	MLS003329219	0.4308
LINCSCP_16240	Panobinostat	0.4276
LINCSCP_16448	AB01274770-01	0.4266
LINCSCP_16354	2-Fluoroadenosine	0.4252
LINCSCP_16714	Pirarubicin	0.4219
LINCSCP_16977	NCH-51	0.4218
LINCSCP_16380	Alvocidib	0.4215
LINCSCP_16437	CHEMBL2354474	0.4178
LINCSCP_16241	MD-II-038	0.4176
LINCSCP_16742	PF-562271	0.4173
LINCSCP_14558	Scriptaid	0.4145
LINCSCP_211841	PD-173074	0.414
LINCSCP_16400	4449-51-8	0.4121
LINCSCP_96001	CHEMBL2136735	0.4115
LINCSCP_16671	Dacinostat	0.4099
LINCSCP_13958	Mevastatin	0.4083
LINCSCP_16701	BRD-K75081836	0.4062
LINCSCP_13949	NNC 05-2090	0.405
LINCSCP_14933	Triflupromazine	0.4041
LINCSCP_87867	WH-4-025	0.3987
LINCSCP_88419	PCI-32765	0.3977
LINCSCP_211815	WZ 4002	0.3967
LINCSCP_16438	AT-7519	0.3929
LINCSCP_97343	Ibrutinib (PCI-32765)	0.3913
LINCSCP_14703	Piplartine	0.3908
LINCSCP_16615	ST078797	0.3878
LINCSCP_16064	MLS003329222	0.3854
LINCSCP_14804	SB-218078	0.385
LINCSCP_16609	GSK-3 Inhibitor IX	0.3843
