Name_GeneSymbol	Value_LogDiffExp
IER3	-4.4794
FHL2	-5.3896999999999995
MYC	-4.6236999999999995
ABL1	-1.50785
PRSS23	-4.57915
SLC2A6	-2.83715
MOK	-2.17255
PTPN12	-1.95385
CHMP6	-1.7617
HOXA10	-2.16545
GRB10	-3.0841000000000003
ATF1	-1.3841
FOSL1	-3.85135
MLLT11	-2.42975
KEAP1	-2.9909
ARHGEF2	-1.01695
NUP85	-1.07995
TEX10	-1.8672
SFN	-1.75985
CYTH1	-1.84805
PIGB	-1.87655
SLC11A2	-2.33465
INPP1	-3.1512000000000002
INTS3	-1.3408499999999999
NFKBIA	-0.87025
RAI14	-1.35975
ADGRE5	-0.6884500000000001
TLE1	-3.8368
INPP4B	-2.2882
PRKCD	-1.5791499999999998
PXN	-0.8663000000000001
JADE2	-1.11895
DUSP4	-1.66005
JUN	-3.70685
HMOX1	-1.15545
SMAD3	-0.5644499999999999
NR2F6	-1.90315
TIMM9	-2.13715
SORBS3	-2.2157999999999998
VGLL4	-0.9893000000000001
GLRX	-2.0942
NUP62	-1.2266000000000001
MALT1	-0.9378000000000001
PRKAG2	-2.5903
TRAM2	-2.04365
DCK	-2.12615
PAX8	-2.3763
GTPBP8	-2.5795
ETS1	-1.17615
TES	-1.7705
PDGFA	-1.5086
LBR	-2.68085
IGF2BP2	-1.58465
CASC3	-1.7812999999999999
HIF1A	-1.0921
ARID5B	-0.64185
CBR3	-2.2273
CCND1	-1.2566499999999998
PARP2	-2.0583
MELK	-0.8832
TXLNA	-1.2625000000000002
EDN1	-2.2591
IKBKE	-1.2742499999999999
GATA3	-0.81455
MYO10	-2.1733000000000002
STX4	-1.56455
TIAM1	-0.5001000000000001
CCL2	-0.9927499999999999
TOPBP1	-0.8366
GLI2	-0.623
SLC25A4	-0.6958499999999999
PDS5A	-2.6870000000000003
LPGAT1	-1.2917
DCTD	-2.31205
MICALL1	-1.2540499999999999
PAFAH1B1	-1.097
RASA1	-1.56255
SACM1L	-0.5187999999999999
CTSL	-1.61165
