Name_GeneSymbol	Value_LogDiffExp
MAPK9	-1.5243
NIT1	-1.1208
RHEB	-1.0067
STK10	-1.0686
MKNK1	-0.8996
ARL4C	-1.0411
NVL	-1.0501
TLK2	-1.0569
DHX29	-0.9256
DFFA	-0.9629
FUT1	-1.0672
NOL3	-1.1706
NFKBIE	-0.9887
KCTD5	-0.8828
SUPV3L1	-0.8518
NOLC1	-1.1834
IL1B	-1.1222
ZFP36	-0.9587
TESK1	-0.9482
SOCS2	-1.0032
POLD4	-0.9103
EDEM1	-1.1845
CXCR4	-1.1933
RAB31	-0.9376
CTNND1	-0.9362
ME2	-0.8914
GSTM2	-1.2694
PPOX	-0.9971
NCAPD2	-1.0299
CPSF4	-0.9008
CDK5R1	-1.3114
HSPA4	-0.9069
IKBKB	-1.1411
SIRT3	-1.2211
PRUNE	-1.2372
SPRED2	-1.0479
RPA3	-1.0858
DNAJB6	-1.8248
TBXA2R	-1.0439
SMC3	-1.1775
CDK4	-0.9526
BAD	-1.5835
KIAA1033	-3.5364
GPATCH8	-1.3363
EXT1	-0.9483
UBE2C	-1.2004
SNAP25	-0.9099
PDHX	-1.4018
OXA1L	-1.7562
ENOPH1	-2.3605
CCND3	-1.3116
CHMP4A	-3.1301
PSRC1	-0.8763
PEX11A	-0.9916
PAPD7	-1.1565
MBOAT7	-1.9997
CSRP1	-2.5883
GTF2E2	-2.4939
GOLT1B	-2.3634
NUP85	-1.7933
MRPL19	-1.0312
CREB1	-0.8668
SLC25A46	-1.1557
