Name_GeneSymbol	Value_LogDiffExp
TICAM1	1.2836
HN1L	1.0565
OXCT1	1.085
RAB4A	1.2757
ADH5	1.2695
ADO	1.1019
CDK19	1.3571
KIAA0100	1.2705
SLC5A6	1.2333
PRR7	1.2828
VGLL4	2.0529
LRRC16A	1.1214
BTK	1.083
RPS5	1.0165
BLMH	1.1151
NOS3	1.0301
UBE3B	1.9835
YTHDF1	1.0955
PTGS2	4.1701
FKBP14	1.1317
ZNF586	2.9199
VAV3	2.8469
RFX5	1.4056
SATB1	2.4049
ADGRE5	2.151
LAMA3	2.7157
HES1	2.7847
RAP1GAP	1.9858
MAP4K4	1.1452
MCOLN1	1.2168
RBKS	1.765
INPP4B	2.2778
FOXJ3	1.4804
PAK1	1.7684
WDR7	1.1798
SCYL3	1.0725
NARFL	1.5444
