signatureid	compound	similarity
LINCSCP_37994	Fedratinib	0.897
LINCSCP_252541	Trichostatin A, Streptomyces Sp.	0.7152
LINCSCP_136465	Riluzole	0.7094
LINCSCP_137055	GSK-1070916	0.6907
LINCSCP_136412	RVX-208	0.6751
LINCSCP_138948	Vinburnine	0.6609
LINCSCP_137222	GSK-923295	0.6476
LINCSCP_137810	CX-5461	0.6462
LINCSCP_137749	NUTLIN 3	0.6372
LINCSCP_252748	Vorinostat	0.6211
LINCSCP_137994	R428	0.6162
LINCSCP_243909	Demeclocycline	0.6147
LINCSCP_37283	LRRK2-IN-1	0.6125
LINCSCP_132971	BI-2536	0.6023
LINCSCP_136487	Mitoxantrone	0.6015
LINCSCP_136872	MK-5108	0.6009
LINCSCP_138101	XL888	0.5961
LINCSCP_136459	TH-302	0.5907
LINCSCP_137021	AC1MJ3VH	0.5824
LINCSCP_36264	Scriptaid	0.5818
LINCSCP_140823	PHA-793887	0.5804
LINCSCP_31466	KUC104248	0.578
LINCSCP_38723	Broad-Sai-296	0.571
LINCSCP_136334	SB 242235	0.5701
LINCSCP_137066	AZD1152	0.5644
LINCSCP_36862	Pyrazolanthrone	0.5612
LINCSCP_138311	Cabazitaxel	0.5577
LINCSCP_38040	BRD-K36910796	0.5572
LINCSCP_138118	Ixabepilone	0.557
LINCSCP_32436	BDBM50377913	0.5472
LINCSCP_67390	13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate	0.547
LINCSCP_135939	Danusertib	0.546
LINCSCP_31309	MLS002264405	0.5455
LINCSCP_136681	Osimertinib	0.5454
LINCSCP_140088	AZD-1775	0.5402
LINCSCP_237380	MLS003178531	0.5389
LINCSCP_133334	Bosutinib	0.5386
LINCSCP_139978	BIIB 021	0.5323
LINCSCP_31807	FK-506	0.5319
LINCSCP_38332	SA-1919345	0.5314
LINCSCP_34571	Haloprogin	0.5297
LINCSCP_139788	Tozasertib	0.528
LINCSCP_37446	D-64131	0.5274
LINCSCP_31446	MLS002264437	0.5273
LINCSCP_38127	3,6-Dimethyl-9-[6-(oxiran-2-yl)-6-oxohexyl]decahydropyrrolo[1,2-a][1,4,7,10]tetraazacyclododecine-1,4,7,10-tetrone	0.5253
LINCSCP_142039	AZD7762	0.5243
LINCSCP_139016	KW-2478	0.524
LINCSCP_133819	Pracinostat	0.5208
LINCSCP_37231	CHEMBL2359475	0.5174
LINCSCP_140273	Canertinib	0.5174
LINCSCP_135656	Tamatinib	0.514
LINCSCP_31203	MLS002264388	0.5138
LINCSCP_141882	MLN-8054	0.5124
LINCSCP_253884	Piplartine	0.5117
