Name_GeneSymbol	Value_LogDiffExp
LPAR2	-3.1682333333333332
PARP2	-2.7508333333333335
CHAC1	-1.4889
PRSS23	-1.6058000000000001
C2CD5	-1.9932666666666667
TP53BP1	-1.5505666666666666
UGDH	-1.4168333333333334
NPEPL1	-1.0003
MAPK13	-0.9783666666666667
KLHDC2	-1.0362666666666667
NRIP1	-1.3632333333333333
MICALL1	-1.7657666666666667
TCEA2	-1.0452333333333332
DNM1	-1.6401666666666666
MRPL19	-0.8792666666666668
CSRP1	-1.1680666666666668
ATF5	-1.2418333333333333
PCK2	-1.2573
DPH2	-0.886
PAFAH1B1	-1.0458666666666667
TOR1A	-1.9202333333333335
ZDHHC6	-1.9717333333333333
POLE2	-2.6387333333333336
LBR	-0.8836
TOP2A	-0.8972
NUSAP1	-1.8759333333333335
PYCR1	-1.2041
MTHFD2	-1.4812
FAM69A	-1.3178
GATA2	-1.1542999999999999
NUP88	-1.2927
SPAG7	-1.3981666666666666
STAT1	-1.72
DLD	-1.4597333333333333
CDC45	-1.8445333333333334
CEBPA	-1.4994666666666667
PDS5A	-1.2310666666666665
PLSCR1	-1.3027
STX4	-1.4143000000000001
C2CD2	-1.2589
PDGFA	-1.3212666666666666
LAP3	-1.4938999999999998
DERA	-1.6489666666666667
ARHGEF12	-1.7170333333333332
CHMP4A	-0.8514999999999999
TLK2	-1.0438333333333332
PIK3C2B	-1.6143
TNFRSF21	-1.8356666666666666
POLG2	-2.0227666666666666
YTHDF1	-0.9117666666666666
CHMP6	-1.0351
SLC35A1	-1.2694
USP14	-0.8701666666666666
BLCAP	-1.1151666666666666
CASC3	-0.9634333333333334
TRAK2	-1.3013666666666666
TSEN2	-0.8768333333333334
CYB561	-1.8991666666666667
LOXL1	-1.2557666666666667
USP7	-1.6903666666666666
PEX11A	-1.2074333333333334
HMOX1	-1.0770333333333333
SCRN1	-0.8593333333333333
LYPLA1	-1.2734
RBM34	-0.8996666666666666
CLIC4	-1.617
B4GAT1	-1.6929333333333332
EXOSC4	-2.026666666666667
EED	-1.6173333333333333
PIGB	-0.8786666666666667
IFRD2	-1.2297666666666667
CD58	-1.2994666666666665
TRAPPC3	-1.7731333333333335
RFX5	-0.9948333333333335
BAG3	-1.4340000000000002
MYC	-0.9178
ZMYM2	-1.4877
TSPAN4	-1.5111333333333334
EPB41L2	-0.9825333333333334
DNAJC15	-0.9738666666666667
GABPB1	-1.7801666666666667
ERBB2	-1.5728333333333333
USP22	-1.4965666666666666
S100A13	-1.4028666666666665
MCM3	-1.1971333333333334
MAPK9	-0.8818666666666666
TBX2	-1.9899
MAP2K5	-0.9089666666666667
UBE2C	-1.1520333333333335
BAMBI	-1.9133333333333333
ARHGEF2	-1.6167
SENP6	-1.197633333333333
KIF14	-1.1146333333333334
INTS3	-0.9813666666666666
PDHX	-1.3197333333333334
CSK	-1.6079
SLC11A2	-1.8806333333333332
SLC2A6	-0.9538333333333333
NCK2	-1.0797999999999999
KEAP1	-2.4145000000000003
TIMM9	-2.4140333333333337
PIP4K2B	-1.0118333333333334
BIRC5	-0.9746333333333334
RAD51C	-0.9357333333333333
NUP85	-2.0610333333333335
SPR	-0.9366333333333333
PRR7	-1.9835333333333331
SPDEF	-3.1232333333333333
FAM57A	-3.744133333333333
CANT1	-1.3741333333333334
CCDC86	-1.6478
DNAJB1	-1.2331666666666667
CDC25B	-2.0457
MLLT11	-0.9188999999999999
CASP7	-1.0986333333333334
TRIB3	-1.2252333333333334
FHL2	-3.0132666666666665
CDC20	-0.9677333333333333
TOPBP1	-1.6244333333333334
LSM6	-0.8799
JMJD6	-2.398566666666667
CPSF4	-1.0954666666666668
GTPBP8	-1.4533666666666665
NR2F6	-2.4206333333333334
PRKAG2	-1.5837666666666668
LPGAT1	-0.9076333333333333
UFM1	-1.3996
PAK4	-1.0848333333333333
ADGRG1	-1.0714666666666666
XBP1	-1.0289333333333333
ATF1	-1.4688
BRCA1	-2.8292
SUV39H1	-1.9402333333333335
TMEM109	-1.3330666666666666
KIAA1033	-1.2554666666666667
JADE2	-2.6749
PLEKHJ1	-0.8921
MPZL1	-1.1455666666666666
ABL1	-0.9194333333333334
COG7	-0.9615666666666667
PUF60	-1.5574
ST6GALNAC2	-1.8914
TXLNA	-0.9010333333333334
CBR3	-0.9326333333333333
MRPS2	-2.6029
APPBP2	-2.2281
SLC35F2	-1.4846333333333335
ATP5S	-0.9533333333333334
PSMG1	-1.1888
CCND1	-0.9945999999999999
