Name_GeneSymbol	Value_LogDiffExp
NENF	-1.5545
EBP	-1.05565
STAT5B	-1.1712
SPDEF	-1.0554999999999999
EGFR	-0.95675
ACOT9	-1.84085
KIF2C	-0.9004
BIRC5	-2.77395
LGMN	-0.9829
OXSR1	-0.8745999999999999
TRAP1	-0.9016500000000001
SKIV2L	-0.9009
NOTCH1	-0.9196
SNX6	-1.0675
AKR7A2	-2.9005
CXCL2	-3.38095
SPP1	-2.8452
DHRS7	-4.2712
TES	-1.9013999999999998
DNM1L	-2.7647
HLA-DRA	-1.9525000000000001
ARID4B	-2.03025
PLK1	-1.88075
VAT1	-1.4515
LYPLA1	-1.3728
CAT	-0.9652
LPAR2	-1.2151999999999998
MEF2C	-0.984
ZNF274	-1.52115
PIH1D1	-0.9601
VDAC1	-1.7180000000000002
DCUN1D4	-2.6315
GOLT1B	-4.2955
CAB39	-1.9636
KIAA0196	-0.9607
CCDC85B	-1.2652
SNAP25	-1.0444499999999999
FGFR2	-0.9566000000000001
ISOC1	-1.53645
FOS	-1.30065
DNTTIP2	-1.2359
RGS2	-0.9546500000000001
UBE3C	-1.3337
CLTB	-2.01085
CBR1	-1.07575
SSBP2	-1.14635
CREB1	-1.5465
POLR2I	-1.272
RPIA	-1.2825
STUB1	-1.1871
SPRED2	-1.44015
KIAA1033	-1.0729
C2CD5	-1.4567999999999999
GTPBP8	-1.5070999999999999
TARBP1	-1.4798499999999999
LAP3	-1.6804000000000001
CCNB1	-1.1868999999999998
CYCS	-1.03465
SLC35F2	-2.17475
LSM5	-1.3
PSIP1	-1.2255
SNCA	-1.101
ITFG1	-1.03525
RNF167	-1.0982
IARS2	-0.8529000000000001
TNIP1	-2.00695
FKBP14	-1.9079000000000002
PIK3C2B	-0.8673
RAC2	-1.47825
SUPV3L1	-0.95225
FCHO1	-0.9078999999999999
COG4	-0.94425
GNA15	-1.2424
TGFBR2	-1.5090000000000001
SPAG7	-0.89115
ITGB1BP1	-2.5460499999999997
NISCH	-0.9551000000000001
PSMB8	-0.98935
NOS3	-1.7895999999999999
IL1B	-2.4946
