Name_GeneSymbol	Value_LogDiffExp
TCTA	2.0051
SMC3	1.6387
UBQLN2	2.6209
RPA1	1.4007
GNAI2	1.4731
TOPBP1	1.5401
APPBP2	1.4202
NCOA3	1.4649
DNMT1	1.4297
HSD17B11	1.5334
PSMD2	1.5606
PARP1	1.5077
IKBKB	1.4774
SPTAN1	1.3386
PPP2R5E	1.1936
S100A4	1.7014
COPB2	1.2472
KAT6A	1.6002
BUB1B	1.2518
NCK2	1.3264
CLTC	1.5631
KTN1	1.1505
MYCBP2	1.0963
TSEN2	1.6253
KIAA0196	1.2889
NOTCH1	1.0725
PAFAH1B1	1.4535
ARID4B	1.247
KIF14	1.1122
NNT	1.0816
PAF1	1.0537
ZNF131	1.1552
SENP6	1.2982
ISOC1	1.4444
GFPT1	1.1734
CPNE3	1.0146
KAT6B	1.0151
INTS3	1.0937
MEST	1.501
ZW10	1.2057
EXT1	1.1633
HTATSF1	1.1187
INPP4B	1.0771
CREB1	1.2434
ABCC5	1.0076
NUP133	1.4199
AKAP8L	1.8366
ZNF318	1.1
PTK2B	1.1928
SPEN	1.3657
JADE2	1.2276
AGL	1.0752
IKBKAP	2.0543
GTPBP8	1.148
ANKRD10	2.5554
MAT2A	1.0488
UGDH	1.337
MMP2	1.1646
RNPS1	2.5574
IKZF1	1.0892
POLE2	1.8166
GALE	1.2143
PMM2	1.1889
ATMIN	1.104
C2CD2	4.5629
DHX29	1.3324
ICMT	2.2863
MBTPS1	1.1135
FAM57A	1.0237
BAD	1.1946
USP1	1.0919
MALT1	1.2373
PLSCR3	3.3252
GNA15	2.9495
CRELD2	4.2254
MYLK	3.6673
NPC1	1.0885
CBLB	1.6086
SLC27A3	1.1702
HLA-DRA	2.961
KDM5A	2.7564
SNX7	1.267
HOOK2	1.3542
ABHD6	2.7518
LAMA3	1.4097
SESN1	3.1222
ARID5B	1.9129
SNAP25	2.2686
MAP2K5	2.7171
UBE3B	1.3059
CISD1	1.084
PTGS2	2.0028
CTNNAL1	1.8606
