SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_103644	AC1MJ3VH	TOP2A	3.33uM	HELA	24h	
LINCSCP_103645	AC1MJ3VH	TOP2A	1.11uM	HELA	24h	
LINCSCP_103646	AC1MJ3VH	TOP2A	0.37uM	HELA	24h	
LINCSCP_103647	AC1MJ3VH	TOP2A	0.12uM	HELA	24h	
LINCSCP_103648	AC1MJ3VH	TOP2A	0.04uM	HELA	24h	
LINCSCP_11138	AC1MJ3VH	TOP2A	10uM	ASC	24h	1
LINCSCP_120437	AC1MJ3VH	TOP2A	10uM	HT29	24h	
LINCSCP_120438	AC1MJ3VH	TOP2A	3.33uM	HT29	24h	
LINCSCP_120439	AC1MJ3VH	TOP2A	1.11uM	HT29	24h	
LINCSCP_120440	AC1MJ3VH	TOP2A	0.37uM	HT29	24h	
LINCSCP_120441	AC1MJ3VH	TOP2A	0.12uM	HT29	24h	
LINCSCP_120442	AC1MJ3VH	TOP2A	0.04uM	HT29	24h	
LINCSCP_137016	AC1MJ3VH	TOP2A	10uM	MCF7	24h	
LINCSCP_137017	AC1MJ3VH	TOP2A	3.33uM	MCF7	24h	
LINCSCP_137018	AC1MJ3VH	TOP2A	1.11uM	MCF7	24h	
LINCSCP_137019	AC1MJ3VH	TOP2A	0.37uM	MCF7	24h	
LINCSCP_137020	AC1MJ3VH	TOP2A	0.12uM	MCF7	24h	
LINCSCP_137021	AC1MJ3VH	TOP2A	0.04uM	MCF7	24h	
LINCSCP_14528	AC1MJ3VH	TOP2A	10uM	HA1E	6h	0
LINCSCP_155223	AC1MJ3VH	TOP2A	10uM	PC3	24h	
LINCSCP_155224	AC1MJ3VH	TOP2A	3.33uM	PC3	24h	
LINCSCP_155225	AC1MJ3VH	TOP2A	1.11uM	PC3	24h	
LINCSCP_155226	AC1MJ3VH	TOP2A	0.37uM	PC3	24h	
LINCSCP_155227	AC1MJ3VH	TOP2A	0.12uM	PC3	24h	
LINCSCP_155228	AC1MJ3VH	TOP2A	0.04uM	PC3	24h	
LINCSCP_15923	AC1MJ3VH	TOP2A	10uM	HA1E	6h	0
LINCSCP_1676	AC1MJ3VH	TOP2A	10uM	A375	6h	0
LINCSCP_168823	AC1MJ3VH	TOP2A	10uM	YAPC	24h	
LINCSCP_168824	AC1MJ3VH	TOP2A	3.33uM	YAPC	24h	
LINCSCP_168825	AC1MJ3VH	TOP2A	1.11uM	YAPC	24h	
LINCSCP_168826	AC1MJ3VH	TOP2A	0.37uM	YAPC	24h	
LINCSCP_168827	AC1MJ3VH	TOP2A	0.12uM	YAPC	24h	
LINCSCP_168828	AC1MJ3VH	TOP2A	0.04uM	YAPC	24h	
