SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_10070	Broad-Sai-045		0.37uM	A549	24h	0
LINCSCP_10071	Broad-Sai-045		10uM	A549	24h	1
LINCSCP_10072	Broad-Sai-045		3.33uM	A549	24h	0
LINCSCP_17109	Broad-Sai-045		10uM	HA1E	24h	0
LINCSCP_17110	Broad-Sai-045		5uM	HA1E	24h	0
LINCSCP_17157	Broad-Sai-045		0.1uM	HA1E	6h	0
LINCSCP_17158	Broad-Sai-045		0.1uM	HA1E	6h	1
LINCSCP_17453	Broad-Sai-045		0.12uM	HA1E	24h	0
LINCSCP_17454	Broad-Sai-045		10uM	HA1E	24h	0
LINCSCP_17455	Broad-Sai-045		1.11uM	HA1E	24h	0
LINCSCP_17456	Broad-Sai-045		3.33uM	HA1E	24h	0
LINCSCP_20962	Broad-Sai-045		0.37uM	HCC515	24h	0
LINCSCP_20963	Broad-Sai-045		10uM	HCC515	24h	0
LINCSCP_212546	Broad-Sai-045		0.5uM	HA1E	24h	0
LINCSCP_212548	Broad-Sai-045		1uM	HA1E	24h	0
LINCSCP_212668	Broad-Sai-045		0.5uM	HA1E	6h	0
LINCSCP_212669	Broad-Sai-045		10uM	HA1E	6h	0
LINCSCP_212670	Broad-Sai-045		1uM	HA1E	6h	0
LINCSCP_212672	Broad-Sai-045		5uM	HA1E	6h	0
LINCSCP_213233	Broad-Sai-045		0.37uM	HA1E	24h	0
LINCSCP_24014	Broad-Sai-045		0.04uM	HEPG2	24h	0
LINCSCP_24015	Broad-Sai-045		0.12uM	HEPG2	24h	0
LINCSCP_24016	Broad-Sai-045		10uM	HEPG2	24h	1
LINCSCP_24017	Broad-Sai-045		1.11uM	HEPG2	24h	0
LINCSCP_24018	Broad-Sai-045		3.33uM	HEPG2	24h	0
LINCSCP_250218	Broad-Sai-045		0.1uM	MCF7	24h	0
LINCSCP_250329	Broad-Sai-045		0.1uM	MCF7	6h	0
LINCSCP_255064	Broad-Sai-045		3.33uM	MCF7	24h	0
LINCSCP_279722	Broad-Sai-045		0.5uM	PC3	24h	0
LINCSCP_279843	Broad-Sai-045		0.5uM	PC3	6h	0
LINCSCP_279844	Broad-Sai-045		0.5uM	PC3	6h	0
LINCSCP_279845	Broad-Sai-045		1uM	PC3	6h	0
LINCSCP_28618	Broad-Sai-045		10uM	HT29	24h	1
LINCSCP_35507	Broad-Sai-045		0.1uM	MCF7	24h	0
LINCSCP_35508	Broad-Sai-045		0.5uM	MCF7	24h	0
LINCSCP_35509	Broad-Sai-045		0.5uM	MCF7	24h	0
LINCSCP_35510	Broad-Sai-045		10uM	MCF7	24h	1
LINCSCP_35511	Broad-Sai-045		3uM	MCF7	24h	0
LINCSCP_35512	Broad-Sai-045		5uM	MCF7	24h	0
LINCSCP_35570	Broad-Sai-045		0.5uM	MCF7	6h	0
LINCSCP_38668	Broad-Sai-045		0.37uM	MCF7	24h	0
LINCSCP_38669	Broad-Sai-045		10uM	MCF7	24h	0
LINCSCP_3992	Broad-Sai-045		0.04uM	A375	24h	0
LINCSCP_3993	Broad-Sai-045		0.12uM	A375	24h	0
LINCSCP_3994	Broad-Sai-045		0.37uM	A375	24h	0
LINCSCP_3995	Broad-Sai-045		10uM	A375	24h	1
LINCSCP_3996	Broad-Sai-045		3.33uM	A375	24h	0
LINCSCP_49309	Broad-Sai-045		10uM	PC3	24h	0
LINCSCP_49310	Broad-Sai-045		5uM	PC3	24h	0
LINCSCP_49359	Broad-Sai-045		0.1uM	PC3	6h	0
LINCSCP_49360	Broad-Sai-045		10uM	PC3	6h	0
LINCSCP_49361	Broad-Sai-045		3uM	PC3	6h	0
LINCSCP_49362	Broad-Sai-045		5uM	PC3	6h	0
LINCSCP_49641	Broad-Sai-045		0.04uM	PC3	24h	0
LINCSCP_49642	Broad-Sai-045		0.12uM	PC3	24h	0
LINCSCP_49643	Broad-Sai-045		0.37uM	PC3	24h	0
LINCSCP_49644	Broad-Sai-045		10uM	PC3	24h	1
LINCSCP_49645	Broad-Sai-045		1.11uM	PC3	24h	0
LINCSCP_49646	Broad-Sai-045		3.33uM	PC3	24h	0
