SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_100454	C30H33N3O5S	ATM	10uM	HCC515	24h	
LINCSCP_100455	C30H33N3O5S	ATM	3.33uM	HCC515	24h	
LINCSCP_100456	C30H33N3O5S	ATM	1.11uM	HCC515	24h	
LINCSCP_100457	C30H33N3O5S	ATM	0.37uM	HCC515	24h	
LINCSCP_112287	C30H33N3O5S	ATM	10uM	HEPG2	24h	
LINCSCP_112288	C30H33N3O5S	ATM	3.33uM	HEPG2	24h	
LINCSCP_112289	C30H33N3O5S	ATM	1.11uM	HEPG2	24h	
LINCSCP_112290	C30H33N3O5S	ATM	0.37uM	HEPG2	24h	
LINCSCP_112292	C30H33N3O5S	ATM	0.04uM	HEPG2	24h	
LINCSCP_114059	C30H33N3O5S	ATM	10uM	HME1	24h	
LINCSCP_114060	C30H33N3O5S	ATM	3.33uM	HME1	24h	
LINCSCP_114064	C30H33N3O5S	ATM	0.04uM	HME1	24h	
LINCSCP_117245	C30H33N3O5S	ATM	10uM	HT29	24h	
LINCSCP_117246	C30H33N3O5S	ATM	3.33uM	HT29	24h	
LINCSCP_117247	C30H33N3O5S	ATM	1.11uM	HT29	24h	
LINCSCP_117248	C30H33N3O5S	ATM	0.37uM	HT29	24h	
LINCSCP_117249	C30H33N3O5S	ATM	0.12uM	HT29	24h	
LINCSCP_117250	C30H33N3O5S	ATM	0.04uM	HT29	24h	
LINCSCP_12100	C30H33N3O5S	ATM	0.1uM	BT20	24h	0
LINCSCP_12101	C30H33N3O5S	ATM	10uM	BT20	24h	0
LINCSCP_12254	C30H33N3O5S	ATM	10uM	BT20	6h	0
LINCSCP_12255	C30H33N3O5S	ATM	1uM	BT20	6h	1
LINCSCP_128707	C30H33N3O5S	ATM	10uM	HUVEC	24h	
LINCSCP_128708	C30H33N3O5S	ATM	3.33uM	HUVEC	24h	
LINCSCP_128709	C30H33N3O5S	ATM	1.11uM	HUVEC	24h	
LINCSCP_128710	C30H33N3O5S	ATM	0.37uM	HUVEC	24h	
LINCSCP_133643	C30H33N3O5S	ATM	10uM	MCF7	24h	
LINCSCP_133644	C30H33N3O5S	ATM	3.33uM	MCF7	24h	
LINCSCP_133645	C30H33N3O5S	ATM	1.11uM	MCF7	24h	
LINCSCP_133646	C30H33N3O5S	ATM	0.37uM	MCF7	24h	
LINCSCP_133647	C30H33N3O5S	ATM	0.12uM	MCF7	24h	
LINCSCP_133648	C30H33N3O5S	ATM	0.04uM	MCF7	24h	
LINCSCP_146718	C30H33N3O5S	ATM	10uM	NEU	24h	
LINCSCP_146719	C30H33N3O5S	ATM	3.33uM	NEU	24h	
LINCSCP_146720	C30H33N3O5S	ATM	1.11uM	NEU	24h	
LINCSCP_146721	C30H33N3O5S	ATM	0.37uM	NEU	24h	
LINCSCP_147750	C30H33N3O5S	ATM	10uM	NPC.CAS9	24h	
LINCSCP_147753	C30H33N3O5S	ATM	0.37uM	NPC.CAS9	24h	
LINCSCP_147754	C30H33N3O5S	ATM	0.12uM	NPC.CAS9	24h	
LINCSCP_147755	C30H33N3O5S	ATM	0.04uM	NPC.CAS9	24h	
LINCSCP_148779	C30H33N3O5S	ATM	3.33uM	NPC	24h	
LINCSCP_148781	C30H33N3O5S	ATM	0.37uM	NPC	24h	
LINCSCP_148782	C30H33N3O5S	ATM	0.12uM	NPC	24h	
LINCSCP_149906	C30H33N3O5S	ATM	10uM	NPC.TAK	24h	
LINCSCP_149907	C30H33N3O5S	ATM	3.33uM	NPC.TAK	24h	
LINCSCP_149911	C30H33N3O5S	ATM	0.04uM	NPC.TAK	24h	
LINCSCP_151845	C30H33N3O5S	ATM	10uM	PC3	24h	
LINCSCP_151846	C30H33N3O5S	ATM	3.33uM	PC3	24h	
LINCSCP_151847	C30H33N3O5S	ATM	1.11uM	PC3	24h	
LINCSCP_151848	C30H33N3O5S	ATM	0.37uM	PC3	24h	
LINCSCP_151849	C30H33N3O5S	ATM	0.12uM	PC3	24h	
LINCSCP_151850	C30H33N3O5S	ATM	0.04uM	PC3	24h	
LINCSCP_164575	C30H33N3O5S	ATM	10uM	SKL.C	24h	
LINCSCP_164579	C30H33N3O5S	ATM	0.12uM	SKL.C	24h	
LINCSCP_164580	C30H33N3O5S	ATM	0.04uM	SKL.C	24h	
LINCSCP_165634	C30H33N3O5S	ATM	10uM	SKL	24h	
LINCSCP_165635	C30H33N3O5S	ATM	3.33uM	SKL	24h	
LINCSCP_165636	C30H33N3O5S	ATM	1.11uM	SKL	24h	
