SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_100138	CHEMBL3182395	MAP2K5|MAPK7	10uM	HCC515	24h	
LINCSCP_100139	CHEMBL3182395	MAP2K5|MAPK7	3.33uM	HCC515	24h	
LINCSCP_100140	CHEMBL3182395	MAP2K5|MAPK7	1.11uM	HCC515	24h	
LINCSCP_100142	CHEMBL3182395	MAP2K5|MAPK7	0.12uM	HCC515	24h	
LINCSCP_100143	CHEMBL3182395	MAP2K5|MAPK7	0.04uM	HCC515	24h	
LINCSCP_111971	CHEMBL3182395	MAP2K5|MAPK7	10uM	HEPG2	24h	
LINCSCP_111972	CHEMBL3182395	MAP2K5|MAPK7	3.33uM	HEPG2	24h	
LINCSCP_111976	CHEMBL3182395	MAP2K5|MAPK7	0.04uM	HEPG2	24h	
LINCSCP_113743	CHEMBL3182395	MAP2K5|MAPK7	10uM	HME1	24h	
LINCSCP_113744	CHEMBL3182395	MAP2K5|MAPK7	3.33uM	HME1	24h	
LINCSCP_113745	CHEMBL3182395	MAP2K5|MAPK7	1.11uM	HME1	24h	
LINCSCP_113747	CHEMBL3182395	MAP2K5|MAPK7	0.12uM	HME1	24h	
LINCSCP_113748	CHEMBL3182395	MAP2K5|MAPK7	0.04uM	HME1	24h	
LINCSCP_116929	CHEMBL3182395	MAP2K5|MAPK7	10uM	HT29	24h	
LINCSCP_116930	CHEMBL3182395	MAP2K5|MAPK7	3.33uM	HT29	24h	
LINCSCP_116931	CHEMBL3182395	MAP2K5|MAPK7	1.11uM	HT29	24h	
LINCSCP_116934	CHEMBL3182395	MAP2K5|MAPK7	0.04uM	HT29	24h	
LINCSCP_12216	CHEMBL3182395	MAP2K5|MAPK7	0.1uM	BT20	24h	1
LINCSCP_12217	CHEMBL3182395	MAP2K5|MAPK7	1uM	BT20	24h	0
LINCSCP_128058	CHEMBL3182395	MAP2K5|MAPK7	10uM	HUES3	24h	
LINCSCP_128060	CHEMBL3182395	MAP2K5|MAPK7	1.11uM	HUES3	24h	
LINCSCP_128063	CHEMBL3182395	MAP2K5|MAPK7	0.04uM	HUES3	24h	
LINCSCP_128395	CHEMBL3182395	MAP2K5|MAPK7	10uM	HUVEC	24h	
LINCSCP_129451	CHEMBL3182395	MAP2K5|MAPK7	10uM	JURKAT	24h	
LINCSCP_129452	CHEMBL3182395	MAP2K5|MAPK7	3.33uM	JURKAT	24h	
LINCSCP_129453	CHEMBL3182395	MAP2K5|MAPK7	1.11uM	JURKAT	24h	
LINCSCP_129454	CHEMBL3182395	MAP2K5|MAPK7	0.37uM	JURKAT	24h	
LINCSCP_129455	CHEMBL3182395	MAP2K5|MAPK7	0.12uM	JURKAT	24h	
LINCSCP_129456	CHEMBL3182395	MAP2K5|MAPK7	0.04uM	JURKAT	24h	
LINCSCP_133328	CHEMBL3182395	MAP2K5|MAPK7	10uM	MCF7	24h	
LINCSCP_133330	CHEMBL3182395	MAP2K5|MAPK7	1.11uM	MCF7	24h	
LINCSCP_133332	CHEMBL3182395	MAP2K5|MAPK7	0.12uM	MCF7	24h	
LINCSCP_146062	CHEMBL3182395	MAP2K5|MAPK7	10uM	MNEU.E	24h	
LINCSCP_146065	CHEMBL3182395	MAP2K5|MAPK7	0.37uM	MNEU.E	24h	
LINCSCP_146411	CHEMBL3182395	MAP2K5|MAPK7	10uM	NEU	24h	
LINCSCP_146413	CHEMBL3182395	MAP2K5|MAPK7	1.11uM	NEU	24h	
LINCSCP_146416	CHEMBL3182395	MAP2K5|MAPK7	0.04uM	NEU	24h	
LINCSCP_147452	CHEMBL3182395	MAP2K5|MAPK7	10uM	NPC.CAS9	24h	
LINCSCP_147457	CHEMBL3182395	MAP2K5|MAPK7	0.04uM	NPC.CAS9	24h	
LINCSCP_148485	CHEMBL3182395	MAP2K5|MAPK7	10uM	NPC	24h	
LINCSCP_149607	CHEMBL3182395	MAP2K5|MAPK7	10uM	NPC.TAK	24h	
LINCSCP_149608	CHEMBL3182395	MAP2K5|MAPK7	3.33uM	NPC.TAK	24h	
LINCSCP_149612	CHEMBL3182395	MAP2K5|MAPK7	0.04uM	NPC.TAK	24h	
LINCSCP_151529	CHEMBL3182395	MAP2K5|MAPK7	10uM	PC3	24h	
LINCSCP_151530	CHEMBL3182395	MAP2K5|MAPK7	3.33uM	PC3	24h	
LINCSCP_151531	CHEMBL3182395	MAP2K5|MAPK7	1.11uM	PC3	24h	
LINCSCP_164260	CHEMBL3182395	MAP2K5|MAPK7	10uM	SKL.C	24h	
LINCSCP_164261	CHEMBL3182395	MAP2K5|MAPK7	3.33uM	SKL.C	24h	
LINCSCP_164264	CHEMBL3182395	MAP2K5|MAPK7	0.12uM	SKL.C	24h	
LINCSCP_165322	CHEMBL3182395	MAP2K5|MAPK7	10uM	SKL	24h	
LINCSCP_165323	CHEMBL3182395	MAP2K5|MAPK7	3.33uM	SKL	24h	
LINCSCP_205124	CHEMBL3182395	MAP2K5|MAPK7	10uM	BT20	24h	0
LINCSCP_24816	CHEMBL3182395	MAP2K5|MAPK7	0.5uM	HS578T	24h	0
LINCSCP_24817	CHEMBL3182395	MAP2K5|MAPK7	10uM	HS578T	24h	1
LINCSCP_251865	CHEMBL3182395	MAP2K5|MAPK7	0.1uM	MCF7	24h	1
LINCSCP_251867	CHEMBL3182395	MAP2K5|MAPK7	10uM	MCF7	24h	0
LINCSCP_256277	CHEMBL3182395	MAP2K5|MAPK7	1uM	MDAMB231	6h	0
LINCSCP_285561	CHEMBL3182395	MAP2K5|MAPK7	10uM	SKBR3	6h	0
LINCSCP_311099	CHEMBL3182395	MAP2K5|MAPK7	10uM	VCAP	6h	0
LINCSCP_39468	CHEMBL3182395	MAP2K5|MAPK7	10uM	MDAMB231	24h	0
LINCSCP_39639	CHEMBL3182395	MAP2K5|MAPK7	0.5uM	MDAMB231	6h	1
LINCSCP_39640	CHEMBL3182395	MAP2K5|MAPK7	10uM	MDAMB231	6h	0
LINCSCP_52077	CHEMBL3182395	MAP2K5|MAPK7	0.1uM	SKBR3	6h	0
LINCSCP_52078	CHEMBL3182395	MAP2K5|MAPK7	0.5uM	SKBR3	6h	1
LINCSCP_64959	CHEMBL3182395	MAP2K5|MAPK7	0.5uM	VCAP	24h	0
LINCSCP_64960	CHEMBL3182395	MAP2K5|MAPK7	10uM	VCAP	24h	1
LINCSCP_64961	CHEMBL3182395	MAP2K5|MAPK7	1uM	VCAP	24h	0
LINCSCP_69744	CHEMBL3182395	MAP2K5|MAPK7	10uM	A375	24h	
LINCSCP_69745	CHEMBL3182395	MAP2K5|MAPK7	3.33uM	A375	24h	
LINCSCP_69747	CHEMBL3182395	MAP2K5|MAPK7	0.37uM	A375	24h	
LINCSCP_69748	CHEMBL3182395	MAP2K5|MAPK7	0.12uM	A375	24h	
LINCSCP_69749	CHEMBL3182395	MAP2K5|MAPK7	0.04uM	A375	24h	
LINCSCP_81793	CHEMBL3182395	MAP2K5|MAPK7	10uM	A549	24h	
LINCSCP_83039	CHEMBL3182395	MAP2K5|MAPK7	10uM	ASC.C	24h	
LINCSCP_83040	CHEMBL3182395	MAP2K5|MAPK7	3.33uM	ASC.C	24h	
LINCSCP_84104	CHEMBL3182395	MAP2K5|MAPK7	10uM	ASC	24h	
LINCSCP_84105	CHEMBL3182395	MAP2K5|MAPK7	3.33uM	ASC	24h	
LINCSCP_86584	CHEMBL3182395	MAP2K5|MAPK7	10uM	CD34	24h	
LINCSCP_86585	CHEMBL3182395	MAP2K5|MAPK7	3.33uM	CD34	24h	
LINCSCP_86586	CHEMBL3182395	MAP2K5|MAPK7	1.11uM	CD34	24h	
LINCSCP_86589	CHEMBL3182395	MAP2K5|MAPK7	0.04uM	CD34	24h	
LINCSCP_88335	CHEMBL3182395	MAP2K5|MAPK7	10uM	HA1E	24h	
LINCSCP_88336	CHEMBL3182395	MAP2K5|MAPK7	3.33uM	HA1E	24h	
LINCSCP_88338	CHEMBL3182395	MAP2K5|MAPK7	0.37uM	HA1E	24h	
LINCSCP_88339	CHEMBL3182395	MAP2K5|MAPK7	0.12uM	HA1E	24h	
LINCSCP_88340	CHEMBL3182395	MAP2K5|MAPK7	0.04uM	HA1E	24h	
