SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_10001	AC1OCDAW	TOP2A	0.04uM	A549	24h	0
LINCSCP_10002	AC1OCDAW	TOP2A	0.12uM	A549	24h	0
LINCSCP_10003	AC1OCDAW	TOP2A	0.37uM	A549	24h	0
LINCSCP_10004	AC1OCDAW	TOP2A	10uM	A549	24h	0
LINCSCP_10005	AC1OCDAW	TOP2A	1.11uM	A549	24h	0
LINCSCP_10006	AC1OCDAW	TOP2A	3.33uM	A549	24h	0
LINCSCP_109353	Valrubicin	TOP2A	10uM	HELA	24h	
LINCSCP_109354	Valrubicin	TOP2A	3.33uM	HELA	24h	
LINCSCP_109355	Valrubicin	TOP2A	1.11uM	HELA	24h	
LINCSCP_110365	Doxorubicin	TOP2A	10uM	HELA	24h	
LINCSCP_110366	Doxorubicin	TOP2A	3.33uM	HELA	24h	
LINCSCP_110367	Doxorubicin	TOP2A	1.11uM	HELA	24h	
LINCSCP_110368	Doxorubicin	TOP2A	0.37uM	HELA	24h	
LINCSCP_110369	Doxorubicin	TOP2A	0.12uM	HELA	24h	
LINCSCP_110370	Doxorubicin	TOP2A	0.04uM	HELA	24h	
LINCSCP_11151	Epirubicin	TOP2A	10uM	ASC	24h	1
LINCSCP_11212	Doxorubicin	TOP2A	10uM	ASC	24h	1
LINCSCP_11497	AC1OCDAW	TOP2A	10uM	ASC	24h	1
LINCSCP_126154	Valrubicin	TOP2A	10uM	HT29	24h	
LINCSCP_126155	Valrubicin	TOP2A	3.33uM	HT29	24h	
LINCSCP_126156	Valrubicin	TOP2A	1.11uM	HT29	24h	
LINCSCP_126157	Valrubicin	TOP2A	0.37uM	HT29	24h	
LINCSCP_127168	Doxorubicin	TOP2A	10uM	HT29	24h	
LINCSCP_127169	Doxorubicin	TOP2A	3.33uM	HT29	24h	
LINCSCP_127170	Doxorubicin	TOP2A	1.11uM	HT29	24h	
LINCSCP_127171	Doxorubicin	TOP2A	0.37uM	HT29	24h	
LINCSCP_127172	Doxorubicin	TOP2A	0.12uM	HT29	24h	
LINCSCP_127173	Doxorubicin	TOP2A	0.04uM	HT29	24h	
LINCSCP_142739	Valrubicin	TOP2A	10uM	MCF7	24h	
LINCSCP_142740	Valrubicin	TOP2A	3.33uM	MCF7	24h	
LINCSCP_142741	Valrubicin	TOP2A	1.11uM	MCF7	24h	
LINCSCP_142742	Valrubicin	TOP2A	0.37uM	MCF7	24h	
LINCSCP_142743	Valrubicin	TOP2A	0.12uM	MCF7	24h	
LINCSCP_143751	doxorubicin	TOP2A	0.12uM	MCF7	24h	
LINCSCP_143753	Doxorubicin	TOP2A	10uM	MCF7	24h	
LINCSCP_143754	Doxorubicin	TOP2A	3.33uM	MCF7	24h	
