SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_10370	GF-109203	PRKCA	10uM	A673	6h	1
LINCSCP_104027	GF-109203	PRKCA	10uM	HELA	24h	
LINCSCP_104028	GF-109203	PRKCA	3.33uM	HELA	24h	
LINCSCP_104029	GF-109203	PRKCA	1.11uM	HELA	24h	
LINCSCP_10555	GF-109203	PRKCA	10uM	AGS	6h	1
LINCSCP_120822	GF-109203	PRKCA	3.33uM	HT29	24h	
LINCSCP_120823	GF-109203	PRKCA	1.11uM	HT29	24h	
LINCSCP_120824	GF-109203	PRKCA	0.37uM	HT29	24h	
LINCSCP_12539	GF-109203	PRKCA	10uM	CL34	6h	1
LINCSCP_12627	GF-109203	PRKCA	10uM	CORL23	6h	1
LINCSCP_12817	GF-109203	PRKCA	10uM	DV90	6h	1
LINCSCP_12945	GF-109203	PRKCA	10uM	EFO27	6h	1
LINCSCP_13171	GF-109203	PRKCA	10uM	FIBRNPC	24h	1
LINCSCP_13334	GF-109203	PRKCA	10uM	FIBRNPC	6h	0
LINCSCP_13503	GF-109203	PRKCA	10uM	H1299	6h	1
LINCSCP_137400	GF-109203	PRKCA	10uM	MCF7	24h	
LINCSCP_137401	GF-109203	PRKCA	3.33uM	MCF7	24h	
LINCSCP_137402	GF-109203	PRKCA	1.11uM	MCF7	24h	
LINCSCP_137403	GF-109203	PRKCA	0.37uM	MCF7	24h	
LINCSCP_15041	GF-109203	PRKCA	10uM	HA1E	24h	0
LINCSCP_15129	GF-109203	PRKCA	10uM	HA1E	6h	0
LINCSCP_15301	GF-109203	PRKCA	10uM	HA1E	24h	0
LINCSCP_155606	GF-109203	PRKCA	10uM	PC3	24h	
LINCSCP_155607	GF-109203	PRKCA	3.33uM	PC3	24h	
LINCSCP_155608	GF-109203	PRKCA	1.11uM	PC3	24h	
LINCSCP_155610	GF-109203	PRKCA	0.12uM	PC3	24h	
LINCSCP_15583	GF-109203	PRKCA	10uM	HA1E	6h	0
LINCSCP_169206	GF-109203	PRKCA	10uM	YAPC	24h	
LINCSCP_169207	GF-109203	PRKCA	3.33uM	YAPC	24h	
LINCSCP_169209	GF-109203	PRKCA	0.37uM	YAPC	24h	
LINCSCP_169210	GF-109203	PRKCA	0.12uM	YAPC	24h	
LINCSCP_17690	GF-109203	PRKCA	10uM	HCC15	6h	1
LINCSCP_19187	GF-109203	PRKCA	10uM	HCC515	6h	0
LINCSCP_19324	GF-109203	PRKCA	10uM	HCC515	24h	0
LINCSCP_19530	GF-109203	PRKCA	10uM	HCC515	6h	0
LINCSCP_206243	GF-109203	PRKCA	10uM	COV644	6h	1
LINCSCP_21352	GF-109203	PRKCA	10uM	HEC108	6h	1
LINCSCP_21684	GF-109203	PRKCA	10uM	HEPG2	6h	0
LINCSCP_25065	GF-109203	PRKCA	10uM	HT115	6h	1
LINCSCP_25266	GF-109203	PRKCA	10uM	HT29	24h	0
LINCSCP_25352	GF-109203	PRKCA	10uM	HT29	6h	0
LINCSCP_25516	GF-109203	PRKCA	10uM	HT29	24h	0
LINCSCP_25751	GF-109203	PRKCA	10uM	HT29	6h	0
LINCSCP_288396	GF-109203	PRKCA	10uM	TYKNU	6h	1
LINCSCP_29131	GF-109203	PRKCA	10uM	JHUEM2	6h	1
LINCSCP_29333	GF-109203	PRKCA	10uM	LOVO	6h	1
LINCSCP_297	GF-109203	PRKCA	10uM	A375	24h	0
