SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_10077	Genistein	CFTR|ESR2	0.37uM	A549	24h	0
LINCSCP_10078	Genistein	CFTR|ESR2	10uM	A549	24h	1
LINCSCP_10079	Genistein	CFTR|ESR2	1.11uM	A549	24h	0
LINCSCP_10080	Genistein	CFTR|ESR2	3.33uM	A549	24h	0
LINCSCP_103344	Genistein	CFTR|ESR2	10uM	HELA	24h	
LINCSCP_103345	Genistein	CFTR|ESR2	3.33uM	HELA	24h	
LINCSCP_103346	Genistein	CFTR|ESR2	1.11uM	HELA	24h	
LINCSCP_103348	Genistein	CFTR|ESR2	0.12uM	HELA	24h	
LINCSCP_103349	Genistein	CFTR|ESR2	0.04uM	HELA	24h	
LINCSCP_120138	Genistein	CFTR|ESR2	10uM	HT29	24h	
LINCSCP_120141	Genistein	CFTR|ESR2	0.37uM	HT29	24h	
LINCSCP_120142	Genistein	CFTR|ESR2	0.12uM	HT29	24h	
LINCSCP_120143	Genistein	CFTR|ESR2	0.04uM	HT29	24h	
LINCSCP_13188	Genistein	CFTR|ESR2	10uM	FIBRNPC	24h	1
LINCSCP_13627	NSC5112	CFTR|ESR2	10uM	HA1E	24h	0
LINCSCP_136717	Genistein	CFTR|ESR2	10uM	MCF7	24h	
LINCSCP_136719	Genistein	CFTR|ESR2	1.11uM	MCF7	24h	
LINCSCP_13672	Aminogenistein	LCK	10uM	HA1E	24h	0
LINCSCP_136720	Genistein	CFTR|ESR2	0.37uM	MCF7	24h	
LINCSCP_14579	Prunetin		10uM	HA1E	6h	0
LINCSCP_154924	Genistein	CFTR|ESR2	10uM	PC3	24h	
LINCSCP_154925	Genistein	CFTR|ESR2	3.33uM	PC3	24h	
LINCSCP_168526	Genistein	CFTR|ESR2	0.37uM	YAPC	24h	
LINCSCP_17090	Genistein	CFTR|ESR2	20uM	HA1E	24h	1
LINCSCP_17464	Genistein	CFTR|ESR2	1.11uM	HA1E	24h	0
LINCSCP_187161	Genistein	CFTR|ESR2	0.04uM	A375	24h	0
LINCSCP_187163	Genistein	CFTR|ESR2	10uM	A375	24h	1
LINCSCP_187341	Genistein	CFTR|ESR2	0.04uM	A375	24h	0
LINCSCP_187344	Genistein	CFTR|ESR2	10uM	A375	24h	0
LINCSCP_192679	Aminogenistein	LCK	10uM	A549	24h	0
LINCSCP_202599	Genistein	CFTR|ESR2	0.04uM	A549	24h	0
LINCSCP_202601	Genistein	CFTR|ESR2	0.04uM	A549	24h	0
LINCSCP_204289	NSC5112	CFTR|ESR2	10uM	ASC	24h	1
LINCSCP_20975	Genistein	CFTR|ESR2	0.04uM	HCC515	24h	0
LINCSCP_20976	Genistein	CFTR|ESR2	1.11uM	HCC515	24h	0
LINCSCP_20977	Genistein	CFTR|ESR2	0.12uM	HCC515	24h	0
LINCSCP_211781	Genistein	CFTR|ESR2	10uM	HA1E	6h	0
LINCSCP_212309	Genistein	CFTR|ESR2	20uM	HA1E	24h	0
LINCSCP_213057	Genistein	CFTR|ESR2	10uM	HA1E	24h	0
LINCSCP_213244	Genistein	CFTR|ESR2	0.04uM	HA1E	24h	0
LINCSCP_213247	Genistein	CFTR|ESR2	10uM	HA1E	24h	0
LINCSCP_213252	Genistein	CFTR|ESR2	10uM	HA1E	24h	1
LINCSCP_213636	Aminogenistein	LCK	10uM	HCC515	6h	1
LINCSCP_218134	Genistein	CFTR|ESR2	3.33uM	HCC515	24h	0
LINCSCP_221803	Genistein	CFTR|ESR2	0.04uM	HEPG2	24h	0
LINCSCP_221974	Genistein	CFTR|ESR2	0.04uM	HEPG2	24h	0
LINCSCP_22844	NSC5112	CFTR|ESR2	10uM	HEPG2	6h	0
LINCSCP_22878	Aminogenistein	LCK	10uM	HEPG2	6h	1
LINCSCP_233810	Genistein	CFTR|ESR2	10uM	HT29	24h	0
LINCSCP_233815	Genistein	CFTR|ESR2	10uM	HT29	24h	1
LINCSCP_235614	Genistein	CFTR|ESR2	1uM	MCF7	24h	0
LINCSCP_235667	Genistein	CFTR|ESR2	10uM	MCF7	6h	0
LINCSCP_2363	Genistein	CFTR|ESR2	10uM	A375	6h	0
LINCSCP_23862	Genistein	CFTR|ESR2	10uM	HEPG2	24h	1
LINCSCP_24029	Genistein	CFTR|ESR2	1.11uM	HEPG2	24h	0
LINCSCP_240450	Genistein	CFTR|ESR2	10uM	MCF7	6h	0
LINCSCP_254916	Genistein	CFTR|ESR2	0.04uM	MCF7	24h	0
LINCSCP_254918	Genistein	CFTR|ESR2	0.37uM	MCF7	24h	0
LINCSCP_255071	Genistein	CFTR|ESR2	0.04uM	MCF7	24h	0
LINCSCP_255072	Genistein	CFTR|ESR2	0.12uM	MCF7	24h	0
LINCSCP_255073	Genistein	CFTR|ESR2	0.37uM	MCF7	24h	0
LINCSCP_255074	Genistein	CFTR|ESR2	1.11uM	MCF7	24h	0
LINCSCP_255075	Genistein	CFTR|ESR2	3.33uM	MCF7	24h	0
LINCSCP_255076	Genistein	CFTR|ESR2	0.04uM	MCF7	24h	0
LINCSCP_255077	Genistein	CFTR|ESR2	0.12uM	MCF7	24h	0
LINCSCP_255078	Genistein	CFTR|ESR2	0.37uM	MCF7	24h	0
LINCSCP_255080	Genistein	CFTR|ESR2	1.11uM	MCF7	24h	0
LINCSCP_255081	Genistein	CFTR|ESR2	3.33uM	MCF7	24h	0
LINCSCP_262564	Aminogenistein	LCK	10uM	NPC	24h	1
LINCSCP_263997	Genistein	CFTR|ESR2	10uM	NPC	6h	1
LINCSCP_26651	Genistein	CFTR|ESR2	10uM	HT29	6h	0
LINCSCP_280441	Genistein	CFTR|ESR2	1.11uM	PC3	24h	0
LINCSCP_281484	Genistein	CFTR|ESR2	10uM	PHH	24h	1
LINCSCP_28627	Genistein	CFTR|ESR2	0.12uM	HT29	24h	0
LINCSCP_30150	Genistein	CFTR|ESR2	0.5uM	MCF7	6h	0
LINCSCP_306314	Genistein	CFTR|ESR2	10uM	VCAP	24h	0
