SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_103715	Idebenone		10uM	HELA	24h	
LINCSCP_103716	Idebenone		3.33uM	HELA	24h	
LINCSCP_103718	Idebenone		0.37uM	HELA	24h	
LINCSCP_120510	Idebenone		3.33uM	HT29	24h	
LINCSCP_120513	Idebenone		0.12uM	HT29	24h	
LINCSCP_155295	Idebenone		10uM	PC3	24h	
LINCSCP_155296	Idebenone		3.33uM	PC3	24h	
LINCSCP_155298	Idebenone		0.37uM	PC3	24h	
LINCSCP_168895	Idebenone		10uM	YAPC	24h	
LINCSCP_168896	Idebenone		3.33uM	YAPC	24h	
LINCSCP_168898	Idebenone		0.37uM	YAPC	24h	
LINCSCP_1903	Idebenone		10uM	A375	6h	1
LINCSCP_238905	Idebenone		10uM	MCF7	24h	0
LINCSCP_239215	Idebenone		10uM	MCF7	6h	0
LINCSCP_243986	Idebenone		10uM	MCF7	24h	0
LINCSCP_244242	Idebenone		10uM	MCF7	6h	1
LINCSCP_269994	Idebenone		10uM	PC3	6h	0
LINCSCP_273012	Idebenone		10uM	PC3	6h	1
LINCSCP_46089	Idebenone		10uM	PC3	24h	0
LINCSCP_5738	Idebenone		10uM	A549	24h	0
LINCSCP_58136	Idebenone		10uM	VCAP	24h	0
LINCSCP_58258	Idebenone		10uM	VCAP	6h	1
LINCSCP_73569	Idebenone		10uM	A375	24h	
LINCSCP_73570	Idebenone		3.33uM	A375	24h	
LINCSCP_73572	Idebenone		0.37uM	A375	24h	
LINCSCP_73573	Idebenone		0.12uM	A375	24h	
LINCSCP_91906	Idebenone		10uM	HA1E	24h	
LINCSCP_91907	Idebenone		3.33uM	HA1E	24h	
LINCSCP_91908	Idebenone		1.11uM	HA1E	24h	
