SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_1004	MK-2206	AKT1|AKT2|AKT3	10uM	A375	6h	0
LINCSCP_10409	MK-2206	AKT1|AKT2|AKT3	10uM	A673	6h	1
LINCSCP_10610	MK-2206	AKT1|AKT2|AKT3	10uM	AGS	6h	1
LINCSCP_109041	MK-2206	AKT1|AKT2|AKT3	10uM	HELA	24h	
LINCSCP_109042	MK-2206	AKT1|AKT2|AKT3	3.33uM	HELA	24h	
LINCSCP_109043	MK-2206	AKT1|AKT2|AKT3	1.11uM	HELA	24h	
LINCSCP_109044	MK-2206	AKT1|AKT2|AKT3	0.37uM	HELA	24h	
LINCSCP_109045	MK-2206	AKT1|AKT2|AKT3	0.12uM	HELA	24h	
LINCSCP_109046	MK-2206	AKT1|AKT2|AKT3	0.04uM	HELA	24h	
LINCSCP_111649	MK-2206	AKT1|AKT2|AKT3	10uM	HEPG2	24h	
LINCSCP_111650	MK-2206	AKT1|AKT2|AKT3	3.33uM	HEPG2	24h	
LINCSCP_111652	MK-2206	AKT1|AKT2|AKT3	0.37uM	HEPG2	24h	
LINCSCP_111654	MK-2206	AKT1|AKT2|AKT3	0.04uM	HEPG2	24h	
LINCSCP_113069	MK-2206	AKT1|AKT2|AKT3	10uM	HME1	24h	
LINCSCP_113070	MK-2206	AKT1|AKT2|AKT3	3.33uM	HME1	24h	
LINCSCP_113071	MK-2206	AKT1|AKT2|AKT3	1.11uM	HME1	24h	
LINCSCP_113072	MK-2206	AKT1|AKT2|AKT3	0.37uM	HME1	24h	
LINCSCP_113073	MK-2206	AKT1|AKT2|AKT3	0.12uM	HME1	24h	
LINCSCP_113074	MK-2206	AKT1|AKT2|AKT3	0.04uM	HME1	24h	
LINCSCP_113421	MK-2206	AKT1|AKT2|AKT3	10uM	HME1	3h	
LINCSCP_113422	MK-2206	AKT1|AKT2|AKT3	3.33uM	HME1	3h	
LINCSCP_113423	MK-2206	AKT1|AKT2|AKT3	1.11uM	HME1	3h	
LINCSCP_113424	MK-2206	AKT1|AKT2|AKT3	0.37uM	HME1	3h	
LINCSCP_113425	MK-2206	AKT1|AKT2|AKT3	0.12uM	HME1	3h	
LINCSCP_113426	MK-2206	AKT1|AKT2|AKT3	0.04uM	HME1	3h	
LINCSCP_115548	MK-2206	AKT1|AKT2|AKT3	10uM	HS578T	24h	
LINCSCP_115549	MK-2206	AKT1|AKT2|AKT3	3.33uM	HS578T	24h	
LINCSCP_115550	MK-2206	AKT1|AKT2|AKT3	1.11uM	HS578T	24h	
LINCSCP_115551	MK-2206	AKT1|AKT2|AKT3	0.37uM	HS578T	24h	
LINCSCP_115552	MK-2206	AKT1|AKT2|AKT3	0.12uM	HS578T	24h	
LINCSCP_115900	MK-2206	AKT1|AKT2|AKT3	10uM	HS578T	3h	
LINCSCP_115901	MK-2206	AKT1|AKT2|AKT3	3.33uM	HS578T	3h	
LINCSCP_115902	MK-2206	AKT1|AKT2|AKT3	1.11uM	HS578T	3h	
LINCSCP_115904	MK-2206	AKT1|AKT2|AKT3	0.12uM	HS578T	3h	
LINCSCP_115905	MK-2206	AKT1|AKT2|AKT3	0.04uM	HS578T	3h	
LINCSCP_116607	MK-2206	AKT1|AKT2|AKT3	10uM	HT29	24h	
LINCSCP_116608	MK-2206	AKT1|AKT2|AKT3	3.33uM	HT29	24h	
LINCSCP_116609	MK-2206	AKT1|AKT2|AKT3	1.11uM	HT29	24h	
LINCSCP_116610	MK-2206	AKT1|AKT2|AKT3	0.37uM	HT29	24h	
LINCSCP_116612	MK-2206	AKT1|AKT2|AKT3	0.04uM	HT29	24h	
LINCSCP_11774	MK-2206	AKT1|AKT2|AKT3	10uM	BT20	24h	1
LINCSCP_11775	MK-2206	AKT1|AKT2|AKT3	1uM	BT20	24h	0
LINCSCP_12002	MK-2206	AKT1|AKT2|AKT3	10uM	BT20	6h	0
LINCSCP_12003	MK-2206	AKT1|AKT2|AKT3	1uM	BT20	6h	0
LINCSCP_12557	MK-2206	AKT1|AKT2|AKT3	10uM	CL34	6h	1
LINCSCP_125842	MK-2206	AKT1|AKT2|AKT3	10uM	HT29	24h	
LINCSCP_125843	MK-2206	AKT1|AKT2|AKT3	3.33uM	HT29	24h	
LINCSCP_125844	MK-2206	AKT1|AKT2|AKT3	1.11uM	HT29	24h	
LINCSCP_125845	MK-2206	AKT1|AKT2|AKT3	0.37uM	HT29	24h	
LINCSCP_125846	MK-2206	AKT1|AKT2|AKT3	0.12uM	HT29	24h	
LINCSCP_125847	MK-2206	AKT1|AKT2|AKT3	0.04uM	HT29	24h	
LINCSCP_12647	MK-2206	AKT1|AKT2|AKT3	10uM	CORL23	6h	1
LINCSCP_12850	MK-2206	AKT1|AKT2|AKT3	10uM	DV90	6h	1
LINCSCP_12973	MK-2206	AKT1|AKT2|AKT3	10uM	EFO27	6h	1
LINCSCP_129829	MK-2206	AKT1|AKT2|AKT3	10uM	LNCAP	24h	
LINCSCP_129830	MK-2206	AKT1|AKT2|AKT3	3.33uM	LNCAP	24h	
LINCSCP_129831	MK-2206	AKT1|AKT2|AKT3	1.11uM	LNCAP	24h	
LINCSCP_129832	MK-2206	AKT1|AKT2|AKT3	0.37uM	LNCAP	24h	
LINCSCP_129833	MK-2206	AKT1|AKT2|AKT3	0.12uM	LNCAP	24h	
LINCSCP_129834	MK-2206	AKT1|AKT2|AKT3	0.04uM	LNCAP	24h	
LINCSCP_130182	MK-2206	AKT1|AKT2|AKT3	10uM	LNCAP	3h	
LINCSCP_130183	MK-2206	AKT1|AKT2|AKT3	3.33uM	LNCAP	3h	
LINCSCP_130184	MK-2206	AKT1|AKT2|AKT3	1.11uM	LNCAP	3h	
LINCSCP_130185	MK-2206	AKT1|AKT2|AKT3	0.37uM	LNCAP	3h	
LINCSCP_130186	MK-2206	AKT1|AKT2|AKT3	0.12uM	LNCAP	3h	
LINCSCP_130187	MK-2206	AKT1|AKT2|AKT3	0.04uM	LNCAP	3h	
LINCSCP_131242	MK-2206	AKT1|AKT2|AKT3	10uM	MCF10A	24h	
LINCSCP_131243	MK-2206	AKT1|AKT2|AKT3	3.33uM	MCF10A	24h	
LINCSCP_131244	MK-2206	AKT1|AKT2|AKT3	1.11uM	MCF10A	24h	
LINCSCP_131245	MK-2206	AKT1|AKT2|AKT3	0.37uM	MCF10A	24h	
LINCSCP_131246	MK-2206	AKT1|AKT2|AKT3	0.12uM	MCF10A	24h	
LINCSCP_131247	MK-2206	AKT1|AKT2|AKT3	0.04uM	MCF10A	24h	
LINCSCP_131592	MK-2206	AKT1|AKT2|AKT3	10uM	MCF10A	3h	
LINCSCP_131593	MK-2206	AKT1|AKT2|AKT3	3.33uM	MCF10A	3h	
LINCSCP_131594	MK-2206	AKT1|AKT2|AKT3	1.11uM	MCF10A	3h	
LINCSCP_131595	MK-2206	AKT1|AKT2|AKT3	0.37uM	MCF10A	3h	
LINCSCP_131596	MK-2206	AKT1|AKT2|AKT3	0.12uM	MCF10A	3h	
LINCSCP_131597	MK-2206	AKT1|AKT2|AKT3	0.04uM	MCF10A	3h	
LINCSCP_132653	MK-2206	AKT1|AKT2|AKT3	10uM	MCF7	24h	
LINCSCP_132654	MK-2206	AKT1|AKT2|AKT3	3.33uM	MCF7	24h	
LINCSCP_132655	MK-2206	AKT1|AKT2|AKT3	1.11uM	MCF7	24h	
LINCSCP_132656	MK-2206	AKT1|AKT2|AKT3	0.37uM	MCF7	24h	
LINCSCP_132658	MK-2206	AKT1|AKT2|AKT3	0.04uM	MCF7	24h	
LINCSCP_133007	MK-2206	AKT1|AKT2|AKT3	10uM	MCF7	3h	
LINCSCP_133010	MK-2206	AKT1|AKT2|AKT3	0.37uM	MCF7	3h	
LINCSCP_13556	MK-2206	AKT1|AKT2|AKT3	10uM	H1299	6h	1
LINCSCP_142427	MK-2206	AKT1|AKT2|AKT3	10uM	MCF7	24h	
LINCSCP_142428	MK-2206	AKT1|AKT2|AKT3	3.33uM	MCF7	24h	
LINCSCP_142429	MK-2206	AKT1|AKT2|AKT3	1.11uM	MCF7	24h	
LINCSCP_142430	MK-2206	AKT1|AKT2|AKT3	0.37uM	MCF7	24h	
LINCSCP_142431	MK-2206	AKT1|AKT2|AKT3	0.12uM	MCF7	24h	
LINCSCP_142432	MK-2206	AKT1|AKT2|AKT3	0.04uM	MCF7	24h	
LINCSCP_145388	MK-2206	AKT1|AKT2|AKT3	10uM	MDAMB231	24h	
LINCSCP_145389	MK-2206	AKT1|AKT2|AKT3	3.33uM	MDAMB231	24h	
LINCSCP_145390	MK-2206	AKT1|AKT2|AKT3	1.11uM	MDAMB231	24h	
LINCSCP_145741	MK-2206	AKT1|AKT2|AKT3	10uM	MDAMB231	3h	
LINCSCP_145744	MK-2206	AKT1|AKT2|AKT3	0.37uM	MDAMB231	3h	
LINCSCP_145745	MK-2206	AKT1|AKT2|AKT3	0.12uM	MDAMB231	3h	
LINCSCP_145746	MK-2206	AKT1|AKT2|AKT3	0.04uM	MDAMB231	3h	
LINCSCP_151207	MK-2206	AKT1|AKT2|AKT3	10uM	PC3	24h	
LINCSCP_151208	MK-2206	AKT1|AKT2|AKT3	3.33uM	PC3	24h	
LINCSCP_151209	MK-2206	AKT1|AKT2|AKT3	1.11uM	PC3	24h	
LINCSCP_151210	MK-2206	AKT1|AKT2|AKT3	0.37uM	PC3	24h	
LINCSCP_151211	MK-2206	AKT1|AKT2|AKT3	0.12uM	PC3	24h	
LINCSCP_151212	MK-2206	AKT1|AKT2|AKT3	0.04uM	PC3	24h	
LINCSCP_15386	MK-2206	AKT1|AKT2|AKT3	10uM	HA1E	24h	1
LINCSCP_15633	MK-2206	AKT1|AKT2|AKT3	10uM	HA1E	6h	0
LINCSCP_160628	MK-2206	AKT1|AKT2|AKT3	10uM	PC3	24h	
LINCSCP_160629	MK-2206	AKT1|AKT2|AKT3	3.33uM	PC3	24h	
LINCSCP_160630	MK-2206	AKT1|AKT2|AKT3	1.11uM	PC3	24h	
LINCSCP_163588	MK-2206	AKT1|AKT2|AKT3	10uM	SKBR3	24h	
LINCSCP_163589	MK-2206	AKT1|AKT2|AKT3	3.33uM	SKBR3	24h	
LINCSCP_163590	MK-2206	AKT1|AKT2|AKT3	1.11uM	SKBR3	24h	
LINCSCP_163591	MK-2206	AKT1|AKT2|AKT3	0.37uM	SKBR3	24h	
LINCSCP_163593	MK-2206	AKT1|AKT2|AKT3	0.04uM	SKBR3	24h	
LINCSCP_163940	MK-2206	AKT1|AKT2|AKT3	10uM	SKBR3	3h	
LINCSCP_163941	MK-2206	AKT1|AKT2|AKT3	3.33uM	SKBR3	3h	
LINCSCP_163942	MK-2206	AKT1|AKT2|AKT3	1.11uM	SKBR3	3h	
LINCSCP_174221	MK-2206	AKT1|AKT2|AKT3	10uM	YAPC	24h	
LINCSCP_174222	MK-2206	AKT1|AKT2|AKT3	3.33uM	YAPC	24h	
LINCSCP_174223	MK-2206	AKT1|AKT2|AKT3	1.11uM	YAPC	24h	
LINCSCP_174224	MK-2206	AKT1|AKT2|AKT3	0.37uM	YAPC	24h	
LINCSCP_17764	MK-2206	AKT1|AKT2|AKT3	10uM	HCC15	6h	1
LINCSCP_19380	MK-2206	AKT1|AKT2|AKT3	10uM	HCC515	24h	1
LINCSCP_21242	MK-2206	AKT1|AKT2|AKT3	10uM	HCT116	6h	1
LINCSCP_21738	MK-2206	AKT1|AKT2|AKT3	10uM	HEPG2	6h	0
LINCSCP_234918	MK-2206	AKT1|AKT2|AKT3	1uM	MCF10A	24h	0
LINCSCP_235058	MK-2206	AKT1|AKT2|AKT3	0.1uM	MCF10A	6h	0
LINCSCP_24362	MK-2206	AKT1|AKT2|AKT3	0.1uM	HS578T	24h	0
LINCSCP_24363	MK-2206	AKT1|AKT2|AKT3	10uM	HS578T	24h	0
LINCSCP_24364	MK-2206	AKT1|AKT2|AKT3	1uM	HS578T	24h	0
LINCSCP_24575	MK-2206	AKT1|AKT2|AKT3	10uM	HS578T	6h	0
LINCSCP_24576	MK-2206	AKT1|AKT2|AKT3	1uM	HS578T	6h	1
LINCSCP_25097	MK-2206	AKT1|AKT2|AKT3	10uM	HT115	6h	1
LINCSCP_25583	MK-2206	AKT1|AKT2|AKT3	10uM	HT29	24h	1
