SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_100974	MLS006011051	BRAF	10uM	HCC515	24h	
LINCSCP_100975	MLS006011051	BRAF	3.33uM	HCC515	24h	
LINCSCP_100976	MLS006011051	BRAF	1.11uM	HCC515	24h	
LINCSCP_100977	MLS006011051	BRAF	0.37uM	HCC515	24h	
LINCSCP_100978	MLS006011051	BRAF	0.12uM	HCC515	24h	
LINCSCP_100979	MLS006011051	BRAF	0.04uM	HCC515	24h	
LINCSCP_112806	MLS006011051	BRAF	10uM	HEPG2	24h	
LINCSCP_112807	MLS006011051	BRAF	3.33uM	HEPG2	24h	
LINCSCP_112808	MLS006011051	BRAF	1.11uM	HEPG2	24h	
LINCSCP_112809	MLS006011051	BRAF	0.37uM	HEPG2	24h	
LINCSCP_112810	MLS006011051	BRAF	0.12uM	HEPG2	24h	
LINCSCP_112811	MLS006011051	BRAF	0.04uM	HEPG2	24h	
LINCSCP_114577	MLS006011051	BRAF	10uM	HME1	24h	
LINCSCP_114580	MLS006011051	BRAF	0.37uM	HME1	24h	
LINCSCP_114582	MLS006011051	BRAF	0.04uM	HME1	24h	
LINCSCP_117765	MLS006011051	BRAF	10uM	HT29	24h	
LINCSCP_117766	MLS006011051	BRAF	3.33uM	HT29	24h	
LINCSCP_117767	MLS006011051	BRAF	1.11uM	HT29	24h	
LINCSCP_12198	MLS006011051	BRAF	0.1uM	BT20	24h	0
LINCSCP_12199	MLS006011051	BRAF	0.5uM	BT20	24h	1
LINCSCP_12200	MLS006011051	BRAF	1uM	BT20	24h	0
LINCSCP_129221	MLS006011051	BRAF	10uM	HUVEC	24h	
LINCSCP_129222	MLS006011051	BRAF	3.33uM	HUVEC	24h	
LINCSCP_129223	MLS006011051	BRAF	1.11uM	HUVEC	24h	
LINCSCP_129224	MLS006011051	BRAF	0.37uM	HUVEC	24h	
LINCSCP_129225	MLS006011051	BRAF	0.12uM	HUVEC	24h	
LINCSCP_129226	MLS006011051	BRAF	0.04uM	HUVEC	24h	
LINCSCP_134163	MLS006011051	BRAF	10uM	MCF7	24h	
LINCSCP_134164	MLS006011051	BRAF	3.33uM	MCF7	24h	
LINCSCP_134165	MLS006011051	BRAF	1.11uM	MCF7	24h	
LINCSCP_134166	MLS006011051	BRAF	0.37uM	MCF7	24h	
LINCSCP_134167	MLS006011051	BRAF	0.12uM	MCF7	24h	
LINCSCP_147226	MLS006011051	BRAF	10uM	NEU	24h	
LINCSCP_147227	MLS006011051	BRAF	3.33uM	NEU	24h	
LINCSCP_147229	MLS006011051	BRAF	0.37uM	NEU	24h	
LINCSCP_147231	MLS006011051	BRAF	0.04uM	NEU	24h	
LINCSCP_148259	MLS006011051	BRAF	10uM	NPC.CAS9	24h	
LINCSCP_148264	MLS006011051	BRAF	0.04uM	NPC.CAS9	24h	
LINCSCP_149289	MLS006011051	BRAF	10uM	NPC	24h	
LINCSCP_149290	MLS006011051	BRAF	3.33uM	NPC	24h	
LINCSCP_149291	MLS006011051	BRAF	1.11uM	NPC	24h	
LINCSCP_149293	MLS006011051	BRAF	0.12uM	NPC	24h	
LINCSCP_150411	MLS006011051	BRAF	10uM	NPC.TAK	24h	
LINCSCP_150412	MLS006011051	BRAF	3.33uM	NPC.TAK	24h	
LINCSCP_150413	MLS006011051	BRAF	1.11uM	NPC.TAK	24h	
LINCSCP_150415	MLS006011051	BRAF	0.12uM	NPC.TAK	24h	
LINCSCP_152365	MLS006011051	BRAF	10uM	PC3	24h	
LINCSCP_152366	MLS006011051	BRAF	3.33uM	PC3	24h	
LINCSCP_152367	MLS006011051	BRAF	1.11uM	PC3	24h	
LINCSCP_152368	MLS006011051	BRAF	0.37uM	PC3	24h	
