SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_100083	Mitoxantrone	TOP2A	10uM	HCC515	24h	
LINCSCP_100441	Mitoxantrone	TOP2A	10uM	HCC515	24h	
LINCSCP_100793	Mitoxantrone	TOP2A	10uM	HCC515	24h	
LINCSCP_103112	Mitoxantrone	TOP2A	3.33uM	HELA	24h	
LINCSCP_103113	Mitoxantrone	TOP2A	1.11uM	HELA	24h	
LINCSCP_103114	Mitoxantrone	TOP2A	0.37uM	HELA	24h	
LINCSCP_103115	Mitoxantrone	TOP2A	0.12uM	HELA	24h	
LINCSCP_103116	Mitoxantrone	TOP2A	0.04uM	HELA	24h	
LINCSCP_111241	Mitoxantrone	TOP2A	10uM	HEPG2	24h	
LINCSCP_111242	Mitoxantrone	TOP2A	3.33uM	HEPG2	24h	
LINCSCP_111243	Mitoxantrone	TOP2A	1.11uM	HEPG2	24h	
LINCSCP_111244	Mitoxantrone	TOP2A	0.37uM	HEPG2	24h	
LINCSCP_111245	Mitoxantrone	TOP2A	0.12uM	HEPG2	24h	
LINCSCP_111595	Mitoxantrone	TOP2A	10uM	HEPG2	24h	
LINCSCP_111596	Mitoxantrone	TOP2A	3.33uM	HEPG2	24h	
LINCSCP_111597	Mitoxantrone	TOP2A	1.11uM	HEPG2	24h	
LINCSCP_111598	Mitoxantrone	TOP2A	0.37uM	HEPG2	24h	
LINCSCP_111599	Mitoxantrone	TOP2A	0.12uM	HEPG2	24h	
LINCSCP_111600	Mitoxantrone	TOP2A	0.04uM	HEPG2	24h	
LINCSCP_111916	Mitoxantrone	TOP2A	10uM	HEPG2	24h	
LINCSCP_112274	Mitoxantrone	TOP2A	10uM	HEPG2	24h	
LINCSCP_112626	Mitoxantrone	TOP2A	10uM	HEPG2	24h	
LINCSCP_113015	Mitoxantrone	TOP2A	10uM	HME1	24h	
LINCSCP_113016	Mitoxantrone	TOP2A	3.33uM	HME1	24h	
LINCSCP_113017	Mitoxantrone	TOP2A	1.11uM	HME1	24h	
LINCSCP_113018	Mitoxantrone	TOP2A	0.37uM	HME1	24h	
LINCSCP_113019	Mitoxantrone	TOP2A	0.12uM	HME1	24h	
LINCSCP_113367	Mitoxantrone	TOP2A	10uM	HME1	3h	
LINCSCP_113368	Mitoxantrone	TOP2A	3.33uM	HME1	3h	
LINCSCP_113369	Mitoxantrone	TOP2A	1.11uM	HME1	3h	
LINCSCP_113370	Mitoxantrone	TOP2A	0.37uM	HME1	3h	
LINCSCP_113371	Mitoxantrone	TOP2A	0.12uM	HME1	3h	
LINCSCP_113372	Mitoxantrone	TOP2A	0.04uM	HME1	3h	
LINCSCP_113688	Mitoxantrone	TOP2A	10uM	HME1	24h	
LINCSCP_114046	Mitoxantrone	TOP2A	10uM	HME1	24h	
LINCSCP_114397	Mitoxantrone	TOP2A	10uM	HME1	24h	
LINCSCP_114788	Mitoxantrone	TOP2A	3.33uM	HS578T	24h	
LINCSCP_114789	Mitoxantrone	TOP2A	1.11uM	HS578T	24h	
LINCSCP_114790	Mitoxantrone	TOP2A	0.37uM	HS578T	24h	
LINCSCP_114791	Mitoxantrone	TOP2A	0.12uM	HS578T	24h	
LINCSCP_114792	Mitoxantrone	TOP2A	0.04uM	HS578T	24h	
LINCSCP_115140	Mitoxantrone	TOP2A	10uM	HS578T	3h	
LINCSCP_115141	Mitoxantrone	TOP2A	3.33uM	HS578T	3h	
LINCSCP_115142	Mitoxantrone	TOP2A	1.11uM	HS578T	3h	
LINCSCP_115143	Mitoxantrone	TOP2A	0.37uM	HS578T	3h	
LINCSCP_115144	Mitoxantrone	TOP2A	0.12uM	HS578T	3h	
LINCSCP_115145	Mitoxantrone	TOP2A	0.04uM	HS578T	3h	
LINCSCP_115494	Mitoxantrone	TOP2A	10uM	HS578T	24h	
LINCSCP_115495	Mitoxantrone	TOP2A	3.33uM	HS578T	24h	
LINCSCP_115496	Mitoxantrone	TOP2A	1.11uM	HS578T	24h	
LINCSCP_115497	Mitoxantrone	TOP2A	0.37uM	HS578T	24h	
LINCSCP_115498	Mitoxantrone	TOP2A	0.12uM	HS578T	24h	
LINCSCP_115499	Mitoxantrone	TOP2A	0.04uM	HS578T	24h	
LINCSCP_115846	Mitoxantrone	TOP2A	10uM	HS578T	3h	
LINCSCP_115847	Mitoxantrone	TOP2A	3.33uM	HS578T	3h	
LINCSCP_115848	Mitoxantrone	TOP2A	1.11uM	HS578T	3h	
LINCSCP_115849	Mitoxantrone	TOP2A	0.37uM	HS578T	3h	
LINCSCP_115851	Mitoxantrone	TOP2A	0.04uM	HS578T	3h	
LINCSCP_116199	Mitoxantrone	TOP2A	10uM	HT29	24h	
LINCSCP_116200	Mitoxantrone	TOP2A	3.33uM	HT29	24h	
LINCSCP_116201	Mitoxantrone	TOP2A	1.11uM	HT29	24h	
LINCSCP_116202	Mitoxantrone	TOP2A	0.37uM	HT29	24h	
LINCSCP_116203	Mitoxantrone	TOP2A	0.12uM	HT29	24h	
LINCSCP_116204	Mitoxantrone	TOP2A	0.04uM	HT29	24h	
LINCSCP_116553	Mitoxantrone	TOP2A	10uM	HT29	24h	
LINCSCP_116554	Mitoxantrone	TOP2A	3.33uM	HT29	24h	
LINCSCP_116555	Mitoxantrone	TOP2A	1.11uM	HT29	24h	
LINCSCP_116556	Mitoxantrone	TOP2A	0.37uM	HT29	24h	
LINCSCP_116557	Mitoxantrone	TOP2A	0.12uM	HT29	24h	
LINCSCP_116558	Mitoxantrone	TOP2A	0.04uM	HT29	24h	
LINCSCP_116874	Mitoxantrone	TOP2A	10uM	HT29	24h	
LINCSCP_117232	Mitoxantrone	TOP2A	10uM	HT29	24h	
LINCSCP_117584	Mitoxantrone	TOP2A	10uM	HT29	24h	
LINCSCP_119905	Mitoxantrone	TOP2A	10uM	HT29	24h	
LINCSCP_119906	Mitoxantrone	TOP2A	3.33uM	HT29	24h	
LINCSCP_119907	Mitoxantrone	TOP2A	1.11uM	HT29	24h	
LINCSCP_119909	Mitoxantrone	TOP2A	0.12uM	HT29	24h	
LINCSCP_129041	Mitoxantrone	TOP2A	10uM	HUVEC	24h	
LINCSCP_129398	Mitoxantrone	TOP2A	10uM	JURKAT	24h	
LINCSCP_129775	Mitoxantrone	TOP2A	10uM	LNCAP	24h	
LINCSCP_129776	Mitoxantrone	TOP2A	3.33uM	LNCAP	24h	
LINCSCP_129777	Mitoxantrone	TOP2A	1.11uM	LNCAP	24h	
LINCSCP_129778	Mitoxantrone	TOP2A	0.37uM	LNCAP	24h	
LINCSCP_129780	Mitoxantrone	TOP2A	0.04uM	LNCAP	24h	
LINCSCP_130129	Mitoxantrone	TOP2A	3.33uM	LNCAP	3h	
LINCSCP_130130	Mitoxantrone	TOP2A	1.11uM	LNCAP	3h	
LINCSCP_130131	Mitoxantrone	TOP2A	0.37uM	LNCAP	3h	
LINCSCP_130482	Mitoxantrone	TOP2A	10uM	MCF10A	24h	
LINCSCP_130483	Mitoxantrone	TOP2A	3.33uM	MCF10A	24h	
LINCSCP_130484	Mitoxantrone	TOP2A	1.11uM	MCF10A	24h	
LINCSCP_130485	Mitoxantrone	TOP2A	0.37uM	MCF10A	24h	
LINCSCP_130486	Mitoxantrone	TOP2A	0.12uM	MCF10A	24h	
LINCSCP_130487	Mitoxantrone	TOP2A	0.04uM	MCF10A	24h	
LINCSCP_130835	Mitoxantrone	TOP2A	10uM	MCF10A	3h	
LINCSCP_130836	Mitoxantrone	TOP2A	3.33uM	MCF10A	3h	
LINCSCP_130837	Mitoxantrone	TOP2A	1.11uM	MCF10A	3h	
LINCSCP_130840	Mitoxantrone	TOP2A	0.04uM	MCF10A	3h	
LINCSCP_131188	Mitoxantrone	TOP2A	10uM	MCF10A	24h	
LINCSCP_131189	Mitoxantrone	TOP2A	3.33uM	MCF10A	24h	
LINCSCP_131190	Mitoxantrone	TOP2A	1.11uM	MCF10A	24h	
LINCSCP_131191	Mitoxantrone	TOP2A	0.37uM	MCF10A	24h	
LINCSCP_131192	Mitoxantrone	TOP2A	0.12uM	MCF10A	24h	
LINCSCP_131193	Mitoxantrone	TOP2A	0.04uM	MCF10A	24h	
LINCSCP_131538	Mitoxantrone	TOP2A	10uM	MCF10A	3h	
LINCSCP_131539	Mitoxantrone	TOP2A	3.33uM	MCF10A	3h	
LINCSCP_131540	Mitoxantrone	TOP2A	1.11uM	MCF10A	3h	
LINCSCP_131541	Mitoxantrone	TOP2A	0.37uM	MCF10A	3h	
LINCSCP_131542	Mitoxantrone	TOP2A	0.12uM	MCF10A	3h	
LINCSCP_131543	Mitoxantrone	TOP2A	0.04uM	MCF10A	3h	
LINCSCP_131892	Mitoxantrone	TOP2A	10uM	MCF7	24h	
LINCSCP_131893	Mitoxantrone	TOP2A	3.33uM	MCF7	24h	
LINCSCP_131894	Mitoxantrone	TOP2A	1.11uM	MCF7	24h	
LINCSCP_131895	Mitoxantrone	TOP2A	0.37uM	MCF7	24h	
LINCSCP_131896	Mitoxantrone	TOP2A	0.12uM	MCF7	24h	
LINCSCP_131897	Mitoxantrone	TOP2A	0.04uM	MCF7	24h	
LINCSCP_132246	Mitoxantrone	TOP2A	10uM	MCF7	3h	
LINCSCP_132247	Mitoxantrone	TOP2A	3.33uM	MCF7	3h	
LINCSCP_132248	Mitoxantrone	TOP2A	1.11uM	MCF7	3h	
LINCSCP_132599	Mitoxantrone	TOP2A	10uM	MCF7	24h	
LINCSCP_132600	Mitoxantrone	TOP2A	3.33uM	MCF7	24h	
LINCSCP_132601	Mitoxantrone	TOP2A	1.11uM	MCF7	24h	
LINCSCP_132602	Mitoxantrone	TOP2A	0.37uM	MCF7	24h	
LINCSCP_132603	Mitoxantrone	TOP2A	0.12uM	MCF7	24h	
LINCSCP_132604	Mitoxantrone	TOP2A	0.04uM	MCF7	24h	
LINCSCP_132953	Mitoxantrone	TOP2A	10uM	MCF7	3h	
LINCSCP_132954	Mitoxantrone	TOP2A	3.33uM	MCF7	3h	
LINCSCP_132955	Mitoxantrone	TOP2A	1.11uM	MCF7	3h	
LINCSCP_132956	Mitoxantrone	TOP2A	0.37uM	MCF7	3h	
