SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_102281	Perhexiline	CPT1A|CPT2	3.33uM	HELA	24h	
LINCSCP_102284	Perhexiline	CPT1A|CPT2	0.12uM	HELA	24h	
LINCSCP_10291	Perhexiline	CPT1A|CPT2	10uM	A673	6h	1
LINCSCP_119072	Perhexiline	CPT1A|CPT2	10uM	HT29	24h	
LINCSCP_12500	Perhexiline	CPT1A|CPT2	10uM	CL34	6h	1
LINCSCP_12676	Perhexiline	CPT1A|CPT2	10uM	COV644	6h	1
LINCSCP_12755	Perhexiline	CPT1A|CPT2	10uM	DV90	6h	1
LINCSCP_12889	Perhexiline	CPT1A|CPT2	10uM	EFO27	6h	1
LINCSCP_13415	Perhexiline	CPT1A|CPT2	10uM	H1299	6h	1
LINCSCP_135650	Perhexiline	CPT1A|CPT2	10uM	MCF7	24h	
LINCSCP_15171	Perhexiline	CPT1A|CPT2	10uM	HA1E	24h	1
LINCSCP_153858	Perhexiline	CPT1A|CPT2	10uM	PC3	24h	
LINCSCP_153859	Perhexiline	CPT1A|CPT2	3.33uM	PC3	24h	
LINCSCP_153863	Perhexiline	CPT1A|CPT2	0.04uM	PC3	24h	
LINCSCP_15481	Perhexiline	CPT1A|CPT2	10uM	HA1E	6h	0
LINCSCP_167456	Perhexiline	CPT1A|CPT2	10uM	YAPC	24h	
LINCSCP_167457	Perhexiline	CPT1A|CPT2	3.33uM	YAPC	24h	
LINCSCP_17555	Perhexiline	CPT1A|CPT2	10uM	HCC15	6h	1
LINCSCP_188091	Perhexiline	CPT1A|CPT2	10uM	A549	6h	0
LINCSCP_19213	Perhexiline	CPT1A|CPT2	10uM	HCC515	24h	1
LINCSCP_19454	Perhexiline	CPT1A|CPT2	10uM	HCC515	6h	0
LINCSCP_201068	Perhexiline	CPT1A|CPT2	0.001uM	A549	24h	0
LINCSCP_201069	Perhexiline	CPT1A|CPT2	0.001uM	A549	24h	0
LINCSCP_201070	Perhexiline	CPT1A|CPT2	0.01uM	A549	24h	0
LINCSCP_201071	Perhexiline	CPT1A|CPT2	0.01uM	A549	24h	0
LINCSCP_201212	Perhexiline	CPT1A|CPT2	10uM	A549	6h	0
LINCSCP_21288	Perhexiline	CPT1A|CPT2	10uM	HEC108	6h	1
LINCSCP_21587	Perhexiline	CPT1A|CPT2	10uM	HEPG2	6h	0
LINCSCP_236603	Perhexiline	CPT1A|CPT2	10uM	MCF7	6h	0
LINCSCP_243341	Perhexiline	CPT1A|CPT2	10uM	MCF7	24h	0
LINCSCP_243611	Perhexiline	CPT1A|CPT2	10uM	MCF7	6h	0
LINCSCP_25003	Perhexiline	CPT1A|CPT2	10uM	HT115	6h	1
LINCSCP_250406	Perhexiline	CPT1A|CPT2	0.001uM	MCF7	24h	0
LINCSCP_250407	Perhexiline	CPT1A|CPT2	0.001uM	MCF7	24h	0
LINCSCP_250408	Perhexiline	CPT1A|CPT2	0.01uM	MCF7	24h	0
LINCSCP_250410	Perhexiline	CPT1A|CPT2	0.1uM	MCF7	24h	0
LINCSCP_250411	Perhexiline	CPT1A|CPT2	0.5uM	MCF7	24h	0
LINCSCP_250412	Perhexiline	CPT1A|CPT2	10uM	MCF7	24h	1
LINCSCP_250562	Perhexiline	CPT1A|CPT2	0.001uM	MCF7	6h	0
LINCSCP_250563	Perhexiline	CPT1A|CPT2	0.01uM	MCF7	6h	0
LINCSCP_250565	Perhexiline	CPT1A|CPT2	10uM	MCF7	6h	0
LINCSCP_25395	Perhexiline	CPT1A|CPT2	10uM	HT29	24h	1
LINCSCP_25669	Perhexiline	CPT1A|CPT2	10uM	HT29	6h	0
LINCSCP_267248	Perhexiline	CPT1A|CPT2	10uM	PC3	24h	1
LINCSCP_272403	Perhexiline	CPT1A|CPT2	10uM	PC3	24h	0
LINCSCP_29085	Perhexiline	CPT1A|CPT2	10uM	JHUEM2	6h	1
LINCSCP_29260	Perhexiline	CPT1A|CPT2	10uM	LOVO	6h	1
LINCSCP_30411	Perhexiline	CPT1A|CPT2	10uM	MCF7	24h	0
LINCSCP_35624	Perhexiline	CPT1A|CPT2	1uM	MCF7	24h	0
LINCSCP_35755	Perhexiline	CPT1A|CPT2	0.01uM	MCF7	6h	0
LINCSCP_35756	Perhexiline	CPT1A|CPT2	0.1uM	MCF7	6h	0
LINCSCP_40003	Perhexiline	CPT1A|CPT2	10uM	NCIH2073	6h	1
LINCSCP_40268	Perhexiline	CPT1A|CPT2	10uM	NCIH596	6h	1
LINCSCP_43697	Perhexiline	CPT1A|CPT2	10uM	OV7	6h	1
LINCSCP_45077	Perhexiline	CPT1A|CPT2	10uM	PC3	6h	0
LINCSCP_50532	Perhexiline	CPT1A|CPT2	10uM	PL21	6h	1
LINCSCP_50703	Perhexiline	CPT1A|CPT2	10uM	RKO	6h	1
LINCSCP_50885	Perhexiline	CPT1A|CPT2	10uM	RMGI	6h	1
LINCSCP_51038	Perhexiline	CPT1A|CPT2	10uM	RMUGS	6h	1
LINCSCP_53084	Perhexiline	CPT1A|CPT2	10uM	SKM1	6h	1
LINCSCP_53396	Perhexiline	CPT1A|CPT2	10uM	SKMEL28	6h	1
LINCSCP_53525	Perhexiline	CPT1A|CPT2	10uM	SNGM	6h	1
LINCSCP_53638	Perhexiline	CPT1A|CPT2	10uM	SNU1040	6h	1
LINCSCP_53745	Perhexiline	CPT1A|CPT2	10uM	SNUC4	6h	1
LINCSCP_53860	Perhexiline	CPT1A|CPT2	10uM	SNUC5	6h	1
LINCSCP_54072	Perhexiline	CPT1A|CPT2	10uM	SW620	6h	1
LINCSCP_54406	Perhexiline	CPT1A|CPT2	10uM	SW948	6h	1
LINCSCP_54711	Perhexiline	CPT1A|CPT2	10uM	T3M10	6h	1
LINCSCP_54832	Perhexiline	CPT1A|CPT2	10uM	THP1	6h	1
LINCSCP_55406	Perhexiline	CPT1A|CPT2	10uM	U937	6h	1
LINCSCP_56772	Perhexiline	CPT1A|CPT2	10uM	VCAP	24h	1
LINCSCP_569	Perhexiline	CPT1A|CPT2	10uM	A375	24h	1
LINCSCP_56992	Perhexiline	CPT1A|CPT2	10uM	VCAP	6h	0
LINCSCP_66201	Perhexiline	CPT1A|CPT2	10uM	WSUDLCL2	6h	1
LINCSCP_72155	Perhexiline	CPT1A|CPT2	3.33uM	A375	24h	
LINCSCP_72156	Perhexiline	CPT1A|CPT2	1.11uM	A375	24h	
LINCSCP_72157	Perhexiline	CPT1A|CPT2	0.37uM	A375	24h	
LINCSCP_72158	Perhexiline	CPT1A|CPT2	0.12uM	A375	24h	
LINCSCP_872	Perhexiline	CPT1A|CPT2	10uM	A375	6h	0
LINCSCP_90472	Perhexiline	CPT1A|CPT2	3.33uM	HA1E	24h	
LINCSCP_90473	Perhexiline	CPT1A|CPT2	1.11uM	HA1E	24h	
LINCSCP_90474	Perhexiline	CPT1A|CPT2	0.37uM	HA1E	24h	
LINCSCP_90475	Perhexiline	CPT1A|CPT2	0.12uM	HA1E	24h	
LINCSCP_90476	Perhexiline	CPT1A|CPT2	0.04uM	HA1E	24h	
LINCSCP_9131	Perhexiline	CPT1A|CPT2	0.1uM	A549	24h	0
LINCSCP_9132	Perhexiline	CPT1A|CPT2	10uM	A549	24h	1
LINCSCP_9133	Perhexiline	CPT1A|CPT2	3uM	A549	24h	0
LINCSCP_9280	Perhexiline	CPT1A|CPT2	3uM	A549	6h	0
