SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_100348	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	10uM	HCC515	24h	
LINCSCP_100350	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	1.11uM	HCC515	24h	
LINCSCP_100351	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	0.37uM	HCC515	24h	
LINCSCP_100352	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	0.12uM	HCC515	24h	
LINCSCP_110953	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	10uM	HELA	24h	
LINCSCP_110954	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	3.33uM	HELA	24h	
LINCSCP_110955	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	1.11uM	HELA	24h	
LINCSCP_110957	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	0.12uM	HELA	24h	
LINCSCP_112181	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	10uM	HEPG2	24h	
LINCSCP_112182	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	3.33uM	HEPG2	24h	
LINCSCP_112183	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	1.11uM	HEPG2	24h	
LINCSCP_112184	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	0.37uM	HEPG2	24h	
LINCSCP_112185	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	0.12uM	HEPG2	24h	
LINCSCP_112186	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	0.04uM	HEPG2	24h	
LINCSCP_113953	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	10uM	HME1	24h	
LINCSCP_113954	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	3.33uM	HME1	24h	
LINCSCP_113955	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	1.11uM	HME1	24h	
LINCSCP_113956	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	0.37uM	HME1	24h	
LINCSCP_117139	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	10uM	HT29	24h	
LINCSCP_117142	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	0.37uM	HT29	24h	
LINCSCP_117143	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	0.12uM	HT29	24h	
LINCSCP_117144	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	0.04uM	HT29	24h	
LINCSCP_11837	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	0.1uM	BT20	24h	0
LINCSCP_11838	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	10uM	BT20	24h	1
LINCSCP_11839	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	1uM	BT20	24h	0
LINCSCP_12066	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	10uM	BT20	6h	0
LINCSCP_127756	Quizartinib	CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET	10uM	HT29	24h	
