SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_105410	Rottlerin		0.04uM	HELA	24h	
LINCSCP_11512	Rottlerin		10uM	ASC	24h	1
LINCSCP_11561	AC1L1JM9		10uM	ASC	24h	1
LINCSCP_122200	Rottlerin		10uM	HT29	24h	
LINCSCP_122201	Rottlerin		3.33uM	HT29	24h	
LINCSCP_122203	Rottlerin		0.37uM	HT29	24h	
LINCSCP_123	AC1L1JM9		10uM	A375	6h	0
LINCSCP_12782	Rottlerin		10uM	DV90	6h	1
LINCSCP_12914	Rottlerin		10uM	EFO27	6h	1
LINCSCP_13136	Rottlerin		10uM	FIBRNPC	24h	1
LINCSCP_13303	Rottlerin		10uM	FIBRNPC	6h	0
LINCSCP_1365	Rottlerin		10uM	A375	24h	0
LINCSCP_13670	Rottlerin		10uM	HA1E	24h	1
LINCSCP_13859	Rottlerin		10uM	HA1E	6h	0
LINCSCP_138780	Rottlerin		10uM	MCF7	24h	
LINCSCP_138781	Rottlerin		3.33uM	MCF7	24h	
LINCSCP_138784	Rottlerin		0.12uM	MCF7	24h	
LINCSCP_138785	Rottlerin		0.04uM	MCF7	24h	
LINCSCP_14725	AC1L1JM9		10uM	HA1E	24h	0
LINCSCP_15237	Rottlerin		10uM	HA1E	24h	0
LINCSCP_15529	Rottlerin		10uM	HA1E	6h	0
LINCSCP_156984	Rottlerin		10uM	PC3	24h	
LINCSCP_156985	Rottlerin		3.33uM	PC3	24h	
LINCSCP_156986	Rottlerin		1.11uM	PC3	24h	
LINCSCP_156987	Rottlerin		0.37uM	PC3	24h	
LINCSCP_170586	Rottlerin		10uM	YAPC	24h	
LINCSCP_170587	Rottlerin		3.33uM	YAPC	24h	
LINCSCP_170588	Rottlerin		1.11uM	YAPC	24h	
LINCSCP_170589	Rottlerin		0.37uM	YAPC	24h	
LINCSCP_170590	Rottlerin		0.12uM	YAPC	24h	
LINCSCP_17625	Rottlerin		10uM	HCC15	6h	1
LINCSCP_17904	Rottlerin		10uM	HCC515	24h	1
LINCSCP_187989	Rottlerin		10uM	A549	24h	0
LINCSCP_18902	AC1L1JM9		10uM	HCC515	24h	0
LINCSCP_19095	AC1L1JM9		10uM	HCC515	6h	0
LINCSCP_19274	Rottlerin		10uM	HCC515	24h	0
LINCSCP_193085	Rottlerin		10uM	A549	24h	1
LINCSCP_21161	Rottlerin		10uM	HCT116	6h	1
LINCSCP_213633	Rottlerin		10uM	HCC515	6h	0
LINCSCP_215453	Rottlerin		10uM	HCC515	6h	0
LINCSCP_21630	Rottlerin		10uM	HEPG2	6h	0
LINCSCP_219176	AC1L1JM9		10uM	HEPG2	6h	0
LINCSCP_221223	AC1L1JM9		10uM	HEPG2	6h	0
LINCSCP_23019	Rottlerin		10uM	HEPG2	6h	0
LINCSCP_236545	Rottlerin		10uM	MCF7	24h	0
LINCSCP_237277	Rottlerin		10uM	MCF7	24h	0
LINCSCP_241991	Rottlerin		10uM	MCF7	24h	1
LINCSCP_25455	Rottlerin		10uM	HT29	24h	1
LINCSCP_264816	Rottlerin		10uM	PC3	6h	0
LINCSCP_267389	Rottlerin		10uM	PC3	6h	0
LINCSCP_268322	Rottlerin		10uM	PC3	6h	0
LINCSCP_27059	Rottlerin		10uM	HT29	6h	0
LINCSCP_27115	AC1L1JM9		10uM	HT29	6h	0
LINCSCP_282919	Rottlerin		10uM	RKO	6h	1
LINCSCP_2847	Rottlerin		10uM	A375	6h	0
LINCSCP_289421	Rottlerin		10uM	VCAP	6h	0
LINCSCP_291702	Rottlerin		10uM	VCAP	6h	0
LINCSCP_292256	Rottlerin		10uM	VCAP	24h	0
LINCSCP_30209	AC1L1JM9		10uM	MCF7	6h	0
LINCSCP_30737	Rottlerin		10uM	MCF7	6h	0
LINCSCP_33629	AC1L1JM9		10uM	MCF7	24h	0
LINCSCP_33706	Rottlerin		10uM	MCF7	6h	0
