SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_101052	SGX-523	MET	10uM	HCC515	24h	
LINCSCP_101053	SGX-523	MET	3.33uM	HCC515	24h	
LINCSCP_101054	SGX-523	MET	1.11uM	HCC515	24h	
LINCSCP_101055	SGX-523	MET	0.37uM	HCC515	24h	
LINCSCP_101056	SGX-523	MET	0.12uM	HCC515	24h	
LINCSCP_102999	SGX-523	MET	3.33uM	HELA	24h	
LINCSCP_103001	SGX-523	MET	0.37uM	HELA	24h	
LINCSCP_103003	SGX-523	MET	0.04uM	HELA	24h	
LINCSCP_112884	SGX-523	MET	10uM	HEPG2	24h	
LINCSCP_112885	SGX-523	MET	3.33uM	HEPG2	24h	
LINCSCP_112886	SGX-523	MET	1.11uM	HEPG2	24h	
LINCSCP_112887	SGX-523	MET	0.37uM	HEPG2	24h	
LINCSCP_112888	SGX-523	MET	0.12uM	HEPG2	24h	
LINCSCP_112889	SGX-523	MET	0.04uM	HEPG2	24h	
LINCSCP_117843	SGX-523	MET	10uM	HT29	24h	
LINCSCP_117845	SGX-523	MET	1.11uM	HT29	24h	
LINCSCP_117847	SGX-523	MET	0.12uM	HT29	24h	
LINCSCP_117848	SGX-523	MET	0.04uM	HT29	24h	
LINCSCP_119793	SGX-523	MET	3.33uM	HT29	24h	
LINCSCP_119796	SGX-523	MET	0.12uM	HT29	24h	
LINCSCP_134242	SGX-523	MET	3.33uM	MCF7	24h	
LINCSCP_134243	SGX-523	MET	1.11uM	MCF7	24h	
LINCSCP_134244	SGX-523	MET	0.37uM	MCF7	24h	
LINCSCP_134245	SGX-523	MET	0.12uM	MCF7	24h	
LINCSCP_134246	SGX-523	MET	0.04uM	MCF7	24h	
LINCSCP_136373	SGX-523	MET	0.37uM	MCF7	24h	
LINCSCP_147306	SGX-523	MET	1.11uM	NEU	24h	
LINCSCP_147307	SGX-523	MET	0.37uM	NEU	24h	
LINCSCP_148336	SGX-523	MET	10uM	NPC.CAS9	24h	
LINCSCP_149368	SGX-523	MET	3.33uM	NPC	24h	
LINCSCP_152444	SGX-523	MET	3.33uM	PC3	24h	
LINCSCP_152445	SGX-523	MET	1.11uM	PC3	24h	
LINCSCP_152446	SGX-523	MET	0.37uM	PC3	24h	
LINCSCP_152447	SGX-523	MET	0.12uM	PC3	24h	
LINCSCP_152448	SGX-523	MET	0.04uM	PC3	24h	
LINCSCP_165173	SGX-523	MET	0.04uM	SKL.C	24h	
LINCSCP_166232	SGX-523	MET	0.12uM	SKL	24h	
LINCSCP_168180	SGX-523	MET	0.12uM	YAPC	24h	
LINCSCP_168181	SGX-523	MET	0.04uM	YAPC	24h	
LINCSCP_222803	SGX-523	MET	0.5uM	HS578T	6h	0
LINCSCP_222804	SGX-523	MET	10uM	HS578T	6h	0
LINCSCP_222805	SGX-523	MET	1uM	HS578T	6h	1
LINCSCP_235452	SGX-523	MET	0.1uM	MCF10A	6h	1
LINCSCP_24711	SGX-523	MET	0.1uM	HS578T	24h	0
LINCSCP_24712	SGX-523	MET	10uM	HS578T	24h	0
LINCSCP_251741	SGX-523	MET	10uM	MCF7	24h	0
LINCSCP_256005	SGX-523	MET	1uM	MDAMB231	24h	0
LINCSCP_285482	SGX-523	MET	1uM	SKBR3	6h	1
LINCSCP_29984	SGX-523	MET	1uM	MCF10A	6h	0
LINCSCP_36895	SGX-523	MET	0.1uM	MCF7	6h	0
LINCSCP_36896	SGX-523	MET	0.5uM	MCF7	6h	0
LINCSCP_36897	SGX-523	MET	10uM	MCF7	6h	1
LINCSCP_39378	SGX-523	MET	0.1uM	MDAMB231	24h	0
LINCSCP_39379	SGX-523	MET	0.5uM	MDAMB231	24h	1
LINCSCP_39380	SGX-523	MET	10uM	MDAMB231	24h	0
LINCSCP_39549	SGX-523	MET	10uM	MDAMB231	6h	0
LINCSCP_39550	SGX-523	MET	1uM	MDAMB231	6h	0
LINCSCP_51827	SGX-523	MET	1uM	SKBR3	24h	0
LINCSCP_51981	SGX-523	MET	10uM	SKBR3	6h	0
LINCSCP_70656	SGX-523	MET	10uM	A375	24h	
LINCSCP_70657	SGX-523	MET	3.33uM	A375	24h	
LINCSCP_70660	SGX-523	MET	0.12uM	A375	24h	
LINCSCP_72869	SGX-523	MET	10uM	A375	24h	
LINCSCP_83950	SGX-523	MET	10uM	ASC.C	24h	
LINCSCP_83951	SGX-523	MET	3.33uM	ASC.C	24h	
LINCSCP_85018	SGX-523	MET	0.12uM	ASC	24h	
LINCSCP_85019	SGX-523	MET	0.04uM	ASC	24h	
LINCSCP_87480	SGX-523	MET	3.33uM	CD34	24h	
LINCSCP_87483	SGX-523	MET	0.12uM	CD34	24h	
LINCSCP_89245	SGX-523	MET	1.11uM	HA1E	24h	
LINCSCP_89247	SGX-523	MET	0.12uM	HA1E	24h	
LINCSCP_91193	SGX-523	MET	0.37uM	HA1E	24h	
