SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_105040	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	HELA	24h	
LINCSCP_105042	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	1.11uM	HELA	24h	
LINCSCP_105043	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.37uM	HELA	24h	
LINCSCP_111385	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	HEPG2	24h	
LINCSCP_111386	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	3.33uM	HEPG2	24h	
LINCSCP_111387	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	1.11uM	HEPG2	24h	
LINCSCP_111388	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.37uM	HEPG2	24h	
LINCSCP_114931	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	HS578T	24h	
LINCSCP_114934	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.37uM	HS578T	24h	
LINCSCP_114935	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.12uM	HS578T	24h	
LINCSCP_114936	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.04uM	HS578T	24h	
LINCSCP_115284	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	HS578T	3h	
LINCSCP_115285	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	3.33uM	HS578T	3h	
LINCSCP_115288	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.12uM	HS578T	3h	
LINCSCP_116343	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	HT29	24h	
LINCSCP_116344	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	3.33uM	HT29	24h	
LINCSCP_116346	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.37uM	HT29	24h	
LINCSCP_116347	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.12uM	HT29	24h	
LINCSCP_116348	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.04uM	HT29	24h	
LINCSCP_11644	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	BT20	24h	1
LINCSCP_11895	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	BT20	6h	0
LINCSCP_11896	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	1uM	BT20	6h	0
LINCSCP_121835	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	HT29	24h	
LINCSCP_121838	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.37uM	HT29	24h	
LINCSCP_130625	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	MCF10A	24h	
LINCSCP_130626	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	3.33uM	MCF10A	24h	
LINCSCP_130627	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	1.11uM	MCF10A	24h	
LINCSCP_130628	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.37uM	MCF10A	24h	
LINCSCP_130629	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.12uM	MCF10A	24h	
LINCSCP_130979	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	MCF10A	3h	
LINCSCP_130982	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.37uM	MCF10A	3h	
LINCSCP_130983	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.12uM	MCF10A	3h	
LINCSCP_130984	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.04uM	MCF10A	3h	
LINCSCP_132036	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	MCF7	24h	
LINCSCP_132037	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	3.33uM	MCF7	24h	
LINCSCP_132038	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	1.11uM	MCF7	24h	
LINCSCP_132039	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.37uM	MCF7	24h	
LINCSCP_132040	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.12uM	MCF7	24h	
LINCSCP_132390	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	MCF7	3h	
LINCSCP_132391	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	3.33uM	MCF7	3h	
LINCSCP_132392	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	1.11uM	MCF7	3h	
LINCSCP_132394	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.12uM	MCF7	3h	
LINCSCP_138414	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	MCF7	24h	
LINCSCP_138418	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.12uM	MCF7	24h	
LINCSCP_138419	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.04uM	MCF7	24h	
LINCSCP_14016	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	HA1E	24h	0
LINCSCP_14211	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	HA1E	6h	1
LINCSCP_144772	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	3.33uM	MDAMB231	24h	
LINCSCP_144773	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	1.11uM	MDAMB231	24h	
LINCSCP_144774	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.37uM	MDAMB231	24h	
LINCSCP_144776	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.04uM	MDAMB231	24h	
LINCSCP_145125	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	MDAMB231	3h	
LINCSCP_145127	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	1.11uM	MDAMB231	3h	
LINCSCP_145128	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.37uM	MDAMB231	3h	
LINCSCP_145129	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.12uM	MDAMB231	3h	
LINCSCP_145130	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.04uM	MDAMB231	3h	
LINCSCP_150943	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	PC3	24h	
LINCSCP_150944	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	3.33uM	PC3	24h	
LINCSCP_150945	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	1.11uM	PC3	24h	
LINCSCP_156618	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	PC3	24h	
LINCSCP_156619	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	3.33uM	PC3	24h	
LINCSCP_156621	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.37uM	PC3	24h	
LINCSCP_162972	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	SKBR3	24h	
LINCSCP_162974	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	1.11uM	SKBR3	24h	
LINCSCP_162975	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.37uM	SKBR3	24h	
LINCSCP_162976	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.12uM	SKBR3	24h	
LINCSCP_162977	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.04uM	SKBR3	24h	
LINCSCP_163326	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	3.33uM	SKBR3	3h	
LINCSCP_170220	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	YAPC	24h	
LINCSCP_170223	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.37uM	YAPC	24h	
LINCSCP_18196	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	HCC515	24h	0
LINCSCP_18382	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	HCC515	6h	1
LINCSCP_22886	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	10uM	HEPG2	6h	1
LINCSCP_234979	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.1uM	MCF10A	6h	0
LINCSCP_24249	Seliciclib	CDK1|CDK2|CDK5|CDK7|CDK9	0.1uM	HS578T	24h	0
