SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_100082	Sirolimus	FKBP1A|MTOR	10uM	HCC515	24h	
LINCSCP_100440	Sirolimus	FKBP1A|MTOR	10uM	HCC515	24h	
LINCSCP_100792	Sirolimus	FKBP1A|MTOR	10uM	HCC515	24h	
LINCSCP_10268	Sirolimus	FKBP1A|MTOR	0.001uM	A549	6h	0
LINCSCP_10269	Sirolimus	FKBP1A|MTOR	0.001uM	A549	6h	0
LINCSCP_10270	Sirolimus	FKBP1A|MTOR	0.01uM	A549	6h	1
LINCSCP_10271	Sirolimus	FKBP1A|MTOR	0.01uM	A549	6h	0
LINCSCP_10272	Sirolimus	FKBP1A|MTOR	0.1uM	A549	6h	0
LINCSCP_10273	Sirolimus	FKBP1A|MTOR	10uM	A549	6h	0
LINCSCP_10274	Sirolimus	FKBP1A|MTOR	1uM	A549	6h	0
LINCSCP_10275	Sirolimus	FKBP1A|MTOR	3uM	A549	6h	0
LINCSCP_10305	SCHEMBL6851809	MTOR	10uM	A673	6h	1
LINCSCP_10309	Sirolimus	FKBP1A|MTOR	10uM	A673	6h	1
LINCSCP_103296	"Temsirolimus (CCI-779, NSC 683864)"	MTOR	10uM	HELA	24h	
LINCSCP_103297	"Temsirolimus (CCI-779, NSC 683864)"	MTOR	3.33uM	HELA	24h	
LINCSCP_103298	"Temsirolimus (CCI-779, NSC 683864)"	MTOR	1.11uM	HELA	24h	
LINCSCP_103299	"Temsirolimus (CCI-779, NSC 683864)"	MTOR	0.37uM	HELA	24h	
LINCSCP_103300	"Temsirolimus (CCI-779, NSC 683864)"	MTOR	0.12uM	HELA	24h	
LINCSCP_103301	"Temsirolimus (CCI-779, NSC 683864)"	MTOR	0.04uM	HELA	24h	
LINCSCP_10482	SCHEMBL6851809	MTOR	10uM	AGS	6h	1
LINCSCP_10489	Sirolimus	FKBP1A|MTOR	10uM	AGS	6h	1
LINCSCP_10806	Sirolimus	FKBP1A|MTOR	10uM	ASC	24h	1
LINCSCP_108395	SCHEMBL6851809	MTOR	10uM	HELA	24h	
LINCSCP_108396	SCHEMBL6851809	MTOR	3.33uM	HELA	24h	
LINCSCP_108397	SCHEMBL6851809	MTOR	1.11uM	HELA	24h	
LINCSCP_108398	SCHEMBL6851809	MTOR	0.37uM	HELA	24h	
LINCSCP_108399	SCHEMBL6851809	MTOR	0.12uM	HELA	24h	
LINCSCP_108400	SCHEMBL6851809	MTOR	0.04uM	HELA	24h	
LINCSCP_109743	Sirolimus	FKBP1A|MTOR	10uM	HELA	24h	
LINCSCP_109744	Sirolimus	FKBP1A|MTOR	3.33uM	HELA	24h	
LINCSCP_109745	Sirolimus	FKBP1A|MTOR	1.11uM	HELA	24h	
LINCSCP_109746	Sirolimus	FKBP1A|MTOR	0.37uM	HELA	24h	
LINCSCP_109747	Sirolimus	FKBP1A|MTOR	0.12uM	HELA	24h	
LINCSCP_109748	Sirolimus	FKBP1A|MTOR	0.04uM	HELA	24h	
LINCSCP_11085	Sirolimus	FKBP1A|MTOR	10uM	ASC	24h	1
LINCSCP_111793	Sirolimus	FKBP1A|MTOR	10uM	HEPG2	24h	
LINCSCP_111794	Sirolimus	FKBP1A|MTOR	3.33uM	HEPG2	24h	
LINCSCP_111795	Sirolimus	FKBP1A|MTOR	1.11uM	HEPG2	24h	
LINCSCP_111796	Sirolimus	FKBP1A|MTOR	0.37uM	HEPG2	24h	
LINCSCP_111797	Sirolimus	FKBP1A|MTOR	0.12uM	HEPG2	24h	
LINCSCP_111798	Sirolimus	FKBP1A|MTOR	0.04uM	HEPG2	24h	
LINCSCP_111915	Sirolimus	FKBP1A|MTOR	10uM	HEPG2	24h	
LINCSCP_112273	Sirolimus	FKBP1A|MTOR	10uM	HEPG2	24h	
LINCSCP_112625	Sirolimus	FKBP1A|MTOR	10uM	HEPG2	24h	
LINCSCP_113212	Sirolimus	FKBP1A|MTOR	10uM	HME1	24h	
LINCSCP_113213	Sirolimus	FKBP1A|MTOR	3.33uM	HME1	24h	
LINCSCP_113214	Sirolimus	FKBP1A|MTOR	1.11uM	HME1	24h	
LINCSCP_113215	Sirolimus	FKBP1A|MTOR	0.37uM	HME1	24h	
LINCSCP_113216	Sirolimus	FKBP1A|MTOR	0.12uM	HME1	24h	
LINCSCP_113217	Sirolimus	FKBP1A|MTOR	0.04uM	HME1	24h	
LINCSCP_113565	Sirolimus	FKBP1A|MTOR	10uM	HME1	3h	
LINCSCP_113567	Sirolimus	FKBP1A|MTOR	1.11uM	HME1	3h	
LINCSCP_113568	Sirolimus	FKBP1A|MTOR	0.37uM	HME1	3h	
LINCSCP_113569	Sirolimus	FKBP1A|MTOR	0.12uM	HME1	3h	
LINCSCP_113570	Sirolimus	FKBP1A|MTOR	0.04uM	HME1	3h	
LINCSCP_113687	Sirolimus	FKBP1A|MTOR	10uM	HME1	24h	
LINCSCP_114045	Sirolimus	FKBP1A|MTOR	10uM	HME1	24h	
LINCSCP_114396	Sirolimus	FKBP1A|MTOR	10uM	HME1	24h	
LINCSCP_11503	Sirolimus	FKBP1A|MTOR	10uM	ASC	24h	1
LINCSCP_115690	Sirolimus	FKBP1A|MTOR	10uM	HS578T	24h	
LINCSCP_115691	Sirolimus	FKBP1A|MTOR	3.33uM	HS578T	24h	
LINCSCP_115692	Sirolimus	FKBP1A|MTOR	1.11uM	HS578T	24h	
LINCSCP_115693	Sirolimus	FKBP1A|MTOR	0.37uM	HS578T	24h	
LINCSCP_115694	Sirolimus	FKBP1A|MTOR	0.12uM	HS578T	24h	
LINCSCP_115695	Sirolimus	FKBP1A|MTOR	0.04uM	HS578T	24h	
LINCSCP_116045	Sirolimus	FKBP1A|MTOR	3.33uM	HS578T	3h	
LINCSCP_116046	Sirolimus	FKBP1A|MTOR	1.11uM	HS578T	3h	
