SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_10984	Withaferin-A	IKBKB|NAMPT	10uM	ASC	24h	1
LINCSCP_111325	Withaferin A	IKBKB|NAMPT	10uM	HEPG2	24h	
LINCSCP_111326	Withaferin A	IKBKB|NAMPT	3.33uM	HEPG2	24h	
LINCSCP_111327	Withaferin A	IKBKB|NAMPT	1.11uM	HEPG2	24h	
LINCSCP_111328	Withaferin A	IKBKB|NAMPT	0.37uM	HEPG2	24h	
LINCSCP_111330	Withaferin A	IKBKB|NAMPT	0.04uM	HEPG2	24h	
LINCSCP_111679	Withaferin A	IKBKB|NAMPT	10uM	HEPG2	24h	
LINCSCP_111680	Withaferin A	IKBKB|NAMPT	3.33uM	HEPG2	24h	
LINCSCP_111681	Withaferin A	IKBKB|NAMPT	1.11uM	HEPG2	24h	
LINCSCP_111682	Withaferin A	IKBKB|NAMPT	0.37uM	HEPG2	24h	
LINCSCP_111684	Withaferin A	IKBKB|NAMPT	0.04uM	HEPG2	24h	
LINCSCP_113098	Withaferin A	IKBKB|NAMPT	10uM	HME1	24h	
LINCSCP_113099	Withaferin A	IKBKB|NAMPT	3.33uM	HME1	24h	
LINCSCP_113100	Withaferin A	IKBKB|NAMPT	1.11uM	HME1	24h	
LINCSCP_113101	Withaferin A	IKBKB|NAMPT	0.37uM	HME1	24h	
LINCSCP_113102	Withaferin A	IKBKB|NAMPT	0.12uM	HME1	24h	
LINCSCP_113103	Withaferin A	IKBKB|NAMPT	0.04uM	HME1	24h	
LINCSCP_113451	Withaferin A	IKBKB|NAMPT	10uM	HME1	3h	
LINCSCP_113452	Withaferin A	IKBKB|NAMPT	3.33uM	HME1	3h	
LINCSCP_113453	Withaferin A	IKBKB|NAMPT	1.11uM	HME1	3h	
LINCSCP_113454	Withaferin A	IKBKB|NAMPT	0.37uM	HME1	3h	
LINCSCP_113455	Withaferin A	IKBKB|NAMPT	0.12uM	HME1	3h	
LINCSCP_113456	Withaferin A	IKBKB|NAMPT	0.04uM	HME1	3h	
LINCSCP_114871	Withaferin A	IKBKB|NAMPT	10uM	HS578T	24h	
LINCSCP_114872	Withaferin A	IKBKB|NAMPT	3.33uM	HS578T	24h	
LINCSCP_114873	Withaferin A	IKBKB|NAMPT	1.11uM	HS578T	24h	
LINCSCP_114874	Withaferin A	IKBKB|NAMPT	0.37uM	HS578T	24h	
LINCSCP_114875	Withaferin A	IKBKB|NAMPT	0.12uM	HS578T	24h	
LINCSCP_115224	Withaferin A	IKBKB|NAMPT	10uM	HS578T	3h	
LINCSCP_115227	Withaferin A	IKBKB|NAMPT	0.37uM	HS578T	3h	
LINCSCP_115578	Withaferin A	IKBKB|NAMPT	10uM	HS578T	24h	
LINCSCP_115579	Withaferin A	IKBKB|NAMPT	3.33uM	HS578T	24h	
LINCSCP_115580	Withaferin A	IKBKB|NAMPT	1.11uM	HS578T	24h	
LINCSCP_115581	Withaferin A	IKBKB|NAMPT	0.37uM	HS578T	24h	
LINCSCP_115582	Withaferin A	IKBKB|NAMPT	0.12uM	HS578T	24h	
LINCSCP_115583	Withaferin A	IKBKB|NAMPT	0.04uM	HS578T	24h	
LINCSCP_115930	Withaferin A	IKBKB|NAMPT	10uM	HS578T	3h	
LINCSCP_115932	Withaferin A	IKBKB|NAMPT	1.11uM	HS578T	3h	
LINCSCP_115934	Withaferin A	IKBKB|NAMPT	0.12uM	HS578T	3h	
LINCSCP_116283	Withaferin A	IKBKB|NAMPT	10uM	HT29	24h	
LINCSCP_116284	Withaferin A	IKBKB|NAMPT	3.33uM	HT29	24h	
LINCSCP_116285	Withaferin A	IKBKB|NAMPT	1.11uM	HT29	24h	
LINCSCP_116286	Withaferin A	IKBKB|NAMPT	0.37uM	HT29	24h	
LINCSCP_116287	Withaferin A	IKBKB|NAMPT	0.12uM	HT29	24h	
LINCSCP_116288	Withaferin A	IKBKB|NAMPT	0.04uM	HT29	24h	
LINCSCP_116637	Withaferin A	IKBKB|NAMPT	10uM	HT29	24h	
LINCSCP_116638	Withaferin A	IKBKB|NAMPT	3.33uM	HT29	24h	
LINCSCP_116639	Withaferin A	IKBKB|NAMPT	1.11uM	HT29	24h	
LINCSCP_116640	Withaferin A	IKBKB|NAMPT	0.37uM	HT29	24h	
LINCSCP_116641	Withaferin A	IKBKB|NAMPT	0.12uM	HT29	24h	
LINCSCP_116642	Withaferin A	IKBKB|NAMPT	0.04uM	HT29	24h	
LINCSCP_129859	Withaferin A	IKBKB|NAMPT	10uM	LNCAP	24h	
LINCSCP_129860	Withaferin A	IKBKB|NAMPT	3.33uM	LNCAP	24h	
LINCSCP_129861	Withaferin A	IKBKB|NAMPT	1.11uM	LNCAP	24h	
LINCSCP_129864	Withaferin A	IKBKB|NAMPT	0.04uM	LNCAP	24h	
LINCSCP_130212	Withaferin A	IKBKB|NAMPT	10uM	LNCAP	3h	
LINCSCP_130213	Withaferin A	IKBKB|NAMPT	3.33uM	LNCAP	3h	
LINCSCP_130214	Withaferin A	IKBKB|NAMPT	1.11uM	LNCAP	3h	
LINCSCP_130215	Withaferin A	IKBKB|NAMPT	0.37uM	LNCAP	3h	
LINCSCP_130565	Withaferin A	IKBKB|NAMPT	10uM	MCF10A	24h	
LINCSCP_130566	Withaferin A	IKBKB|NAMPT	3.33uM	MCF10A	24h	
LINCSCP_130567	Withaferin A	IKBKB|NAMPT	1.11uM	MCF10A	24h	
LINCSCP_130568	Withaferin A	IKBKB|NAMPT	0.37uM	MCF10A	24h	
