compound,azt,nib,quine,vir,similarity,meansim,nas
Azithromycin,1,0.3907,0.3852,0.5214,-0.6301,0.574325,0
BCPP000194,0.8125,0.3218,0.5858,0.49,-0.5336,0.5525249999999999,0
WZ3105,0.798,0.4329,0.6992,0.5818,-0.4772,0.6279750000000001,0
SCHEMBL14379041,0.7243,0.4625,0.7347,0.6869,-0.6988,0.6521,0
Tebipenem Pivoxil,0.7006,NA,0.4523,0.4089,-0.6206,0.5206,1
BRD-K84023371,0.6874,NA,0.6345,0.482,-0.4958,0.6013,1
AZD-8055,0.6842,0.4777,0.7235,0.6374,-0.5081,0.6307,0
Azacitidine,0.6741,0.5278,0.6831,0.6323,-0.4749,0.629325,0
Cyproheptadine,0.6688,0.4402,0.5527,0.4822,-0.4861,0.535975,0
"N-(3-Fluoro-4-((7-methoxyquinolin-4-yl)oxy)phenyl)-1-(2-hydroxy-2-methylpropyl)-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazole-4-carboxamide",0.662,0.3754,0.7367,0.5156,-0.4934,0.572425,0
Buparlisib,0.653,0.477,0.7625,0.4667,-0.4787,0.5898,0
PD-173074,0.6508,0.3636,0.6308,0.5452,-0.4803,0.5476,0
SCHEMBL3954849,0.6431,0.3716,0.7603,0.5478,-0.4781,0.5807,0
Ruxolitinib,0.6377,0.4987,0.7754,0.6037,-0.4908,0.628875,0
SB-203580,0.6376,NA,0.7273,0.5814,-0.482,0.6487666666666666,1
7-Nitroindazole,0.6374,NA,0.6243,0.5408,-0.5016,0.6008333333333333,1
Penfluridol,0.6336,0.491,0.6159,0.6497,-0.4754,0.59755,0
Linifanib,0.631,0.3802,0.7171,0.7072,-0.4843,0.608875,0
RG2833 (RGFP109),0.6291,NA,0.5969,0.5959,-0.5293,0.6073,1
SB525334,0.6155,0.4424,0.68,0.5828,-0.5708,0.580175,0
Fcodpguefhccia-Uhfffaoysa-N,0.6085,NA,0.6909,0.6865,-0.7862,0.6619666666666667,1
Momelotinib,0.6027,0.429,0.5935,0.5811,-0.4791,0.551575,0
SCHEMBL1564574,0.6023,0.4941,0.762,0.6094,-0.5773,0.61695,0
Albendazole,0.5994,0.4637,0.6403,0.5945,-0.4931,0.5744750000000001,0
Oxaprozin,0.5987,0.4161,0.6694,NA,-0.6937,0.5614,1
GDC-0980 (RG7422),0.5927,0.7253,0.6422,0.4282,-0.6049,0.5971,0
GSK 525762A,0.5922,0.4968,0.6551,0.5899,-0.61,0.5835,0
Imatinib,0.5915,0.3742,0.7886,0.6157,-0.4892,0.5925,0
Y-39983,0.5898,0.4224,0.6753,0.5619,-0.4785,0.56235,0
SCHEMBL2592382,0.5892,NA,0.6498,0.5332,-0.613,0.5907333333333333,1
VX-745,0.5863,0.3404,0.6469,0.5556,-0.6046,0.5323,0
Cladribine,0.5848,0.4944,0.6306,0.6855,-0.5486,0.598825,0
Flutamide,0.5844,0.3685,0.7404,0.6733,-0.4889,0.59165,0
