compound,azt,los,nib,quine,vir,similarity,meansim,nas
Azithromycin,1,0.41,NA,0.4551,0.7938,-0.6301,0.664725,1
Itrazole,0.6941,0.6054,0.3449,0.6049,0.6842,-0.6481,0.5867,0
BRD-A81936046,0.6892,0.3832,NA,0.3544,0.5133,-0.567,0.485025,1
Brefeldin A,0.6778,0.4088,0.4156,0.6149,0.6703,-0.4948,0.55748,0
362-74-3,0.6684,NA,NA,0.6098,0.393,-0.6561,0.5570666666666667,2
BRD4770,0.6533,NA,NA,0.6279,0.5683,-0.5396,0.6165,2
IN1541,0.6377,0.3547,0.5525,0.5813,0.5583,-0.6231,0.5369,0
(S)-(-)-BAY K 8644,0.6275,0.4516,NA,0.5096,0.6407,-0.4959,0.55735,1
SB-216763,0.622,0.5285,0.4154,0.5243,0.6232,-0.4755,0.5426799999999999,0
FK 866,0.6201,0.3562,NA,0.6319,0.4796,-0.6091,0.52195,1
CHEMBL3186197,0.617,NA,NA,0.5816,0.55,-0.6569,0.5828666666666666,2
CHEMBL1593913,0.6147,NA,NA,0.5313,0.5371,-0.4882,0.5610333333333334,2
SJ 172550,0.6097,NA,0.3269,0.3426,NA,-0.6103,0.4264,2
SA-103123,0.5919,0.3465,NA,0.5521,NA,-0.5631,0.49683333333333335,2
848193-68-0,0.5735,0.5036,NA,0.5557,0.4705,-0.5144,0.525825,1
NSC23766,0.5648,0.4248,0.4017,0.3817,0.5336,-0.5505,0.46132,0
CHEMBL586058,0.5642,NA,NA,0.4169,0.67490000000000006,-0.6279,0.552,2
"16,16-Dimethyl prostaglandin e2",0.5548,0.5152,0.3888,0.4841,0.6558,-0.5085,0.51974,0
Nimodipine,0.5503,0.3265,0.3771,0.4404,0.8082,-0.6135,0.5005000000000001,0
Gefitinib,0.5428,0.4664,0.378,0.5095,0.7275,-0.5386,0.52484,0
67497-51-2,0.5405,NA,NA,0.5705,0.4765,-0.5472,0.5291666666666667,2
CHEMBL552425,0.5219,0.566,0.3907,0.4845,0.7159,-0.4851,0.5357999999999999,0
3-(4-Pyridyl)indole,0.5197,0.5565,0.4068,0.4752,0.5068,-0.6055,0.493,0
Fluspirilene,0.5181,0.4513,NA,0.5431,0.8066,-0.4781,0.579775,1
Flutamide,0.5131,NA,0.3427,0.4891,0.8778,-0.4889,0.555675,1
Nifedipine,0.5054,NA,NA,0.7246,0.4273,-0.5061,0.5524333333333333,2
MLS002729074,0.5033,0.3517,0.3743,0.4153,0.5899,-0.4914,0.4469,0
KUC104488,0.5013,NA,NA,NA,0.566,-0.6829,0.53365,3
BRD-K16257790,0.4984,0.36870000000000003,NA,NA,NA,-0.6589,0.43355,3
Dihydrosamidin,0.4953,NA,NA,0.441,0.7956,-0.7546,0.5773,2
CAY10618,0.4908,0.7388,0.3601,0.4613,NA,-0.5439,0.51275,1
Ursolic acid,0.4872,NA,NA,0.328,0.5426,-0.4809,0.4526,2
BRD-K35002913,0.4866,NA,NA,NA,0.4197,-0.611,0.45315,3
Enalapril,0.4857,NA,NA,0.5254,0.6848,-0.7583,0.5653,2
PKC Beta Inhibitor,0.4856,0.3541,0.3316,0.4739,0.5434,-0.487,0.43772,0
Linsitinib,0.4845,0.4333,0.3782,0.6485,0.6172,-0.4895,0.51234,0
MLS002264511,0.4821,NA,NA,0.5683,NA,-0.6438,0.5252,3
32703-82-5,0.4799,0.5019,NA,0.71,NA,-0.5828,0.5639333333333333,2
ChEBI91594,0.4699,0.4207,0.3476,0.5698,0.5176,-0.5813,0.46512,0
3-Chloro-l-alanine,0.4605,0.3878,0.4373,0.441,0.6873,-0.6183,0.48278,0
313981-55-4,0.4596,0.4292,0.3898,0.5657,0.5755,-0.6325,0.48396,0
PD-98059,0.4579,0.3323,NA,0.4376,0.5885,-0.6157,0.454075,1
MLS-0435534.0001,0.4567,NA,NA,0.5801,0.5902,-0.8065,0.5423333333333333,2
H-9,0.4556,0.3375,NA,0.3903,0.5914,-0.4911,0.4437,1
PCI-34051,0.4553,0.4993,0.4007,0.3854,0.4883,-0.6449,0.44580000000000003,0
Phenoxazine,0.4553,0.5355,0.3312,0.4996,0.7082,-0.6721,0.50596,0
PF750,0.4547,0.404,NA,0.6062,0.5308,-0.516,0.498925,1
BRD-K17890048,0.4533,NA,NA,NA,0.6634,-0.6904,0.55835,3
MLS002699341,0.4488,NA,NA,0.4963,NA,-0.6183,0.47255,3
MLS000860958,0.4476,NA,NA,0.5347,0.6515,-0.6378,0.5446,2
Estrone,0.4457,NA,NA,0.4584,NA,-0.6274,0.45204999999999995,3
Dacomitinib,0.444,0.5279,0.3925,0.4187,0.5678,-0.6898,0.47018,0
Cis-Platin,0.4432,NA,NA,0.5359,NA,-0.8791,0.48955000000000004,3
AKT Inhibitor IV,0.4388,0.8315,0.4156,0.4946,0.5438,-0.4938,0.54486,0
BRD-K80169513,0.438,NA,NA,NA,0.4101,-0.5089,0.42405000000000004,3
ST021200,0.436,0.4244,0.3599,0.4663,0.6484,-0.5304,0.46699999999999997,0
AC1MSUFC,0.4351,NA,0.3776,0.413,0.6224,-0.5987,0.46202499999999996,1
IC-87114,0.4328,NA,NA,0.488,NA,-0.6448,0.46040000000000003,3
CHEMBL489621,0.4289,0.3514,NA,0.3789,NA,-0.607,0.3864,2
TIE2 Kinase Inhibitor,0.4282,0.54,0.3463,0.324,0.6069,-0.6349,0.44908000000000003,0
SCHEMBL13736177,0.4267,NA,NA,0.3495,0.4044,-0.5271,0.39353333333333335,2
Lexibulin,0.4264,0.4451,NA,0.43120000000000003,0.7693,-0.4956,0.518,1
Latanoprost,0.4259,NA,NA,0.3949,0.5308,-0.4746,0.45053333333333334,2
MLS003337112,0.4248,0.4084,NA,0.4246,NA,-0.7821,0.4192666666666667,2
Calcitriol,0.4247,0.5466,0.3795,0.42,0.6687,-0.6212,0.4879,0
916985-21-2,0.4208,0.4229,NA,0.5381,0.4898,-0.5239,0.4679,1
Triciribine,0.4186,0.4257,NA,0.5365,0.6774,-0.5135,0.5145500000000001,1
Gemcitabine,0.4172,0.3601,0.3673,0.6568,0.5721,-0.488,0.4747,0
Broad-Sai-296,0.4148,0.3421,0.3495,0.3749,0.5474,-0.542,0.40574,0
Ebelactone-B,0.413,NA,NA,0.3294,NA,-0.4993,0.3712,3
Sulfacetamide,0.4121,0.401,NA,NA,NA,-0.6023,0.40655,3
NVP-AUY922,0.4118,0.8285,NA,0.6584,0.835,-0.4738,0.683425,1
NVP-AEW541,0.411,0.3947,NA,0.4356,0.4808,-0.5053,0.430525,1
Rivaroxaban,0.4102,NA,NA,0.361,0.6952,-0.4828,0.4888,2
Benzylpenicillin,0.4097,NA,NA,0.5348,NA,-0.6589,0.47225000000000006,3
Minoxidil,0.4096,0.4491,NA,0.5269,0.5532,-0.6042,0.4847,1
79966-13-5,0.4094,0.79990000000000006,0.4445,0.3866,0.5006,-0.4925,0.5082,0
"6,10,10B-Trihydroxy-3,4a,7,7,10a-pentamethyl-1-oxo-3-vinyldodecahydro-1H-benzo[f]chromen-5-yl acetate",0.4086,NA,0.3433,0.3666,NA,-0.7065,0.37283333333333335,2
SR-02000000448,0.4082,0.5718,NA,NA,0.4669,-0.5979,0.4823,2
Quinapril,0.4076,0.348,NA,0.3809,0.558,-0.7475,0.42362500000000003,1
Graveoline,0.4075,0.3772,NA,0.4752,0.455,-0.5417,0.428725,1
MEGXM0_000032,0.4072,NA,0.4057,0.3503,0.5673,-0.7804,0.43262500000000004,1
VU0413807-2,0.4067,NA,NA,0.4984,0.6291,-0.6773,0.5114,2
SMR000651449,0.4058,NA,NA,0.5043,0.7389,-0.6036,0.5496666666666666,2
Colforsin,0.4045,NA,NA,0.4724,0.5071,-0.4954,0.4613333333333333,2
ZINC01050121,0.4036,NA,0.4304,0.4611,0.6778,-0.5075,0.493225,1
Tenofovir,0.4036,NA,NA,0.3297,0.5716,-0.6048,0.43496666666666667,2
SCHEMBL2559280,0.4027,NA,0.36870000000000003,0.4813,0.5677,-0.4834,0.4551,1
ALD1-H_001009,0.4025,NA,NA,NA,0.5745,-0.6539,0.48850000000000005,3
PF-04217903,0.4016,0.3582,0.3856,0.6505,0.7104,-0.504,0.50126,0
MW-A1-14,0.3999,0.3784,NA,0.4819,0.5408,-0.5113,0.45025,1
XAV 939,0.3994,NA,0.4751,0.4665,0.4712,-0.5933,0.45305,1
Warfarin,0.3991,NA,NA,NA,0.6794,-0.4787,0.53925,3
Sirolimus,0.3987,0.4989,0.3374,0.657,0.7278,-0.4747,0.52396,0
Benzoxiquine,0.3964,0.3821,0.3911,0.3691,0.4886,-0.5381,0.40546,0
10-DEBC,0.3963,0.3311,0.3708,0.4608,0.6602,-0.6388,0.44384,0
NSC 663284,0.3937,0.4488,0.4476,NA,0.4415,-0.4912,0.4329,1
RAC-Etomoxir,0.3934,NA,NA,0.4863,0.5817,-0.6564,0.48713333333333336,2
BS-181,0.3919,0.3488,0.4005,0.4356,0.8697,-0.5025,0.4893,0
Veliparib,0.391,0.4553,0.3592,0.5277,0.7925,-0.4898,0.50514,0
CT-200783,0.3909,0.5953,0.4812,0.5389,0.4747,-0.5064,0.49620000000000003,0
BMS-299897,0.3905,0.3964,NA,NA,0.5835,-0.6027,0.4568,2
BRD-K54247306,0.3905,NA,NA,0.5865,NA,-0.8571,0.48850000000000005,3
Boldine,0.3878,NA,NA,0.3994,NA,-0.7293,0.39359999999999995,3
Tamibarotene,0.3872,0.3364,NA,0.3915,0.5472,-0.5027,0.41557500000000003,1
Tozasertib,0.3851,0.4366,0.3909,0.5518,0.8016,-0.4851,0.5132,0
Mesoridazine,0.3847,0.4389,NA,0.3958,0.5255,-0.6256,0.436225,1
BIX01294,0.3839,0.4143,0.3789,0.5073,0.7412,-0.5269,0.48512,0
MLS000589843,0.3838,0.4555,NA,0.4384,NA,-0.512,0.4259,2
PX 12,0.3814,0.7977,0.3736,0.6113,0.5139,-0.485,0.53558,0
MRS-1334,0.381,NA,NA,0.516,NA,-0.655,0.4485,3
PIMAGEDINE HYDROCHLORIDE,0.3789,NA,NA,NA,0.4485,-0.8032,0.4137,3
STK222600,0.3786,NA,0.4242,0.3336,0.7854,-0.507,0.48045,1
BRD-K00141503,0.3774,NA,NA,0.3342,0.6342,-0.5264,0.4486,2
PK-11195,0.3773,0.3224,0.3614,0.5163,0.7266,-0.5696,0.4608,0
MLS-0435541.0001,0.3769,NA,NA,0.4172,0.6048,-0.6963,0.4663,2
Ivabradine HCl,0.3768,NA,NA,0.5664,NA,-0.721,0.4716,3
BRD-K21165668,0.3767,NA,NA,0.3825,0.5803,-0.5291,0.4465,2
"O-(OCTAHYDRO-1H-4,7-METHANOINDEN-5-YL) HYDROGEN CARBONODITHIOATE",0.3758,NA,NA,0.4953,0.5445,-0.7235,0.47186666666666666,2
TUL_XIX002,0.3755,0.3215,NA,0.4095,0.5476,-0.6118,0.413525,1
N-[(1-Ethylpyrrolidin-3-yl)methyl]-2-methoxy-5-sulfamoylbenzamide,0.3747,0.3421,0.3903,0.3705,0.7377,-0.7543,0.44306,0
BRD-K41087962,0.3741,NA,NA,0.3291,0.8021,-0.5284,0.5017666666666667,2
BRD32048,0.374,0.3356,NA,0.3971,0.4556,-0.5095,0.390575,1
COT-10B,0.3726,0.5196,0.4728,0.434,0.568,-0.5621,0.4734,0
Meclizine,0.3726,NA,NA,NA,0.497,-0.6347,0.43479999999999996,3
ABT737,0.3723,0.475,0.3672,0.5563,0.7978,-0.4752,0.51372,0
BDBM50127227,0.3721,0.6505,0.3321,0.5331,0.6017,-0.4947,0.4979,0
Dactolisib,0.3713,0.42,NA,0.5944,0.7621,-0.5041,0.53695,1
DM163,0.3708,NA,NA,0.3616,0.4988,-0.718,0.4104,2
TGX 221,0.3707,NA,0.3389,0.5245,0.6183,-0.4871,0.46309999999999996,1
CHEMBL566687,0.3706,NA,NA,0.3463,NA,-0.6215,0.35845,3
Wortmannin,0.3706,0.4726,0.4437,0.6202,0.8187,-0.4737,0.54516,0
Wortmannin,0.3706,0.4726,0.4437,0.6202,0.8187,-0.4737,0.54516,0
3-Methyladenine,0.3703,NA,NA,0.5113,NA,-0.633,0.44079999999999997,3
Phenytoin,0.3692,NA,NA,0.3729,0.6479,-0.6327,0.4633333333333333,2
MLS003587251,0.3692,NA,NA,NA,0.7322,-0.7174,0.5507,3
Acetylcysteine,0.3686,NA,NA,NA,0.5234,-0.7425,0.44599999999999995,3
ST012015,0.3683,NA,NA,0.3295,0.5306,-0.7813,0.40946666666666665,2
KW-2449,0.3682,0.3497,0.4919,0.5779,0.6607,-0.4784,0.48968,0
Risperidone,0.3674,NA,NA,NA,0.5911,-0.5739,0.47924999999999995,3
BRL50481,0.3662,NA,NA,0.3381,NA,-0.6667,0.35215,3
noscapine,0.3659,0.4608,0.3601,0.4179,0.5133,-0.593,0.4236,0
PIK-93,0.3642,0.3664,NA,0.4799,0.5868,-0.5043,0.449325,1
HLI-373,0.3635,0.4886,0.3222,0.4732,0.4618,-0.6541,0.42186,0
Tanespimycin,0.3628,0.7167,0.3253,0.4144,0.3992,-0.773,0.44368,0
Gallocatechin Gallate,0.3619,NA,0.3313,0.5671,0.7744,-0.5548,0.508675,1
Cilomilast,0.3616,NA,NA,0.345,0.4756,-0.5278,0.3940666666666667,2
CHEMBL83092,0.3596,NA,NA,0.3899,NA,-0.7748,0.37475,3
Temozolomide,0.3595,NA,NA,0.3868,0.6144,-0.5585,0.4535666666666666,2
CYTO7H11,0.3592,0.3681,0.3272,0.3884,0.5952,-0.5074,0.40762,0
ASN 05257430,0.3587,0.3383,NA,NA,0.4532,-0.6498,0.3834,2
Flufenamic acid,0.3585,NA,NA,NA,0.5354,-0.6286,0.44694999999999996,3
Coumestrol,0.3579,NA,0.3538,NA,NA,-0.7099,0.35585,3
Robotnikinin,0.3578,NA,NA,NA,0.6135,-0.6772,0.48565,3
Vorinostat,0.3574,0.6613,0.4976,0.7391,0.8047,-0.4738,0.61202,0
Quinine,0.3555,0.4868,NA,0.5822,0.4978,-0.6436,0.48057500000000003,1
Diclofenac,0.3548,NA,NA,0.5033,0.4302,-0.6032,0.42943333333333333,2
N-[4-(1-Benzoylpiperidin-4-yl)butyl]-3-pyridin-3-ylpropanamide,0.353,0.3877,0.4682,NA,0.5991,-0.6633,0.45199999999999996,1
SB225002,0.3518,0.3619,NA,NA,0.7474,-0.5442,0.4870333333333333,2
GSK429286A,0.3512,0.4513,0.3425,0.3731,0.722,-0.501,0.44802,0
SB-206553,0.3509,0.3571,NA,0.3815,NA,-0.5932,0.36316666666666664,2
Tyrphostin B7,0.3502,NA,NA,0.3294,0.6906,-0.7172,0.4567333333333333,2
MLS003429133,0.3494,NA,NA,0.5308,NA,-0.5022,0.44010000000000005,3
CHEMBL1531854,0.3492,NA,NA,0.3973,0.5239,-0.4863,0.42346666666666666,2
(R)-(-)-Jq1 enantiomer,0.3492,0.4304,NA,0.3601,0.732,-0.6184,0.467925,1
MLS001207806,0.3492,0.3933,0.3334,NA,0.4521,-0.6316,0.382,1
BRD-K90543092-001-01-2,0.3489,0.4271,0.3267,0.3502,0.4371,-0.6409,0.378,0
Quinacrine,0.3486,0.3924,0.3762,0.5076,0.6739,-0.5052,0.45974000000000004,0
"ICI 192,605",0.3484,NA,NA,0.4626,0.4726,-0.6459,0.4278666666666667,2
Amifostine,0.3482,NA,NA,0.4953,NA,-0.702,0.42175,3
BRD-K77644833,0.3482,NA,NA,0.4255,NA,-0.671,0.38685,3
Sorafenib,0.3479,0.5962,0.4481,0.5062,0.657,-0.485,0.51108,0
UK 356618,0.3474,0.4799,0.5059,0.3613,0.4724,-0.4997,0.43338,0
KUC104140,0.3472,0.3396,NA,0.4357,0.6507,-0.488,0.44329999999999997,1
MLS000107177,0.3471,NA,0.3453,NA,0.5016,-0.756,0.398,2
MLS002473641,0.347,NA,NA,0.4133,0.483,-0.5052,0.4144333333333333,2
SCHEMBL6463646,0.3466,NA,NA,0.4352,NA,-0.7029,0.3909,3
Lenalidomide,0.3466,NA,0.4105,0.3636,0.4271,-0.5529,0.38695,1
SCHEMBL15422158,0.3465,0.5624,0.3581,NA,0.5024,-0.5577,0.44234999999999997,1
"Methyl 1-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate",0.3464,0.4495,0.3258,0.4061,NA,-0.7114,0.38195,1
Dehydroepiandrosterone Acetate,0.3454,0.3235,NA,NA,NA,-0.655,0.33445,3
AS601245,0.3451,0.4126,0.3988,0.5033,0.7823,-0.4873,0.48842,0
