perturbagen,threshold,pos_m,neg_m,min_m,max_m,mean_m,sd_m,pos_c,neg_c,min_c,max_c,mean_c,sd_c,pos_n1,neg_n1,min_n1,max_n1,mean_n1,sd_n1,pos_a2,neg_a2,min_a2,max_a2,mean_a2,sd_a2,pos_a3,neg_a3,min_a3,max_a3,mean_a3,sd_a3,pos_ap,neg_ap,min_ap,max_ap,mean_ap,sd_ap,pos_a4,neg_a4,min_a4,max_a4,mean_a4,sd_a4,pos_c5,neg_c5,min_c5,max_c5,mean_c5,sd_c5,m_ratio,c_ratio,n1_ratio,a2_ratio,a3_ratio,ap_ratio,a4_ratio,c5_ratio
179324-69-7,0,379,263,-0.14207797541168948,0.1300360156219268,0.014154836889293058,0.062421030584008344,3,639,-0.12509268870426124,0.04405644893777245,-0.07440883284838357,0.017084906352077305,632,10,-0.023774457365166327,0.11969602144055391,0.06603243775561374,0.029165739233047033,123,519,-0.1149455097974006,0.09499908277819337,-0.029790469138527755,0.0333974259476359,642,0,0.015870888184404946,0.32258030750852107,0.1795719686115293,0.09522306971084878,635,7,-0.016943332193205575,0.29633693068664563,0.1508205517575178,0.09332389498163207,638,4,-0.005574285461832575,0.17561665325672896,0.07742155754014952,0.0532301112982035,642,0,0.11620061685528188,0.3304907789945007,0.24280212908801627,0.05263376326307675,1.44106463878327,0.004694835680751174,63.2,0.23699421965317918,Inf,90.71428571428571,159.5,Inf
179324-69-7,0.26,383,259,-0.13415228618251243,0.13614354827916492,0.014896761105824406,0.059185901886807335,4,638,-0.14287706325288665,0.038362154766492323,-0.08728865532769954,0.0196486882930624,625,17,-0.052237361820716595,0.19409973140492998,0.10118289512096568,0.04690454003410439,82,560,-0.18757914349603727,0.10817353560507358,-0.06618421738155235,0.0579532652180041,642,0,0.02633230656586984,0.36787673055483844,0.20818264014852977,0.10502678154208195,636,6,-0.017687242744893698,0.32861486003062473,0.16994449109730167,0.10237627637854094,638,4,-0.0050478463755470274,0.20707300334836606,0.09256459692004779,0.06089975434251442,642,0,0.13050212270818157,0.37087348707102386,0.2746167401913257,0.057706538251893,1.4787644787644787,0.006269592476489028,36.76470588235294,0.14642857142857144,Inf,106,159.5,Inf
179324-69-7,0.5,400,242,-0.1317527636489323,0.14778861442572722,0.026983267387869114,0.06138637211805008,6,636,-0.1509192866439135,0.05606102503493088,-0.08198113871231773,0.022872887359609385,479,163,-0.27315960093911,0.23830382301438494,0.05686071475914753,0.08702570861228608,384,258,-0.2948325293822297,0.41558845580271,0.03538558323224116,0.11626281507456951,642,0,0.021005992745704024,0.40279774564970794,0.23480049240911519,0.12318645922061498,641,1,-0.00560346967683379,0.3734182385649177,0.1989788634176888,0.11467080933330934,637,5,-0.003875682819243516,0.24335034478402623,0.11019177011812517,0.06879440245629564,642,0,0.14020256836833417,0.4085802920887985,0.30008229211982473,0.058956136919980195,1.6528925619834711,0.009433962264150943,2.938650306748466,1.4883720930232558,Inf,641,127.4,Inf
179324-69-7,0.85,398,244,-0.1366127683819515,0.15906378748066016,0.03654763580143837,0.0691474441791334,6,636,-0.15458092472410576,0.029439624878823484,-0.07596933372372261,0.026414730446467107,397,245,-0.4606977177316156,0.34214389319335625,0.030789096520702757,0.1487316087996477,336,306,-0.4868063328519558,0.503720753772498,7.439244422815331e-4,0.16833038103833425,642,0,0.061218007872328284,0.49621834380794616,0.302613386765183,0.13819891497655087,642,0,0.025481361421673863,0.4354365749680087,0.25545350533656125,0.12931422077213703,612,30,-0.06112927365206905,0.31261881215345444,0.13052906446454843,0.09334762241242327,642,0,0.1328200293004935,0.49478776228940635,0.33431878126559655,0.07725312173278617,1.6311475409836065,0.009433962264150943,1.620408163265306,1.0980392156862746,Inf,Inf,20.4,Inf
179324-69-7,1,390,252,-0.14215125803506698,0.16626676304943894,0.03657372104479479,0.07414909057696684,9,633,-0.16520491878807628,0.036832724625033425,-0.07238815957400671,0.02819955433664122,286,356,-0.6601712453488605,0.5151296168999094,-0.029669678201192002,0.2047967018235096,367,275,-0.5626550838786842,0.5453670779463006,0.017941725321035554,0.1850777655027114,642,0,0.076474446924242,0.5016872927804796,0.30665481425480745,0.13931629492307424,642,0,0.04621367670849944,0.46793019493946625,0.27606113847196573,0.1298533426914508,565,77,-0.1311155881941829,0.3484582161471149,0.12299774499818236,0.10930262960269413,642,0,0.1431992729291831,0.5043738330416152,0.34915424079741764,0.07535346618392218,1.5476190476190477,0.014218009478672985,0.8033707865168539,1.3345454545454545,Inf,Inf,7.337662337662338,Inf
A-443654,0,8,19,-0.0926308489630181,0.07015329013498746,-0.022790048546261887,0.039937504334535225,4,23,-0.11659085090492373,0.015278247194411529,-0.03491330698281887,0.036799423135262056,17,10,-0.08226972094527212,0.09657439060714955,0.004589842589334052,0.037082555163885034,1,26,-0.10380920946629703,0.020236083010177097,-0.05052301981212712,0.027302280987301523,21,6,-0.17642156801011943,0.18258719529700812,0.04550452055926368,0.07835116443924679,20,7,-0.18803765150287974,0.15294207344452432,0.02530839569018067,0.07376907075842477,12,15,-0.20890640729420856,0.11705724127297967,-0.021835948584177232,0.09890901616589116,20,7,-0.1898897157306275,0.3001580000275743,0.06977938693975151,0.11674161182967864,0.42105263157894735,0.17391304347826086,1.7,0.038461538461538464,3.5,2.857142857142857,0.8,2.857142857142857
A-443654,0.26,10,17,-0.08717411358740583,0.06719260042161933,-0.019214685284548554,0.03908086053369471,3,24,-0.1379213611195998,0.02085447888619359,-0.04003688666142626,0.03894207154719623,13,14,-0.17192999161750794,0.15016520766284583,-0.01004222300194295,0.07106635959914241,3,24,-0.2304048882726473,0.0738500555881232,-0.07677542723316443,0.06903364518352119,21,6,-0.21207365951670407,0.21984642236944066,0.0599879073029466,0.09579861344377395,20,7,-0.2169382951742535,0.17453687927889458,0.030948489313187215,0.0855960741986636,12,15,-0.24267608606867624,0.13736211018489816,-0.026401650234722254,0.11363567854405583,20,7,-0.21218460020941765,0.35997089488497397,0.08364440979604787,0.13804396317781295,0.5882352941176471,0.125,0.9285714285714286,0.125,3.5,2.857142857142857,0.8,2.857142857142857
A-443654,0.5,10,17,-0.0948431514740987,0.06569995705469518,-0.014727122242644457,0.041274030490948105,4,23,-0.16115065677247475,0.0413408990685991,-0.04955912783970397,0.04802216401831713,7,20,-0.3673565220503407,0.14432903087478602,-0.06154632299991365,0.11916277066132021,10,17,-0.4173903362624286,0.3194460120784103,-0.02342675715252771,0.1745451134910109,22,5,-0.2496314090282552,0.2796831325357692,0.08299716875990641,0.1208696740266244,21,6,-0.2474168375816678,0.2247968773529363,0.04497645568154493,0.10222699493259575,12,15,-0.27049923451362307,0.15565220432757446,-0.03188264512156859,0.12886161723376346,20,7,-0.23311860563364875,0.4147910280113701,0.09596678541211062,0.15622722980480447,0.5882352941176471,0.17391304347826086,0.35,0.5882352941176471,4.4,3.5,0.8,2.857142857142857
A-443654,0.85,10,17,-0.10575458751289829,0.07208692876466331,-0.015008822026438612,0.04235262848679104,7,20,-0.13089024290941195,0.0608285891298699,-0.037918861732575755,0.05107465585685276,6,21,-0.5856039197429915,0.28479237250594674,-0.15396927936578664,0.19833806732013828,9,18,-0.4341133716940727,0.7734029887224059,-0.08438934442812399,0.2980493017270532,23,4,-0.24106985810998474,0.35512555444871735,0.12845442171722,0.15708715130125353,20,7,-0.2516577000064595,0.27464895866387595,0.07452272038337816,0.1313535135038579,10,17,-0.30944921151847754,0.1304243554398359,-0.07525206610675465,0.14109040176020282,21,6,-0.22324996483248594,0.49797106087539905,0.1344803366443936,0.17616698763774485,0.5882352941176471,0.35,0.2857142857142857,0.5,5.75,2.857142857142857,0.5882352941176471,3.5
A-443654,1,10,17,-0.11508919593611823,0.08152596574413591,-0.01458547630348066,0.044642751327589644,7,20,-0.12786968511644076,0.07341762949806713,-0.031218912904872824,0.053385461260758355,7,20,-0.617838480277329,0.45887365999324253,-0.12766939960510446,0.23713385102822993,7,20,-0.6100191202216348,0.7651162143929394,-0.1202390637957038,0.3261101039604994,21,6,-0.24519158127861543,0.41878275949063,0.14636753962509358,0.17478563987334775,21,6,-0.2383629361544056,0.31620456417552195,0.1021359770465196,0.14652072069745925,8,19,-0.2967863621163292,0.11857946970675708,-0.09622490313494239,0.13486782673550168,20,7,-0.21754452287868314,0.5390755395346472,0.14791772932450653,0.1909691803528492,0.5882352941176471,0.35,0.35,0.35,3.5,3.5,0.42105263157894735,2.857142857142857
