perturbagen,threshold,sd_m,sd_c,sd_n1,sd_a2,sd_a3,sd_ap,sd_a4,sd_c5
179324-69-7,0,0.062421030584008344,0.017084906352077305,0.029165739233047033,0.0333974259476359,0.09522306971084878,0.09332389498163207,0.0532301112982035,0.05263376326307675
179324-69-7,0.26,0.059185901886807335,0.0196486882930624,0.04690454003410439,0.0579532652180041,0.10502678154208195,0.10237627637854094,0.06089975434251442,0.057706538251893
179324-69-7,0.5,0.06138637211805008,0.022872887359609385,0.08702570861228608,0.11626281507456951,0.12318645922061498,0.11467080933330934,0.06879440245629564,0.058956136919980195
179324-69-7,0.85,0.0691474441791334,0.026414730446467107,0.1487316087996477,0.16833038103833425,0.13819891497655087,0.12931422077213703,0.09334762241242327,0.07725312173278617
179324-69-7,1,0.07414909057696684,0.02819955433664122,0.2047967018235096,0.1850777655027114,0.13931629492307424,0.1298533426914508,0.10930262960269413,0.07535346618392218
A-443654,0,0.039937504334535225,0.036799423135262056,0.037082555163885034,0.027302280987301523,0.07835116443924679,0.07376907075842477,0.09890901616589116,0.11674161182967864
A-443654,0.26,0.03908086053369471,0.03894207154719623,0.07106635959914241,0.06903364518352119,0.09579861344377395,0.0855960741986636,0.11363567854405583,0.13804396317781295
A-443654,0.5,0.041274030490948105,0.04802216401831713,0.11916277066132021,0.1745451134910109,0.1208696740266244,0.10222699493259575,0.12886161723376346,0.15622722980480447
A-443654,0.85,0.04235262848679104,0.05107465585685276,0.19833806732013828,0.2980493017270532,0.15708715130125353,0.1313535135038579,0.14109040176020282,0.17616698763774485
A-443654,1,0.044642751327589644,0.053385461260758355,0.23713385102822993,0.3261101039604994,0.17478563987334775,0.14652072069745925,0.13486782673550168,0.1909691803528492
AC1MJ3VH,0,0.04379698954870045,0.04477588562633726,0.041778776431519664,0.0489107464266251,0.08183236317528936,0.07217114009946034,0.08370699296291939,0.13047963888191805
AC1MJ3VH,0.26,0.04272773329383673,0.05297055756492456,0.0761521269135792,0.08268337616655719,0.0958435241530992,0.08322029650241865,0.09696424947915494,0.14908846775412835
AC1MJ3VH,0.5,0.04171373473454014,0.0567480286241208,0.11696059561554795,0.1593094674857536,0.11038966248859099,0.0950213717207121,0.11224689192208992,0.17252730612672032
AC1MJ3VH,0.85,0.041755795351379826,0.07024367312255547,0.17169032317186533,0.1943678841552389,0.11744617112788933,0.10752385073624951,0.1427195500646229,0.1908546283812856
AC1MJ3VH,1,0.04388722754851693,0.0719134895145131,0.20299253899284161,0.20060425891215888,0.12343181944491173,0.11110623038069514,0.14697288146874843,0.2023055515229073
AC1NWAML,0,0.05594708480151904,0.033610020920707424,0.02756407224920465,0.056070517734848974,0.06661863738639379,0.06739788012191965,0.02604182399918373,0.06246549724082087
AC1NWAML,0.26,0.05572167619449974,0.03605402919645915,0.04627000710142013,0.0872749100159968,0.08194517376739313,0.07799058719287137,0.029927467823706533,0.07168526511679099
AC1NWAML,0.5,0.05815589395546808,0.039297043485119074,0.0629794392771611,0.1838425672140929,0.1018781804754035,0.09416393396461022,0.03505042302099373,0.08843057164743132
AC1NWAML,0.85,0.058034697802683825,0.06815751958858683,0.17208836114019851,0.2869414443434206,0.1316963720307536,0.11902390483479706,0.05032217331553581,0.10912474298977251
AC1NWAML,1,0.06069471384739171,0.07150487700256673,0.20483645211612736,0.33467294127554725,0.13945136153625082,0.13104478700803507,0.05646170645654622,0.12049961706964123
AC1OCDAW,0,0.01997285948481605,0.029773298605519468,0.03378654017074907,0.044267803175359444,0.057477430353006766,0.04665457389684801,0.09657804621637203,0.11320863268865992
AC1OCDAW,0.26,0.017548940519400928,0.033674991807342666,0.06743464386166242,0.06847874432432478,0.06901668456499196,0.054201959060132636,0.11359200911827905,0.1310935578607003
AC1OCDAW,0.5,0.01488181452704186,0.030535752580282238,0.10181272551828968,0.1695889699662773,0.08840506802732415,0.0673001150715522,0.12808288041575286,0.15067328537559666
AC1OCDAW,0.85,0.014005084437988799,0.04982477245692354,0.11289830914587265,0.2783656775795344,0.10887496500812505,0.08298018784971377,0.14755759718871242,0.16742528890938482
