signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_14017	NA	991	CDC20	-10	3.5234e-6
LINCSCP_14017	NA	5347	PLK1	-10	3.5234e-6
LINCSCP_14017	NA	54205	CYCS	-10	3.5234e-6
LINCSCP_14017	NA	7168	TPM1	-7.5282	0
LINCSCP_14017	NA	6790	AURKA	-7.7752	0
LINCSCP_14017	NA	10180	RBM6	9.2786	0
LINCSCP_14017	NA	4792	NFKBIA	-7.1469	0
LINCSCP_14017	NA	5831	PYCR1	-5.8333	0
LINCSCP_14017	NA	2037	EPB41L2	-5.6742	0
LINCSCP_14017	NA	813	CALU	-7.1277	1e-4
LINCSCP_14017	NA	11065	UBE2C	-6.7837	1e-4
LINCSCP_14017	NA	10112	KIF20A	-9.1859	1e-4
LINCSCP_14017	NA	976	ADGRE5	5.0369	1e-4
LINCSCP_14017	NA	5054	SERPINE1	-5.2637	1e-4
LINCSCP_14017	NA	6117	RPA1	5.5976	1e-4
LINCSCP_14017	NA	3930	LBR	-5.9216	1e-4
LINCSCP_14017	NA	11098	PRSS23	-6.6196	1e-4
LINCSCP_14017	NA	8607	RUVBL1	-5.3435	1e-4
LINCSCP_14017	NA	29083	GTPBP8	-4.9111	1e-4
LINCSCP_14017	NA	3682	ITGAE	-6.8155	1e-4
LINCSCP_14017	NA	5777	PTPN6	5.0608	1e-4
LINCSCP_14017	NA	8678	BECN1	4.424	2e-4
LINCSCP_14017	NA	55033	FKBP14	-4.3554	2e-4
LINCSCP_14017	NA	5289	PIK3C3	4.3598	2e-4
LINCSCP_14017	NA	7153	TOP2A	-8.0987	2e-4
LINCSCP_14017	NA	5971	RELB	-4.2078	3e-4
LINCSCP_14017	NA	8324	FZD7	-5.4194	3e-4
LINCSCP_14017	NA	1643	DDB2	4.2195	3e-4
LINCSCP_14017	NA	6919	TCEA2	3.7551	3e-4
LINCSCP_14017	NA	5891	MOK	-4.6904	3e-4
LINCSCP_14017	NA	10559	SLC35A1	3.6881	3e-4
LINCSCP_14017	NA	10681	GNB5	3.7726	3e-4
LINCSCP_14017	NA	54681	P4HTM	4.5008	4e-4
LINCSCP_14017	NA	3628	INPP1	4.0619	4e-4
LINCSCP_14017	NA	23212	RRS1	-5.6434	4e-4
LINCSCP_14017	NA	4864	NPC1	3.949	4e-4
LINCSCP_14017	NA	51422	PRKAG2	-4.4062	4e-4
LINCSCP_14017	NA	3486	IGFBP3	-7.9024	4e-4
LINCSCP_14017	NA	4609	MYC	-8.7875	4e-4
LINCSCP_14017	NA	1950	EGF	-5.831	5e-4
LINCSCP_14017	NA	8870	IER3	-4.4867	5e-4
LINCSCP_14017	NA	2817	GPC1	3.5418	5e-4
LINCSCP_14017	NA	28969	BZW2	-7.6395	5e-4
LINCSCP_14017	NA	2274	FHL2	-7.2149	6e-4
LINCSCP_14017	NA	55012	PPP2R3C	-3.2635	6e-4
LINCSCP_14017	NA	3157	HMGCS1	-3.323	6e-4
LINCSCP_14017	NA	896	CCND3	3.0843	6e-4
LINCSCP_14017	NA	1454	CSNK1E	4.5792	6e-4
LINCSCP_14017	NA	8624	PSMG1	-3.6365	7e-4
LINCSCP_14017	NA	7358	UGDH	-3.2795	7e-4
LINCSCP_14017	NA	3638	INSIG1	-5.2493	7e-4
LINCSCP_14017	NA	54386	TERF2IP	3.3091	8e-4
LINCSCP_14017	NA	2222	FDFT1	-3.4935	8e-4
LINCSCP_14017	NA	332	BIRC5	-5.0359	8e-4
LINCSCP_14017	NA	3156	HMGCR	-3.3993	8e-4
LINCSCP_14017	NA	80347	COASY	5.1678	8e-4
LINCSCP_14017	NA	8574	AKR7A2	2.8888	8e-4
LINCSCP_14017	NA	5467	PPARD	4.0693	9e-4
LINCSCP_14017	NA	6697	SPR	5.2071	9e-4
LINCSCP_14017	NA	11004	KIF2C	-3.3956	9e-4
LINCSCP_14017	NA	3895	KTN1	-3.7864	9e-4
LINCSCP_14017	NA	25839	COG4	2.8098	9e-4
LINCSCP_14017	NA	3978	LIG1	2.8972	9e-4
LINCSCP_14017	NA	79902	NUP85	3.073	0.001
LINCSCP_14017	NA	58533	SNX6	3.5287	0.001
LINCSCP_14017	NA	6988	TCTA	2.8674	0.001
LINCSCP_14017	NA	7264	TSTA3	3.128	0.0011
LINCSCP_14017	NA	29911	HOOK2	4.6937	0.0011
LINCSCP_14017	NA	10051	SMC4	-7.0944	0.0012
LINCSCP_14017	NA	55011	PIH1D1	2.7683	0.0012
LINCSCP_14017	NA	2309	FOXO3	-2.6597	0.0013
LINCSCP_14017	NA	39	ACAT2	-3.157	0.0013
LINCSCP_14017	NA	22883	CLSTN1	-3.1476	0.0013
LINCSCP_14017	NA	56654	NPDC1	4.7355	0.0013
LINCSCP_14017	NA	9212	AURKB	-3.0678	0.0014
LINCSCP_14017	NA	9133	CCNB2	-5.0263	0.0014
LINCSCP_14017	NA	8318	CDC45	3.4716	0.0014
LINCSCP_14017	NA	4154	MBNL1	-3.4439	0.0014
LINCSCP_14017	NA	5883	RAD9A	3.8848	0.0014
LINCSCP_14017	NA	3303	HSPA1A	2.9735	0.0014
LINCSCP_14017	NA	11014	KDELR2	-3.5286	0.0014
LINCSCP_14017	NA	3315	HSPB1	3.15	0.0015
LINCSCP_14017	NA	58472	SQRDL	4.1699	0.0015
LINCSCP_14017	NA	9134	CCNE2	2.9207	0.0015
LINCSCP_14017	NA	8914	TIMELESS	4.4342	0.0016
LINCSCP_14017	NA	55148	UBR7	4.4134	0.0017
LINCSCP_14017	NA	4172	MCM3	3.4211	0.0017
LINCSCP_14017	NA	29082	CHMP4A	-2.5329	0.0017
LINCSCP_14017	NA	6251	RSU1	-2.9899	0.0017
